time,open,high,low,close,ORB High,ORB Low,Retest Upper,Retest Lower,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_orb_range,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_forward_eligible,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_forward_eligible,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_forward_eligible,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_forward_eligible,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_ratio_bucket_parent,EXP_export_row_count,Volume,Volume MA
1786130580,480.775,481.035,480.6,480.95,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7621,3378.4
1786130640,480.95,480.95,480.16,480.18,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394,3303.95
1786130700,480.32,480.38,480.11,480.21,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,3182.5
1786130760,480.205,480.71,480.14,480.64,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2936,3162.85
1786130820,480.55,480.63,480.26,480.57,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,3125.2
1786130880,480.49,480.93,480.48,480.81,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,3041.4
1786130940,480.8,481.12,480.54,481.11,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6974,3317.7
1786131000,481.14,481.14,479.64,479.66,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16526,4081.3
1786131060,479.745,479.815,479.36,479.73,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3073,4098.75
1786131120,479.73,479.9,479.6,479.7,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,4058.6
1786131180,479.69,480.05,479.54,479.81,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476,4096.85
1786131240,479.85,479.85,479.34,479.49,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662,4105.25
1786131300,479.51,479.95,479.3,479.88,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2302,4084.55
1786131360,479.72,479.79,479.51,479.755,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548,4049.65
1786131420,479.64,479.84,479.3,479.595,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252,3876.5
1786131480,479.52,479.94,479.36,479.63,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852,4012.9
1786131540,479.605,479.61,479.3,479.3,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3453,3843.25
1786131600,479.15,479.19,478.03,478.1,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9378,4114.6
1786131660,478.11,478.75,478.11,478.26,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3862,4242.1
1786131720,478.4,478.88,478.36,478.77,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2348,4171.95
1786131780,478.79,479.3,478.79,479.14,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2893,3935.55
1786131840,479.11,479.91,479.03,479.48,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5902,4110.95
1786131900,479.41,480,479.17,479.76,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5479,4306.55
1786131960,479.805,479.82,479.27,479.39,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347,4327.1
1786132020,479.37,479.81,479.19,479.75,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4119,4402.35
1786132080,479.7,479.99,479.53,479.94,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683,4469.4
1786132140,480,480.37,479.61,479.61,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10162,4628.8
1786132200,479.61,480.69,479.46,480.5,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12953,4450.15
1786132260,480.44,480.58,480.14,480.38,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552,4574.1
1786132320,480.345,480.53,480.3,480.45,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7911,4906.7
1786132380,480.41,481.11,480.41,480.82,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12827,5374.25
1786132440,480.81,482.11,480.67,481.97,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18231,6202.7
1786132500,482.01,482.35,481.22,481.25,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27014,7438.3
1786132560,481.25,481.83,481,481.79,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13888,8055.3
1786132620,481.74,483.23,481.74,483.23,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15498,8617.6
1786132680,483.23,483.47,482.95,483.14,498.98,480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,10079.3
1786132740,483.17,483.73,482.73,483.47,498.98,480.8,,,1,15,-1,1786112640000,480.34,498.98,480.8,18.180000000000007,2.1139675369032336,0.8827080817753993,1.0388474830328538,2,1786112700000,2,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,,-1,15,30827,11448
1786368600,477.24,477.97,473.97,474.64,477.97,473.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29343,12446.25
1786368660,474.97,477,473.85,476.72,477.97,473.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19062,13206.25
1786368720,476.72,477.16,474.48,476.03,477.97,473.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8821,13529.9
1786368780,476.48,477.82,474.7,474.7,477.97,473.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12211,13995.8
1786368840,474.54,474.54,470.92,471.38,477.97,470.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50426,16222
1786368900,471.14,473.95,470.85,473.73,477.97,470.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12082,16552.15
1786368960,473.89,474.34,472.36,472.36,477.97,470.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13164,17043
1786369020,472.35,473.28,470.69,473.07,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17598,17716.95
1786369080,473.4,474.33,472.9,474.1,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15494,18357.5
1786369140,474.01,474.5,471.74,473.56,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13493,18524.05
1786369200,473.41,474.01,471.59,472.34,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16787,18715.75
1786369260,472.29,473.08,471.57,473.07,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6901,18783.2
1786369320,473.28,473.75,471.83,472.19,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6125,18693.9
1786369380,472.19,473.57,472.1,473.57,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5187,18311.9
1786369440,473.75,477.05,473.74,476.99,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12235,18012.1
1786369500,476.92,477.77,475.87,476.84,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184,16920.6
1786369560,476.85,477.5,476.18,477.2,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7472,16599.8
1786369620,477.43,479.69,477.23,479.69,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12850,16467.4
1786369680,479.63,479.72,478.09,478.98,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5571,15041.65
1786369740,478.95,479.78,478.72,479.07,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7981,13899.35
1786369800,479.04,479.87,478.18,479.07,477.97,470.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13047,13084.55
