time,open,high,low,close,ORB High,ORB Low,Retest Upper,Retest Lower,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_orb_range,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_forward_eligible,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_forward_eligible,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_forward_eligible,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_forward_eligible,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_ratio_bucket_parent,EXP_export_row_count,Volume,Volume MA
1786125000,191.41,191.41,191.12,191.28,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,725.8
1786125060,191.09,191.1,190.91,190.91,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,697.8
1786125120,190.92,191.05,190.35,190.35,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893,754.3
1786125180,190.455,190.455,190.2,190.32,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,704.7
1786125240,190.315,190.315,190.12,190.15,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,722.35
1786125300,190.22,190.22,190.06,190.06,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,653.8
1786125360,190.09,190.19,190.06,190.15,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547,487.1
1786125420,190.13,190.24,190.06,190.24,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,476.5
1786125480,190.26,190.3,190.15,190.15,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,499.45
1786125540,190.1,190.1,189.91,189.91,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712,561.6
1786125600,189.9,189.94,189.74,189.88,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,630.95
1786125660,189.87,189.87,189.74,189.79,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,640
1786125720,189.74,189.74,189.6,189.65,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,651.05
1786125780,189.55,189.63,189.48,189.63,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,677.75
1786125840,189.49,189.49,189.32,189.32,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3247,815.45
1786125900,189.255,189.28,189.11,189.28,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,842
1786125960,189.29,189.41,189.255,189.31,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064,892.45
1786126020,189.31,189.49,189.31,189.49,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,892.1
1786126080,189.55,189.6,189.54,189.6,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,873.4
1786126140,189.54,189.54,189.4,189.4,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,894.1
1786126200,189.4,189.4,189.15,189.15,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,907.15
1786126260,189.11,189.11,188.86,188.9,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756,961.2
1786126320,188.81,188.81,188.5,188.54,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448,938.95
1786126380,188.53,188.59,187.86,187.9,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045,1126.2
1786126440,187.69,187.89,187.69,187.89,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1180.1
1786126500,187.86,187.96,187.75,187.77,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889,1221
1786126560,187.87,187.92,187.8,187.92,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,1182.45
1786126620,187.915,187.95,187.89,187.89,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,1183.55
1786126680,187.85,188.16,187.84,188.14,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839,1248.9
1786126740,188.125,188.19,188.12,188.19,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,1188.2
1786126800,188.14,188.27,188.14,188.26,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,1142.8
1786126860,188.32,188.48,188.31,188.48,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,1144.05
1786126920,188.48,188.58,188.4,188.58,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,1151.95
1786126980,188.59,188.59,188.46,188.54,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,1104.05
1786127040,188.58,188.69,188.41,188.69,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,982.15
1786127100,188.68,188.75,188.63,188.63,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,994.9
1786127160,188.73,188.78,188.69,188.72,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,964.35
1786127220,188.68,188.68,188.635,188.635,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,954.85
1786127280,188.59,188.63,188.46,188.5,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,938.5
1786127340,188.51,188.51,188.49,188.5,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,928.55
1786127400,188.5,188.59,188.4,188.59,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6363,1213.95
1786127460,188.52,188.89,188.52,188.875,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,1157.45
1786127520,188.87,188.88,188.76,188.81,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,1093.4
1786127580,188.8,189.09,188.8,188.98,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853,933.8
1786127640,189.095,189.41,188.84,188.84,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2604,966.6
1786127700,188.84,188.98,188.71,188.71,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,983.65
1786127760,188.75,188.95,188.725,188.82,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2341,1061.9
1786127820,188.83,188.99,188.8,188.8,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,1081.5
1786127880,188.85,189.08,188.85,189.02,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182,1048.65
1786127940,188.93,189,188.89,188.94,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685,1108
1786128000,188.88,188.9,188.75,188.86,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,1121.7
1786128060,188.9,189.01,188.88,189.01,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,1106.85
1786128120,188.95,188.95,188.86,188.95,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1143.1
1786128180,188.84,188.99,188.82,188.95,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,1174.9
1786128240,188.95,189.03,188.88,188.88,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,1185.5
1786128300,188.85,189.08,188.85,189.03,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,1173.7
1786128360,189.025,189.025,189,189,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1206.05
1786128420,189.09,189.12,189.03,189.085,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287,1255
1786128480,189.15,189.2,189.07,189.07,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,1247.75
1786128540,189.15,189.25,189.1,189.21,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,1268.9
1786128600,189.29,189.44,189.29,189.38,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,1059.65
1786128660,189.425,189.47,189.38,189.43,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,1068.55
1786128720,189.38,189.39,189.26,189.26,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,1081.95
1786128780,189.255,189.255,189.255,189.255,198.5,193.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1039.35
