time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_PM_Open,RC_PM_Last,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close,MKT_OPEN_SPX_DateKey,MKT_OPEN_SPX_C1_Open,MKT_OPEN_SPX_C1_High,MKT_OPEN_SPX_C1_Low,MKT_OPEN_SPX_C1_Close,MKT_OPEN_SPX_C2_Open,MKT_OPEN_SPX_C2_High,MKT_OPEN_SPX_C2_Low,MKT_OPEN_SPX_C2_Close,MKT_OPEN_NASDAQ_DateKey,MKT_OPEN_NASDAQ_C1_Open,MKT_OPEN_NASDAQ_C1_High,MKT_OPEN_NASDAQ_C1_Low,MKT_OPEN_NASDAQ_C1_Close,MKT_OPEN_NASDAQ_C2_Open,MKT_OPEN_NASDAQ_C2_High,MKT_OPEN_NASDAQ_C2_Low,MKT_OPEN_NASDAQ_C2_Close,MKT_OPEN_DJIA_DateKey,MKT_OPEN_DJIA_C1_Open,MKT_OPEN_DJIA_C1_High,MKT_OPEN_DJIA_C1_Low,MKT_OPEN_DJIA_C1_Close,MKT_OPEN_DJIA_C2_Open,MKT_OPEN_DJIA_C2_High,MKT_OPEN_DJIA_C2_Low,MKT_OPEN_DJIA_C2_Close
1780080000,319.02,319.02,318.45,318.53,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,1420,1534.5,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080300,318.44,318.54,318,318.52,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,2052,1604.7,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080600,318.53,318.62,318.14,318.14,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,2248,1680.7,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080900,318.08,318.15,317.98,317.99,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,1072,1631.5,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081200,318.09,318.09,317.87,317.88,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,2167,1580.4,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081500,317.85,317.85,317.48,317.68,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,1291,1535.6,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081800,317.715,317.72,317.14,317.14,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,1903,1555.45,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082100,317.15,317.28,317.08,317.2,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,1371,1542.2,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082400,317.19,317.53,317.12,317.38,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,2550,1602.65,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082700,317.41,318.065,317.39,318.065,0,0,20260529,0,0,315.6,316.02,314.29,315.38,315.22999999999996,0,0.17854959031429618,314.27,314.27,313.5,314.06,314.08373193821626,1.4114860864416814,0.8049572855252075,0.21894190985343293,,316.11,314.71,315.24,314.11,315.5,306.25,0,,,,,,,,,,,0,0,,,,,,292,1.7299999999999613,2384,1.8799999999999955,6.616236400163418,0.28911842105263297,0.21894190985343293,1.8049999999999784,,394,314.71,316.02,310,315.12,,,1514,1634.55,311,315.5,306.23,315.12,313.82,317.49,311.675,312.54,314.29,315.66,303.04,311.78,315.29,316.3999,307.76,313.48,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
