time,open,high,low,close,ORB High,ORB Low,Retest Upper,Retest Lower,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_orb_range,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_forward_eligible,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_forward_eligible,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_forward_eligible,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_forward_eligible,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_ratio_bucket_parent,EXP_export_row_count,Volume,Volume MA
1786125480,25.465,25.47,25.46,25.47,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,2092.65
1786125540,25.465,25.465,25.46,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708,1931.65
1786125600,25.455,25.46,25.455,25.455,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,1789.9
1786125660,25.45,25.45,25.44,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903,1850.95
1786125720,25.44,25.44,25.44,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1866.5
1786125780,25.445,25.45,25.445,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1850.6
1786125840,25.45,25.46,25.45,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,1814.8
1786125900,25.445,25.445,25.435,25.435,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,1696.45
1786125960,25.43,25.43,25.41,25.415,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715,1702.45
1786126020,25.41,25.46,25.4,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11186,2007.1
1786126080,25.46,25.465,25.44,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10943,2448.35
1786126140,25.445,25.45,25.44,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,2212.2
1786126200,25.445,25.455,25.44,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14686,2794.75
1786126260,25.44,25.445,25.42,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20684,3788.6
1786126320,25.435,25.44,25.43,25.435,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4522,4010.4
1786126380,25.435,25.46,25.435,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068,4003
1786126440,25.47,25.47,25.46,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,3990.45
1786126500,25.45,25.45,25.44,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17317,4838.6
1786126560,25.44,25.45,25.44,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3745,5000.8
1786126620,25.45,25.46,25.45,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11415,5480.2
1786126680,25.47,25.47,25.46,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5644,5748.95
1786126740,25.46,25.46,25.45,25.455,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8495,6088.3
1786126800,25.45,25.45,25.44,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6933,6413.05
1786126860,25.435,25.45,25.435,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493,6392.55
1786126920,25.445,25.45,25.445,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,6350.7
1786126980,25.445,25.45,25.44,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,6379.9
1786127040,25.445,25.45,25.44,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6938,6681.35
1786127100,25.44,25.445,25.44,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410,6791.4
1786127160,25.45,25.45,25.44,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,6740.4
1786127220,25.44,25.45,25.435,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11116,6736.9
1786127280,25.445,25.45,25.445,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,6223.5
1786127340,25.45,25.45,25.44,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,6235.55
1786127400,25.44,25.445,25.44,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3147,5658.6
1786127460,25.44,25.45,25.44,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,4874.4
1786127520,25.445,25.45,25.445,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,4673.95
1786127580,25.445,25.45,25.445,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,4502.1
1786127640,25.445,25.445,25.39,25.395,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29708,5912.95
1786127700,25.4,25.435,25.4,25.435,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2991,5196.65
1786127760,25.44,25.44,25.43,25.435,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13703,5694.55
1786127820,25.435,25.44,25.435,25.435,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,5141.1
1786127880,25.435,25.45,25.435,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2726,4995.2
1786127940,25.46,25.47,25.44,25.465,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4239,4782.4
1786128000,25.46,25.475,25.46,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5431,4707.3
1786128060,25.47,25.48,25.47,25.48,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,4603.85
1786128120,25.48,25.48,25.46,25.465,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,4628.35
1786128180,25.47,25.47,25.46,25.465,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,4626.05
1786128240,25.47,25.47,25.455,25.455,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6705,4614.4
1786128300,25.46,25.46,25.46,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4493.95
1786128360,25.46,25.46,25.455,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,4500.8
1786128420,25.455,25.455,25.455,25.455,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3960
1786128480,25.455,25.47,25.455,25.47,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,3968.4
1786128540,25.47,25.47,25.465,25.465,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,3948.25
1786128600,25.46,25.46,25.455,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,3922.35
1786128660,25.455,25.46,25.455,25.46,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3672.45
1786128720,25.46,25.465,25.45,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,3669.65
1786128780,25.46,25.46,25.455,25.455,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,3649.7
1786128840,25.46,25.49,25.455,25.49,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8993,2613.95
1786128900,25.49,25.495,25.49,25.495,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7540,2841.4
1786128960,25.5,25.5,25.49,25.49,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,2212.3
1786129020,25.49,25.49,25.485,25.485,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,2284.9
1786129080,25.49,25.49,25.48,25.49,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,2221.5
1786129140,25.49,25.49,25.465,25.465,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45588,4288.95
1786129200,25.465,25.465,25.43,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17694,4902.1
1786129260,25.445,25.48,25.44,25.475,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10171,5389.45
1786129320,25.475,25.49,25.475,25.49,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9123,5817.95
1786129380,25.485,25.485,25.41,25.41,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27353,7157.3
1786129440,25.41,25.47,25.41,25.47,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9656,7304.85
1786129500,25.48,25.48,25.43,25.44,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22218,8415.7
1786129560,25.435,25.47,25.42,25.45,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12270,8987.6
1786129620,25.445,25.47,25.42,25.47,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712,9108.2
1786129680,25.47,25.48,25.465,25.465,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,9079.45
1786129740,25.47,25.47,25.445,25.445,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23747,10251.5
1786129800,25.445,25.445,25.42,25.425,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323,10286.2
1786129860,25.425,25.44,25.425,25.43,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,10382.4
1786129920,25.425,25.425,25.405,25.405,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,10369.2
1786129980,25.405,25.42,25.405,25.415,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,10439.65
1786130040,25.42,25.42,25.4,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194,10149.7
1786130100,25.43,25.43,25.425,25.43,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,9777.75
1786130160,25.42,25.42,25.41,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,9774.4
1786130220,25.42,25.42,25.405,25.41,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,9698.8
1786130280,25.41,25.41,25.375,25.38,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,9698.7
1786130340,25.38,25.39,25.375,25.39,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201,7529.35
1786130400,25.39,25.39,25.39,25.39,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,6648.55
1786130460,25.39,25.405,25.385,25.405,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,6209.5
1786130520,25.41,25.425,25.41,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,5842.9
1786130580,25.42,25.42,25.41,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,4517.3
1786130640,25.415,25.42,25.415,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,4084.6
1786130700,25.42,25.43,25.42,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527,3050.05
1786130760,25.41,25.415,25.41,25.415,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3096,2591.35
1786130820,25.41,25.42,25.4,25.405,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429,2627.2
1786130880,25.405,25.405,25.37,25.37,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3662,2796.9
1786130940,25.38,25.4,25.38,25.395,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6846,1951.85
1786131000,25.39,25.41,25.38,25.4,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518,1961.6
1786131060,25.4,25.41,25.39,25.4,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,1903.95
1786131120,25.395,25.4,25.395,25.4,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,1926.55
1786131180,25.4,25.41,25.4,25.41,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,1875.5
1786131240,25.41,25.41,25.405,25.405,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,1741.4
1786131300,25.41,25.42,25.41,25.42,25.23,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1798.35
