time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780331400,30.745,30.745,30.7,30.7,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,15275,30183.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331700,30.7,30.73,30.665,30.675,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,23843,30555.55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332000,30.675,30.765,30.665,30.74,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,30049,29992.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332300,30.735,30.735,30.665,30.68,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,12157,29587.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332600,30.685,30.9,30.645,30.84,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,115626,33949.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780332900,30.85,30.875,30.815,30.86,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,23943,33430.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333200,30.85,30.86,30.775,30.805,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,16978,32326.55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333500,30.81,30.825,30.765,30.77,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,14112,28802.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780333800,30.76,30.79,30.72,30.79,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,8908,28023.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780334100,30.785,30.82,30.755,30.82,0,0,,,0,0,0,,31.99,32.05,31.84,32.04,668,0.2099999999999973,31.976666666666667,32.01,32.09,31.83,32.08,18638,0.2600000000000051,31.999192651679962,0.387111729253593,1.0830379452612005,1.019614884919671,0.02816466314621479,1.0294652298445337,0.024844961240309854,0.02816466314621479,0.2350000000000012,,,31.96,31.7,31.95,31.96,15960,32,31.88,7184,32.67,31.835,31.885,0,0,,,,,,,,,,,,,,,,,,13620,28036.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
