time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328400,116.49,116.55,116.4,116.54,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,7193,7951.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328700,116.54,116.73,116.54,116.73,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,4743,7555.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,116.8,116.81,116.58,116.59,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,4291,7158.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,116.57,116.7,116.55,116.67,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,10277,7075.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,116.67,116.73,116.53,116.7,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,6022,6991.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,116.72,116.85,116.67,116.8,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,3192,6835.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,116.81,117.07,116.77,116.99,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,4744,6458.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,116.975,117.06,116.94,117.06,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,6357,6535.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,117.06,117.14,117.02,117.05,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,4890,6611.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,117.06,117.08,116.94,116.96,0,0,,,0,0,0,,115.74,116.22,115.52,116.03,2355,0.7000000000000028,115.92333333333333,116.14,116.17,115.78,115.78,718,0.39000000000000057,115.92021802798568,0.518539721683988,0.1879679564375098,0.36752218527997704,0.08606642867636269,3.291063233884209,0.07520565552699242,0.08606642867636269,0.5450000000000017,,,116.24,114,114,115.56,3383,114.28,113.99,316,114.74,112.63,113.99,0,0,,,,,,,,,,,,,,,,,,5229,6618.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
