time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_PM_Open,RC_PM_Last,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close,MKT_OPEN_SPX_DateKey,MKT_OPEN_SPX_C1_Open,MKT_OPEN_SPX_C1_High,MKT_OPEN_SPX_C1_Low,MKT_OPEN_SPX_C1_Close,MKT_OPEN_SPX_C2_Open,MKT_OPEN_SPX_C2_High,MKT_OPEN_SPX_C2_Low,MKT_OPEN_SPX_C2_Close,MKT_OPEN_NASDAQ_DateKey,MKT_OPEN_NASDAQ_C1_Open,MKT_OPEN_NASDAQ_C1_High,MKT_OPEN_NASDAQ_C1_Low,MKT_OPEN_NASDAQ_C1_Close,MKT_OPEN_NASDAQ_C2_Open,MKT_OPEN_NASDAQ_C2_High,MKT_OPEN_NASDAQ_C2_Low,MKT_OPEN_NASDAQ_C2_Close,MKT_OPEN_DJIA_DateKey,MKT_OPEN_DJIA_C1_Open,MKT_OPEN_DJIA_C1_High,MKT_OPEN_DJIA_C1_Low,MKT_OPEN_DJIA_C1_Close,MKT_OPEN_DJIA_C2_Open,MKT_OPEN_DJIA_C2_High,MKT_OPEN_DJIA_C2_Low,MKT_OPEN_DJIA_C2_Close
1780080000,91.55,91.55,91.39,91.4,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,3197,2740.7,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080300,91.43,91.43,91.33,91.36,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,3766,2716.1,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080600,91.35,91.42,91.29,91.3,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,3894,2808.2,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080900,91.31,91.42,91.31,91.42,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,5221,2998.35,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081200,91.39,91.44,91.35,91.42,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,3520,3012.2,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081500,91.44,91.47,91.38,91.47,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,3394,3114.45,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081800,91.47,91.54,91.4,91.49,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,3858,3257.2,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082100,91.45,91.49,91.43,91.47,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,5164,3417.05,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082400,91.49,91.55,91.42,91.48,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,5771,3631.2,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082700,91.47,91.5,91.38,91.42,0,0,20260529,0,0,92.8,92.8,92.55,92.65,92.66666666666667,0,0.9029107621600918,92.665,92.665,92.5,92.5,92.62215667517007,0.36027207747290757,0.5641911341393208,0.0635049417345698,,93,92.51,93.22,92.88,94.17,91.62,0,,,,,,,,,,,0,0,,,,,,943,0.25,625,0.16500000000000625,2.287718137349527,0.06492125984251969,0.0635049417345698,0.20750000000000313,,212,92.63,92.57,254,92.97,,,4909,3773.55,92.21,94.175,91.975,92.97,90.99,92.09,90.6501,92.07,95.7,96.45,92.56,93.26,91.155,98.43,90.63,95.89,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
