time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_PM_Open,RC_PM_Last,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close,MKT_OPEN_SPX_DateKey,MKT_OPEN_SPX_C1_Open,MKT_OPEN_SPX_C1_High,MKT_OPEN_SPX_C1_Low,MKT_OPEN_SPX_C1_Close,MKT_OPEN_SPX_C2_Open,MKT_OPEN_SPX_C2_High,MKT_OPEN_SPX_C2_Low,MKT_OPEN_SPX_C2_Close,MKT_OPEN_NASDAQ_DateKey,MKT_OPEN_NASDAQ_C1_Open,MKT_OPEN_NASDAQ_C1_High,MKT_OPEN_NASDAQ_C1_Low,MKT_OPEN_NASDAQ_C1_Close,MKT_OPEN_NASDAQ_C2_Open,MKT_OPEN_NASDAQ_C2_High,MKT_OPEN_NASDAQ_C2_Low,MKT_OPEN_NASDAQ_C2_Close,MKT_OPEN_DJIA_DateKey,MKT_OPEN_DJIA_C1_Open,MKT_OPEN_DJIA_C1_High,MKT_OPEN_DJIA_C1_Low,MKT_OPEN_DJIA_C1_Close,MKT_OPEN_DJIA_C2_Open,MKT_OPEN_DJIA_C2_High,MKT_OPEN_DJIA_C2_Low,MKT_OPEN_DJIA_C2_Close
1779992400,386.2,386.41,386.115,386.38,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,7082,10786.25,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779992700,386.36,386.91,386.36,386.47,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,7015,10904.25,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779993000,386.42,386.81,386.33,386.76,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,5467,10685.6,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779993300,386.83,386.83,386.25,386.61,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,4742,10411.05,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779993600,386.65,387.34,386.63,387.01,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,10809,10567.25,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779993900,386.98,387.32,386.98,387.07,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,8962,10649.45,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779994200,387,387.24,386.86,387.02,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,8475,10714.15,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779994500,386.99,387.175,386.43,386.43,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,5429,10653.15,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779994800,386.38,386.66,386.29,386.66,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,9085,10626.25,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
1779995100,386.65,386.84,386.39,386.52,0,0,20260528,0,0,383.86,384.89,383.73,384.03,384.2166666666667,0,0.6421037907399636,384.27,384.565,383.86,384.02,384.1936074707003,0.5158414967787486,0.5931138390946291,0.3325833333333341,,384.93,382.435,386.67,384.37,389.71,382,0,,,,,,,,,,,0,0,,,,,,11476,1.1899999999999977,5845,0.7049999999999841,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,16073,384.93,383.7,7295,384.83,,,5428,10135.6,382.765,389.725,382,384.83,380.995,385.39,379.14,384.84,392.125,404.47,378.26,379.38,390.69,399.93,379.72,393.32,7526.01,7530.72,7499.72,7520.37,7511.79,7539.09,7501.1,7519.11,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26695.4417,26715.3079,26538.3133,26674.7349,26590.5045,26725.2923,26520.298,26656.1806,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50487.16,50830.41,50487.16,50644.29,50686.15,50785.68,50356.64,50461.69,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260528,7518.53,7520.77,7515.37,7518.35,7518.97,7520.08,7516.08,7516.58,20260528,26686.5342,26694.1423,26677.4227,26685.1215,26685.402,26713.5114,26682.0039,26682.0174,20260528,50660.98,50660.98,50358.55,50375.98,50387.71,50389.33,50314.34,50370.58
