time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1779983100,386.08,386.31,385.95,385.95,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,5371,12775.15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779983400,385.99,386.19,385.89,385.92,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,5688,10902.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779983700,385.81,386.41,385.81,386.29,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,5869,10590.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779984000,386.29,386.41,385.98,386.14,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,5390,10348.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779984300,386.14,386.5,386.06,386.29,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,6133,10219.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779984600,386.26,386.36,385.77,385.93,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,3208,9852.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779984900,385.92,386.41,385.675,386.05,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,6793,9764.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779985200,386.08,386.33,385.5,386.27,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,5547,9584.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779985500,386.24,386.28,385.72,385.72,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,3664,9050.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1779985800,385.65,385.7,385.13,385.19,0,0,,,0,0,0,,383.86,384.89,383.73,384.03,11476,1.1899999999999977,384.2166666666667,384.27,384.565,383.86,384.02,5845,0.7049999999999841,384.1936074707003,0.6421037907399636,0.5158414967787486,0.5931138390946291,0.3325833333333341,9.197348669509788,0.355782051282052,0.3325833333333341,0.9474999999999909,,,384.93,382.435,384.93,383.7,16073,386.67,384.37,7295,389.71,382,384.86,0,0,,,,,,,,,,,,,,,,,,3653,8817.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
