time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_PM_Open,RC_PM_Last,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close,MKT_OPEN_SPX_DateKey,MKT_OPEN_SPX_C1_Open,MKT_OPEN_SPX_C1_High,MKT_OPEN_SPX_C1_Low,MKT_OPEN_SPX_C1_Close,MKT_OPEN_SPX_C2_Open,MKT_OPEN_SPX_C2_High,MKT_OPEN_SPX_C2_Low,MKT_OPEN_SPX_C2_Close,MKT_OPEN_NASDAQ_DateKey,MKT_OPEN_NASDAQ_C1_Open,MKT_OPEN_NASDAQ_C1_High,MKT_OPEN_NASDAQ_C1_Low,MKT_OPEN_NASDAQ_C1_Close,MKT_OPEN_NASDAQ_C2_Open,MKT_OPEN_NASDAQ_C2_High,MKT_OPEN_NASDAQ_C2_Low,MKT_OPEN_NASDAQ_C2_Close,MKT_OPEN_DJIA_DateKey,MKT_OPEN_DJIA_C1_Open,MKT_OPEN_DJIA_C1_High,MKT_OPEN_DJIA_C1_Low,MKT_OPEN_DJIA_C1_Close,MKT_OPEN_DJIA_C2_Open,MKT_OPEN_DJIA_C2_High,MKT_OPEN_DJIA_C2_Low,MKT_OPEN_DJIA_C2_Close
1780080000,93.01,93.1,92.96,93,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,18971,26608.15,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080300,93,93.01,92.15,92.19,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,34290,27514.55,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080600,92.18,92.18,91.7,91.83,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,47787,28697.3,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780080900,91.83,92.02,91.78,92.02,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,53027,30474.3,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081200,92.03,92.23,91.79,92.12,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,38864,30203.5,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081500,92.11,92.29,92.06,92.265,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,14773,29093.5,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081800,92.24,92.44,92.24,92.43,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,22350,29219.55,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082100,92.43,92.875,92.31,92.87,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,38237,30096.95,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082400,92.88,93.05,92.79,92.97,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,43477,31208.55,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082700,92.975,93.43,92.96,93.43,0,0,20260529,0,0,85.68,85.98,84.22,85.15,85.11666666666666,0,1.8181148908787503,85.07,86.29,84.89,86.13,85.41162576745997,2.4195183888688043,2.0479303199285677,0.13169794871794896,,86,84.84,85.38,84.34,84.91,73.54,0,,,,,,,,,,,0,0,,,,,,66679,1.7600000000000051,54880,1.4000000000000057,4.483373956917747,0.17746410256410264,0.13169794871794896,1.5800000000000054,,101364,85.38,85.87,52728,84.84,,,50359,32030.85,74.845,84.92,73.53,84.84,73.915,76.635,73.45,76.23,76,79.92,73.18,73.64,76.79,81.93,74.8,77.14,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
