time,open,high,low,close,ORB High,ORB Low,Retest Upper,Retest Lower,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_orb_range,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_forward_eligible,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_forward_eligible,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_forward_eligible,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_forward_eligible,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_ratio_bucket_parent,EXP_export_row_count,Volume,Volume MA
1786122480,256.57,256.57,256.42,256.43,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,383.25
1786122540,256.51,256.54,256.4,256.4,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,402.9
1786122600,256.41,256.47,256.35,256.35,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,389.75
1786122660,256.35,256.35,256.26,256.33,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,394.45
1786122720,256.31,256.37,256.31,256.37,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,397.1
1786122780,256.52,256.56,256.52,256.56,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,343.3
1786122840,256.61,256.67,256.61,256.63,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,299.7
1786122900,256.64,256.64,256.52,256.52,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,309.55
1786122960,256.52,256.64,256.52,256.62,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,279.05
1786123080,256.54,256.63,256.52,256.565,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,334.5
1786123140,256.55,256.55,256.46,256.46,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,334.15
1786123200,256.43,256.5,256.43,256.49,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,330
1786123260,256.51,256.51,256.36,256.36,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,361.65
1786123320,256.42,256.42,256.42,256.42,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,356.4
1786123380,256.44,256.445,256.36,256.37,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,376.25
1786123440,256.37,256.48,256.36,256.48,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,376.15
1786123500,256.54,256.54,256.45,256.45,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,387.4
1786123560,256.44,256.44,256.44,256.44,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,385.45
1786123620,256.42,256.42,256.42,256.42,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,365.25
1786123680,256.41,256.41,256.35,256.35,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,355.75
1786123740,256.39,256.41,256.37,256.37,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,335.2
1786123800,256.375,256.41,256.3,256.3,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,321.65
1786123860,256.31,256.34,256.31,256.34,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,304.6
1786123920,256.45,256.45,256.35,256.35,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,302.35
1786123980,256.36,256.45,256.35,256.36,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,309.65
1786124040,256.4,256.45,256.37,256.38,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,305.75
1786124100,256.37,256.37,256.29,256.37,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,293.15
1786124160,256.35,256.35,256.35,256.35,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,274.2
1786124220,256.4,256.41,256.4,256.41,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,283.05
1786124280,256.39,256.39,256.34,256.38,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,256.25
1786124340,256.31,256.41,256.31,256.36,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,261.6
1786124400,256.38,256.41,256.35,256.41,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,266.7
1786124460,256.4,256.46,256.4,256.43,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,236.25
1786124520,256.45,256.46,256.42,256.46,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,242.4
1786124580,256.46,256.49,256.41,256.41,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,222.9
1786124640,256.44,256.44,256.35,256.35,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,209.45
1786124700,256.375,256.375,256.34,256.34,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,198.7
1786124760,256.4,256.41,256.32,256.32,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,231.85
1786124820,256.29,256.29,256.29,256.29,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,232.25
1786124880,256.31,256.34,256.26,256.26,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,256.6
1786124940,256.25,256.3,256.25,256.26,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,254.5
1786125000,256.31,256.31,256.25,256.25,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,268.75
1786125060,256.25,256.25,256.24,256.24,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,273.15
1786125120,256.24,256.24,256.17,256.19,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,264.2
1786125180,256.16,256.22,256.13,256.16,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,261.8
1786125240,256.16,256.21,256.15,256.19,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,263.85
1786125300,256.18,256.19,256.12,256.15,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,253.8
1786125360,256.15,256.17,256.11,256.17,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,264.1
1786125420,256.19,256.19,256.16,256.16,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,262
1786125480,256.17,256.2,256.13,256.2,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,235.85
1786125540,256.2,256.22,256.16,256.22,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,230.2
1786125600,256.15,256.48,256.15,256.48,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,247.25
1786125660,256.455,256.47,256.44,256.44,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,244.3
1786125720,256.42,256.42,256.42,256.42,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,248.1
1786125780,256.49,256.5,256.43,256.47,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,265.75
1786125840,256.47,256.47,256.45,256.45,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,264.6
1786125900,256.5,256.57,256.5,256.53,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,280.9
1786125960,256.52,256.58,256.52,256.52,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,248.5
1786126020,256.5,256.59,256.49,256.59,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,259.25
1786126080,256.55,256.6,256.45,256.55,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,251.9
1786126140,256.46,256.57,256.46,256.57,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,256.55
1786126200,256.53,256.57,256.53,256.57,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,247.25
1786126260,256.54,256.545,256.53,256.545,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,248.5
1786126320,256.555,256.57,256.55,256.57,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,252.95
1786126380,256.58,256.59,256.58,256.59,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,244.5
1786126440,256.6,256.62,256.59,256.59,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,267.95
1786126500,256.56,256.56,256.52,256.52,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,267.75
1786126560,256.44,256.44,256.43,256.44,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,256
1786126620,256.48,256.51,256.47,256.51,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,268.35
1786126680,256.55,256.55,256.48,256.53,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,284.2
1786126740,256.49,256.49,256.49,256.49,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,276.2
1786126800,256.45,256.45,256.32,256.32,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,286.45
1786126860,256.28,256.28,256.23,256.235,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,282.85
1786126920,256.22,256.22,256.195,256.195,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,276.65
1786126980,256.16,256.31,256.11,256.31,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008,308.3
1786127040,256.31,256.31,256.22,256.22,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,309.55
1786127100,256.24,256.31,256.24,256.31,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,298.45
1786127160,256.37,256.4,256.33,256.4,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,298.5
1786127220,256.4,256.44,256.4,256.44,257.34,255.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,288.95
