time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328700,274.15,274.33,274.11,274.33,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,2536,4976.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,274.25,274.295,274.1,274.2,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,2435,4879.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,274.34,274.45,274.34,274.35,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,866,4657.25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,274.35,274.35,273.76,273.76,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,5212,4482.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,273.78,273.81,273.61,273.61,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,2002,4352.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,273.63,273.94,273.63,273.73,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,2165,3962.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,273.72,273.72,273.49,273.57,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,2416,3487.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,273.66,273.74,273.54,273.58,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,1401,3285.25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,273.61,273.62,273.41,273.58,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,3044,3050.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331400,273.59,273.6,273.44,273.52,0,0,,,0,0,0,,278.53,278.82,277.45,278,3692,1.3700000000000045,278.09,277.97,278.12,277.28,278.12,1990,0.8400000000000318,278.00244280183034,1.3424478219765836,0.6129489311895522,0.9475053361792956,0.1503780021756084,4.900014450727596,0.15205141388174917,0.1503780021756084,1.1050000000000182,,,279.9,278.25,279.9,278.25,5054,279.87,279.16,816,281.415,277.43,279.31,0,0,,,,,,,,,,,,,,,,,,1916,2964.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
