time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1782237900,373.83,374.099,373.62,374.05,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,22857,20455.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782238200,374.07,374.24,373.61,373.63,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,23906,20878.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782238500,373.6,373.88,373.52,373.79,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,19722,21035.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782238800,373.78,373.78,373.33,373.4,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,14418,20603.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782239100,373.42,373.51,373.14,373.175,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,21626,20139.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782239400,373.16,373.73,372.97,373.57,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,28789,20857.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782239700,373.59,373.66,372.98,373.205,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,17272,20092.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782240000,373.22,373.23,372.33,372.38,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,23032,19345.55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782240300,372.39,372.57,372.29,372.465,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,29787,20112.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1782240600,372.5,373,372.48,372.86,0,0,,,0,0,0,,372.54,373.4,370.67,370.93,82421,2.7299999999999613,371.6666666666667,371.03,372.35,370.8,371.93,38816,1.5500000000000114,371.6752044342899,1.9389709134366562,1.6683142358574095,1.8432303243521018,0.36062358974358955,12.103154275804892,0.36784358974358916,0.36062358974358955,2.1399999999999864,,,374.13,366.52,367.56,372.24,171455,369.165,367.09,30959,381.6,367.07,367.14,0,0,,,,,,,,,,,,,,,,,,22943,20598.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
