time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780327800,45.96,46.05,45.95,45.975,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,20040,21139.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328100,45.97,46.03,45.955,45.985,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,11821,18583.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328400,45.96,45.985,45.915,45.97,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,6009,15582.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780328700,45.98,45.99,45.935,45.945,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,6682,14046.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,45.95,45.96,45.865,45.865,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,6762,13754.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,45.87,45.97,45.87,45.95,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,7324,13206.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,45.94,45.96,45.9,45.91,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,7762,13051.15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,45.91,45.93,45.9,45.91,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,4950,12110.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,45.905,45.935,45.899,45.92,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,13228,12115.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,45.92,45.92,45.805,45.805,0,0,,,0,0,0,,45.32,45.72,45.32,45.37,97370,0.3999999999999986,45.46999999999999,45.38,45.43,45.05,45.385,50814,0.38000000000000256,45.407704408033254,2.871322748826347,3.5343460479091893,3.0687287215977337,0.03933433004640573,1.2928527855706056,0.04202835051546396,0.03933433004640573,0.39000000000000057,,,46.14,45.26,46.14,45.42,46301,46.3,46.2,4116,47.2,46.085,46.24,0,0,,,,,,,,,,,,,,,,,,5334,11031.95,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
