time,open,high,low,close,MTF ORB High,MTF ORB Low,MTF Broken ORB,MTF ORB Mid,EXP_event_flag,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_pmh,EXP_pml,EXP_pdh,EXP_pdl,EXP_prev_ahh,EXP_prev_ahl,EXP_relevant_pm_first_trade_time,EXP_relevant_pd_first_trade_time,EXP_relevant_prev_ah_first_trade_time,EXP_fail_boundary_touch_time,EXP_fail_first_trade_inside_time,EXP_fail_first_close_inside_time,EXP_fail_first_close_inside_price,EXP_fail_midpoint_cross_time,EXP_fail_opposite_boundary_time,EXP_host_tf_seconds,EXP_research_tf_seconds,EXP_research_1m_bars_processed,Volume,Volume MA
1779907200,212.99,213.12,212.91,212.95,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47379,87040.1
1779907500,212.95,213.25,212.91,213.01,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49912,84366.15
1779907800,213.02,213.18,212.88,213.04,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62964,82453.3
1779908100,213.04,213.15,212.75,212.825,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106231,84785.6
1779908400,212.81,213.12,212.54,213.035,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67822,84549
1779908700,213.04,213.3,212.87,213.01,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88563,84647.65
1779909000,212.98,212.98,212.77,212.905,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54787,80131.55
1779909300,212.9,212.91,212.39,212.44,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96137,81139.95
1779909600,212.45,212.46,212.15,212.33,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119847,82327.55
1779909900,212.33,212.51,212.12,212.45,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83098,81048.2
1779910200,212.44,212.51,212.16,212.17,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96000,82472.15
1779910500,212.18,212.81,212.17,212.7,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77138,83648.7
1779910800,212.7,213.07,212.65,213.05,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100998,84381.1
1779911100,213.05,213.25,212.87,212.87,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125560,82477.5
1779911400,212.88,212.88,212.05,212.32,214.13,210.7,210.7,212.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202626,88730.6
1779911700,212.31,212.78,212.28,212.61,214.13,210.7,210.7,212.415,1,-1,1779890100000,210.36,214.13,210.7,0.6263137068429957,0.7510933637573742,1.404734740444944,2,1779890160000,2,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,,,1779890160000,1779890160000,1779890160000,211.18,1779903180000,,300,60,27300,400164,106119.25
1779975000,211.26,213.81,211.19,213.26,213.81,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524184,128504.4
1779975300,213.25,214.22,212.2,214.02,214.22,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449339,146947.2
1779975600,214.02,214.24,212.93,213.25,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286617,156509.6
1779975900,213.24,213.41,211.71,211.89,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254060,164671.3
1779976200,211.88,212.77,211.805,212.31,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250825,174843.6
1779976500,212.32,212.92,212.22,212.83,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150176,179856.8
1779976800,212.81,213.45,212.69,213.28,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204365,186926.85
1779977100,213.29,213.47,212.88,212.95,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143556,188793.1
1779977400,212.95,213.54,212.12,213.39,214.24,211.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358403,203322.15
