time,open,high,low,close,ORB High,ORB Low,Retest Upper,Retest Lower,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_orb_range,EXP_frozen_atr,EXP_signal_mfe_pct,EXP_signal_mae_pct,EXP_primary_outcome,EXP_first_retest_time,EXP_retest_state,EXP_cp5_valid,EXP_cp5_time,EXP_cp5_ref_price,EXP_cp5_sep_atr_pct,EXP_cp5_forward_eligible,EXP_cp5_fwd_mfe_pct,EXP_cp5_fwd_mae_pct,EXP_cp5_outcome,EXP_cp10_valid,EXP_cp10_time,EXP_cp10_ref_price,EXP_cp10_sep_atr_pct,EXP_cp10_forward_eligible,EXP_cp10_fwd_mfe_pct,EXP_cp10_fwd_mae_pct,EXP_cp10_outcome,EXP_cp15_valid,EXP_cp15_time,EXP_cp15_ref_price,EXP_cp15_sep_atr_pct,EXP_cp15_forward_eligible,EXP_cp15_fwd_mfe_pct,EXP_cp15_fwd_mae_pct,EXP_cp15_outcome,EXP_cp30_valid,EXP_cp30_time,EXP_cp30_ref_price,EXP_cp30_sep_atr_pct,EXP_cp30_forward_eligible,EXP_cp30_fwd_mfe_pct,EXP_cp30_fwd_mae_pct,EXP_cp30_outcome,EXP_ratio_10m_15m,EXP_ratio_bucket_parent,EXP_export_row_count,Volume,Volume MA
1785526440,760.35,760.65,760.15,760.15,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,665.55
1785526500,760.21,762.07,760.14,762,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,626.2
1785526560,762.13,762.35,762,762.27,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,623.05
1785526620,762.165,762.165,760.695,761.06,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,411.45
1785526680,761.14,761.83,761.14,761.8,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,362.25
1785526740,761.83,762.12,761.42,762.12,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,342.45
1785526800,762.13,763.42,762.13,763.42,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,322.9
1785526860,763.75,763.75,763.08,763.16,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,280.15
1785526920,764.14,764.14,763.05,763.52,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,314.25
1785526980,763.59,764.21,762.93,763.29,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,320.25
1785527040,763.24,763.24,762.98,762.98,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,312
1785527100,763.46,763.6,761.8,761.8,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,333.25
1785527160,762.94,764.58,762.94,764.58,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,328
1785527220,764.54,764.54,763.63,763.63,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,358.9
1785527280,763.44,763.7,762.88,763.16,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,377.75
1785527340,762.51,764.06,762.21,764.06,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,391.75
1785527400,763.4,763.5,760.93,760.93,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,419.5
1785527460,760.41,760.64,759.64,760.38,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,418.45
1785527520,760.39,760.84,759.96,760.84,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,383.8
1785527580,761.34,761.54,760.48,760.48,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,387.95
1785527640,760.97,761.66,760.48,761.66,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,395.6
1785527700,762.26,763.5,761.46,762.75,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,470.95
1785527760,763.01,763.7,762.78,763.61,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,484.15
1785527820,763.8,764.82,763.16,763.16,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,502.5
1785527880,763.53,764.04,763.43,763.8,741.11,724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,590.25
1785527940,763.59,763.62,762.4,762.54,741.11,724.84,,,1,13,1,1785505560000,742.58,741.11,724.84,16.269999999999982,2.4782820165847994,2.9949635056155577,1.135231220878567,1,,0,1,1785505860000,741.43,12.912170522098727,0,3.1547145381222905,0.9818863547469044,0,1,1785506160000,740.01,-44.385586169724114,0,3.3526573965216766,0.7918811907947209,0,1,1785506460000,744.81,149.29697166179346,0,2.686591211181389,1.431237496811263,0,1,1785507360000,743.37,91.19220431234002,0,2.8855078897453548,1.240297563797305,0,,-1,13,3597,767.9
1785763800,770.965,774.18,768.94,771.95,774.18,768.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,780.6
1785763860,770.86,771.76,770.18,771.5,774.18,768.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,789.5
1785763920,771.5,771.5,771.5,771.5,774.18,768.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,751.8
1785763980,771,771,771,771,774.18,768.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,738.2
1785764040,770.685,770.685,767.61,767.61,774.18,767.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,742.2
1785764100,765.82,765.82,764.73,765.12,774.18,764.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,720.35
1785764160,765.61,767.53,765.61,766.04,774.18,764.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,733.1
1785764220,765.96,765.96,765.42,765.42,774.18,764.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,727.5
1785764280,764.06,765.53,762.07,762.6,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,720.05
1785764340,762.495,763.2,762.495,763.2,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,705.15
1785764400,764.18,764.24,763.45,763.45,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,627.95
1785764520,765.36,765.54,765.21,765.54,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,602.3
1785764580,765.3,767.75,765.18,766.4,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,597.1
1785764640,766.4,768.39,765.43,768.05,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096,697.5
1785764700,769.83,771.52,769.83,771.52,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,700.5
1785764760,769.46,769.46,769.35,769.35,774.18,762.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,617.3
