time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close
1780075800,616.28,616.66,616.16,616.16,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,761,630.45,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780076100,616.12,616.46,615.91,616.3,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,440,609.05,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780076400,616.23,616.74,616.12,616.74,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,630,623.25,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780076700,616.93,616.93,615.71,615.97,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,757,616.9,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780077000,615.68,616,615.57,616,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,170,619.75,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780077300,615.78,616.28,615.44,615.45,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,1797,706.3,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780077600,615.68,616.03,615.57,615.57,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,2565,800.5,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780077900,615.79,615.85,614.24,614.33,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,1074,830.6,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780078200,614.39,614.83,614.26,614.79,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,1793,907.45,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780078500,614.79,614.91,613.5,613.53,0,0,20260529,0,0,620.62,623,620.62,622.28,621.9666666666666,0,1.3746065057712487,622.12,622.12,621.62,621.62,621.9322222222222,0.13753327417923691,0.5051449953227315,0.5287023736360019,,,,,,630.94,620.44,0,,,,,,,,,,,0,0,,,,,,262,2.3799999999999955,62,0.6599999999999682,20.62341534743239,0.4576822157434409,0.5287023736360019,1.5199999999999818,,0,0,621.52,,,897,878.5,630.15,631.73,620.35,621.52,634.8,638.06,625,627.74,615.93,651,610.6,638.88,714.99,730.59,693.7,698.25,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
