time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_PM_Open,RC_PM_Last,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close,MKT_OPEN_SPX_DateKey,MKT_OPEN_SPX_C1_Open,MKT_OPEN_SPX_C1_High,MKT_OPEN_SPX_C1_Low,MKT_OPEN_SPX_C1_Close,MKT_OPEN_SPX_C2_Open,MKT_OPEN_SPX_C2_High,MKT_OPEN_SPX_C2_Low,MKT_OPEN_SPX_C2_Close,MKT_OPEN_NASDAQ_DateKey,MKT_OPEN_NASDAQ_C1_Open,MKT_OPEN_NASDAQ_C1_High,MKT_OPEN_NASDAQ_C1_Low,MKT_OPEN_NASDAQ_C1_Close,MKT_OPEN_NASDAQ_C2_Open,MKT_OPEN_NASDAQ_C2_High,MKT_OPEN_NASDAQ_C2_Low,MKT_OPEN_NASDAQ_C2_Close,MKT_OPEN_DJIA_DateKey,MKT_OPEN_DJIA_C1_Open,MKT_OPEN_DJIA_C1_High,MKT_OPEN_DJIA_C1_Low,MKT_OPEN_DJIA_C1_Close,MKT_OPEN_DJIA_C2_Open,MKT_OPEN_DJIA_C2_High,MKT_OPEN_DJIA_C2_Low,MKT_OPEN_DJIA_C2_Close
1780081200,24.665,24.68,24.66,24.68,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,81652,25928.85,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081500,24.68,24.68,24.665,24.675,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,8148,24893.75,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081800,24.67,24.68,24.67,24.675,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,22358,25337.8,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082100,24.67,24.685,24.665,24.67,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,30802,26293.9,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082400,24.675,24.7,24.67,24.7,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,38785,27206.1,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082700,24.69,24.705,24.68,24.685,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,37348,28969.8,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083000,24.685,24.71,24.675,24.705,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,61077,30640.1,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083300,24.705,24.71,24.67,24.7,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,122156,36597.4,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083600,24.695,24.72,24.69,24.695,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,116570,39441.4,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083900,24.695,24.72,24.675,24.715,0,0,20260529,0,0,24.87,24.88,24.78,24.82,24.826666666666664,0,0.9960103856627193,24.82,24.82,24.71,24.74,24.79120117105813,0.8893293690122234,0.9389450122227786,0.015826465573976413,,24.9,24.8,24.89,24.86,25.135,24.74,0,,,,,,,,,,,0,0,,,,,,15728,0.09999999999999787,16152,0.10999999999999943,0.5523335311600094,0.014121761658031006,0.015826465573976413,0.10499999999999865,,19557,24.87,24.8,577,24.88,,,148972,45644.9,24.96,25.14,24.73,24.88,24.93,25.3486,24.88,24.89,24.085,25.4299,23.85,25.26,25.23,25.55,24.03,24.03,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
