time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780328700,494.91,494.93,493.65,493.73,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,2163,2418.15,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329000,493.7,494.05,493.41,493.62,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,950,2417.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329300,493.35,493.76,493.35,493.76,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,429,2355.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329600,493.79,493.88,493.14,493.16,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,1344,2310.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780329900,493.02,494.05,493.01,493.64,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,3230,2372.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330200,493.83,494.22,493.49,493.89,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,1225,2287.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330500,493.71,493.86,491.86,492.63,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,2443,2210.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780330800,492.59,492.7,491.72,491.87,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,756,2143.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331100,491.99,492.05,491.295,491.31,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,1297,2162.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1780331400,491.48,491.72,491.475,491.72,0,0,,,0,0,0,,488.14,490.92,488.14,490.51,1412,2.7800000000000296,489.8566666666666,490,491.15,489.89,491.15,151,1.259999999999991,489.94103860098096,1.4153969526864474,0.1966657983849961,0.8853517616404214,0.4099339470783995,14.903910249497306,0.45441489361702053,0.4099339470783995,2.0200000000000102,,,492.51,488.25,490.18,488.25,449,493.7,492.51,164,498.96,481.49,492.5,0,0,,,,,,,,,,,,,,,,,,562,2037,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
