time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1787235600,341.6,342.68,341.28,342.08,343.80204413761174,344.8490575006371,342.7550307745864,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,43418,72907.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787235900,342.12,342.17,339.74,340.36,343.29144302688263,344.77693849663103,341.80594755713423,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,152879,77526.3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787236200,340.32,340.71,339.13,339.19,342.90957446109394,344.70069841330917,341.1184505088787,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,107703,81421.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787236500,339.16,340.41,338.97,340.27,342.7271103080925,344.60689266546143,340.8473279507236,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,65415,80293.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787236800,340.31,340.35,339.8,339.98,342.6654328424831,344.5665111766457,340.7643545083205,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,25520,79640.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787237100,340.01,340.35,339.82,340.04,342.5907272414268,344.51384578131876,340.66760870153485,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,32910,79284.55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787237400,340.01,340.7,339.9,340.08,342.50818761915536,344.446633934059,340.56974130425175,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,41364,79960.25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787237700,340.09,340.37,339.55,340.14,342.4353159938669,344.3907018719478,340.479930115786,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,35744,78916.4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787238000,340.1,341.68,340.1,341.35,342.3874678908495,344.3256159284103,340.4493198532887,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,43446,75630.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787238300,341.35,341.82,340,341.74,342.33924434107945,344.25265580376004,340.42583287839886,0,0,,,0,0,0,,346.2,346.73,344.18,345.01,25890,2.5500000000000114,345.3066666666667,345.25,347.5,345.25,347.1,23850,2.490000000000009,345.9348029754724,0.8667327289526896,1.0271406299795864,0.936889016134683,0.43849948717948645,13.367804472522293,0.5004897435897432,0.43849948717948645,2.5200000000000102,,,351.03,344.03,350.8,346.25,128394,351.85,349.81,55293,351.61,335.7,351.19,0,0,,,,,,,,,,,,,,,,,,52882,65840,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
