time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close
1780063800,995.6,996.58,995.47,996.28,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,424,539.45,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780064100,996.57,996.57,995.48,995.85,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,347,549,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780064400,995.6,996.09,993.74,994.75,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,251,553.15,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780064700,994.6,994.7,993.38,994.2,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,203,533.3,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780065000,993.08,993.42,992.96,993.15,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,25,496.1,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780065300,994.16,994.86,993.33,993.33,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,319,482.6,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780065600,992.88,994.01,992.65,992.99,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,208,484.55,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780065900,993.25,994.16,990.71,990.71,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,229,489.75,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780066200,990.47,995.18,990.47,995.18,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,296,454.15,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
1780066500,994.41,995.16,993.71,993.71,0,0,20260529,0,0,982.56,983.04,981.32,983.04,982.4666666666667,0,0.12598425196850394,977.68,982.46,977.66,982.46,981.0336936936936,0.9880239520958084,0.56792018419033,0.8925703368782474,,,,,,994.61,967.35,0,,,,,,,,,,,0,0,,,,,,16,3.67999999999995,132,5.3799999999999955,28.851953432538515,0.9556273764258553,0.8925703368782474,4.529999999999973,,0,0,988.42,,,489,453.65,978.88,994.45,967.12,988.42,969.73,989.9703,965,988.24,955.43,967.59,911.15,938.62,938.4,976.19,930.77,961.15,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18
