time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1787764860,550.78,550.78,550.72,550.72,549.99058038697,551.0790873471352,548.9020734268048,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,50,65.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765040,550.83,550.95,550.83,550.95,549.9971284304814,551.0845044109408,548.9097524500221,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,141,69.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765100,550.77,550.77,550.74,550.74,549.9993275919959,551.0858742245185,548.9127809594733,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,58,72.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765160,550.72,550.72,550.68,550.68,549.999432431979,551.0859304707559,548.9129343932021,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,3,67.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765220,550.62,550.64,550.61,550.64,549.9995594153285,551.0859848935993,548.9131339370576,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,4,55.85,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765340,550.52,550.73,550.52,550.73,550.0093859379393,551.0906592227298,548.9281126531489,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,300,65.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765400,550.76,551.22,550.76,551.22,550.0170383390779,551.0981127996591,548.9359638784966,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,147,69.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765460,551.12,551.12,551.12,551.12,550.0181233972785,551.0992190630296,548.9370277315273,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,20,68.8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765520,550.93,550.93,550.78,550.78,550.021622522611,551.1016962023941,548.9415488428278,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,88,73.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
1787765580,550.71,550.73,550.49,550.49,550.0233360348926,551.102155170699,548.9445168990862,0,0,,,0,0,0,,551.78,551.78,548,548.735,288,4.779999999999973,549.505,550.46,550.73,549.62,549.93,42,1.9950000000000045,549.5798787878788,0.9536423841059603,0.5454545454545454,0.8707124010554089,0.4102928744458162,15.209627811366927,0.32341503267974164,0.4102928744458162,3.3874999999999886,,,554.3,551.33,554.3,553.5,115,554.78,552.83,304,555.55,543.94,552.78,0,0,,,,,,,,,,,,,,,,,,64,74.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0
