time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_PM_Open,RC_PM_Last,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close,MKT_OPEN_SPX_DateKey,MKT_OPEN_SPX_C1_Open,MKT_OPEN_SPX_C1_High,MKT_OPEN_SPX_C1_Low,MKT_OPEN_SPX_C1_Close,MKT_OPEN_SPX_C2_Open,MKT_OPEN_SPX_C2_High,MKT_OPEN_SPX_C2_Low,MKT_OPEN_SPX_C2_Close,MKT_OPEN_NASDAQ_DateKey,MKT_OPEN_NASDAQ_C1_Open,MKT_OPEN_NASDAQ_C1_High,MKT_OPEN_NASDAQ_C1_Low,MKT_OPEN_NASDAQ_C1_Close,MKT_OPEN_NASDAQ_C2_Open,MKT_OPEN_NASDAQ_C2_High,MKT_OPEN_NASDAQ_C2_Low,MKT_OPEN_NASDAQ_C2_Close,MKT_OPEN_DJIA_DateKey,MKT_OPEN_DJIA_C1_Open,MKT_OPEN_DJIA_C1_High,MKT_OPEN_DJIA_C1_Low,MKT_OPEN_DJIA_C1_Close,MKT_OPEN_DJIA_C2_Open,MKT_OPEN_DJIA_C2_High,MKT_OPEN_DJIA_C2_Low,MKT_OPEN_DJIA_C2_Close
1780081200,115.46,115.77,115.44,115.73,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,24842,14629.95,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081500,115.73,115.815,115.65,115.69,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,15284,14577.3,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780081800,115.67,115.72,115.63,115.68,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,12140,14680.85,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082100,115.69,115.69,115.54,115.59,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,17588,15090.1,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082400,115.58,115.71,115.56,115.66,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,24693,15709,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780082700,115.63,115.78,115.62,115.65,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,19967,15845.2,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083000,115.65,115.84,115.64,115.82,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,20859,16257.75,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083300,115.825,115.93,115.81,115.825,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,19721,16720.05,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083600,115.83,115.93,115.83,115.86,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,19361,17044.7,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
1780083900,115.85,116.125,115.845,116.125,0,0,20260529,0,0,118.06,118.88,118.06,118.87,118.60333333333334,0,0.7210251882914448,118.88,119.05,118.69,118.72,118.6590789081953,0.45811376401448617,0.628258363345134,0.10868974358974373,,118.55,117.58,118.88,118.4,119.17,117.34,0,,,,,,,,,,,0,0,,,,,,36589,0.8199999999999932,12675,0.35999999999999943,3.0603754887781642,0.07069230769230797,0.10868974358974373,0.5899999999999963,,30319,118.55,118.24,7101,118.9,,,47279,18814.6,118.96,119.17,117.33,118.9,118.33,119.4299,118.04,118.54,131.52,135.155,118.91,120.27,130.18,133.95,126.38,131.45,7519.82,7568.72,7508.04,7563.62,7526.01,7530.72,7499.72,7520.37,7415.07,7506.32,7333.68,7473.48,7385.31,7517.12,7338.54,7408.49,26686.5342,26934.8434,26588.5197,26917.4714,26695.4417,26715.3079,26538.3133,26674.7349,26289.4902,26504.5505,25701.4391,26343.9704,26135.6327,26707.1412,25739.2245,26225.1445,50660.98,50764.04,50314.34,50668.98,50487.16,50830.41,50487.16,50644.29,49481.04,50830.24,49235.74,50579.71,49620.38,50200.54,49307.66,49526.18,20260529,7579.33,7579.33,7574.14,7575.95,7576.01,7579.54,7575.67,7579.28,20260529,26960.8405,26960.8405,26942.3868,26950.9145,26953.203,26995.0947,26953.203,26988.6922,20260529,50773.91,50777.34,50703.94,50736.13,50736.92,50740.49,50698.27,50725.75
