symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
AMGN,2025-02-03,286.91,289.58,283.4,288.87,4473532.0,288.1404,65041,1738558800000,massive,True
AMGN,2025-02-04,285.58,290.4843,284.52,289.02,3262437.0,288.4527,63498,1738645200000,massive,True
AMGN,2025-02-05,290.69,308.22,289.525,307.81,5891191.0,305.0603,105661,1738731600000,massive,True
AMGN,2025-02-06,309.49,309.49,297.12,297.78,4624483.0,300.452,80688,1738818000000,massive,True
AMGN,2025-02-07,299.16,299.61,292.58,293.54,3388400.0,294.1485,59579,1738904400000,massive,True
AMGN,2025-02-10,296.88,296.88,290.67,294.79,2375707.0,294.0252,44427,1739163600000,massive,True
AMGN,2025-02-11,290.56,297.945,288.36,296.66,3506965.0,294.8458,50003,1739250000000,massive,True
AMGN,2025-02-12,293.82,296.2,292.625,295.06,2629881.0,294.8872,45797,1739336400000,massive,True
AMGN,2025-02-13,297.55,298.35,293.55,296.97,2061657.0,296.4811,39084,1739422800000,massive,True
AMGN,2025-02-14,294.75,295.1624,290.45,291.16,2189386.0,292.0335,41674,1739509200000,massive,True
AMGN,2025-02-18,291.76,293.33,289.0,292.8,2162354.0,291.9569,44323,1739854800000,massive,True
AMGN,2025-02-19,292.0,295.97,291.8,294.27,2806986.0,293.9566,39843,1739941200000,massive,True
AMGN,2025-02-20,294.67,298.13,293.93,297.93,2319269.0,296.8224,38854,1740027600000,massive,True
AMGN,2025-02-21,299.23,305.33,297.19,303.01,3261422.0,302.2657,59231,1740114000000,massive,True
AMGN,2025-02-24,305.28,313.75,304.4,309.72,4286609.0,309.7977,75452,1740373200000,massive,True
AMGN,2025-02-25,311.8,318.3,310.3,315.63,4365721.0,315.6421,73500,1740459600000,massive,True
AMGN,2025-02-26,311.95,313.63,305.55,306.38,2787270.0,308.1754,52765,1740546000000,massive,True
AMGN,2025-02-27,305.3,311.0,303.1,305.82,3249213.0,306.6432,43013,1740632400000,massive,True
AMGN,2025-02-28,308.51,308.62,303.52,308.06,3173055.0,307.1807,50732,1740718800000,massive,True
AMGN,2025-03-03,307.34,312.48,307.34,310.78,2970686.0,310.4825,52769,1740978000000,massive,True
AMGN,2025-03-04,316.53,319.815,312.1,312.19,3819994.0,314.5794,89031,1741064400000,massive,True
AMGN,2025-03-05,310.63,318.94,310.14,316.57,2629056.0,316.1333,46341,1741150800000,massive,True
AMGN,2025-03-06,316.42,318.68,312.5,317.82,3076813.0,316.6031,58318,1741237200000,massive,True
AMGN,2025-03-07,318.95,328.19,317.78,324.86,3944947.0,325.3764,77023,1741323600000,massive,True
AMGN,2025-03-10,324.13,335.88,322.775,327.36,4120749.0,330.1781,84576,1741579200000,massive,True
AMGN,2025-03-11,328.8,329.1,318.415,318.89,3080265.0,320.624,66863,1741665600000,massive,True
AMGN,2025-03-12,311.39,316.02,308.64,312.5,3182192.0,312.6843,65660,1741752000000,massive,True
AMGN,2025-03-13,313.66,316.75,311.99,312.64,2062717.0,313.703,46469,1741838400000,massive,True
AMGN,2025-03-14,312.23,314.5069,310.3,313.71,2396818.0,313.3781,47915,1741924800000,massive,True
AMGN,2025-03-17,314.64,318.66,311.785,317.17,2292900.0,316.8775,44847,1742184000000,massive,True
AMGN,2025-03-18,317.56,319.31,315.18,318.65,2549593.0,318.0832,45269,1742270400000,massive,True
AMGN,2025-03-19,317.51,318.92,313.4,315.75,1834297.0,315.5047,40506,1742356800000,massive,True
AMGN,2025-03-20,314.175,315.99,312.24,315.04,2049719.0,314.2446,44270,1742443200000,massive,True
AMGN,2025-03-21,311.82,316.49,311.16,316.04,9995022.0,314.9481,52632,1742529600000,massive,True
AMGN,2025-03-24,315.0,317.585,313.43,314.38,2439427.0,314.851,40020,1742788800000,massive,True
AMGN,2025-03-25,313.98,314.22,303.51,306.86,2565308.0,307.7784,56917,1742875200000,massive,True
AMGN,2025-03-26,306.44,309.09,304.35,305.71,2375632.0,306.1558,45850,1742961600000,massive,True
AMGN,2025-03-27,306.22,307.57,304.29,305.77,1736926.0,305.8889,37099,1743048000000,massive,True
AMGN,2025-03-28,307.44,308.17,304.715,306.95,1768574.0,306.9843,38501,1743134400000,massive,True
AMGN,2025-03-31,307.585,315.0,305.5514,311.55,3336281.0,311.3956,62130,1743393600000,massive,True
AMGN,2025-04-01,310.58,312.62,305.0,306.92,3042318.0,307.7208,51792,1743480000000,massive,True
AMGN,2025-04-02,305.41,306.76,300.1,305.7,1912488.0,304.8217,43563,1743566400000,massive,True
AMGN,2025-04-03,311.18,314.9,306.7,309.85,3280342.0,309.7367,71084,1743652800000,massive,True
AMGN,2025-04-04,312.11,312.11,293.72,294.39,5253288.0,299.538,116205,1743739200000,massive,True
AMGN,2025-04-07,287.69,296.94,281.6955,289.69,4922983.0,289.1811,97356,1743998400000,massive,True
AMGN,2025-04-08,289.25,294.0109,277.51,280.26,4097249.0,284.6585,74885,1744084800000,massive,True
AMGN,2025-04-09,268.91,291.5,267.4,291.09,6055689.0,284.7727,96643,1744171200000,massive,True
AMGN,2025-04-10,287.98,288.5225,269.67,281.41,4679096.0,279.2928,93769,1744257600000,massive,True
AMGN,2025-04-11,282.5,287.9,277.1,285.98,3467087.0,283.9378,59074,1744344000000,massive,True
AMGN,2025-04-14,286.77,295.18,285.21,293.92,2492955.0,291.9898,47990,1744603200000,massive,True
AMGN,2025-04-15,294.305,296.17,292.14,295.3,2593614.0,294.7717,45601,1744689600000,massive,True
AMGN,2025-04-16,294.74,294.75,281.03,282.64,2656374.0,284.7187,53239,1744776000000,massive,True
AMGN,2025-04-17,277.04,278.68,268.5,277.29,4371880.0,275.1309,75471,1744862400000,massive,True
AMGN,2025-04-21,277.29,278.2525,270.36,273.68,1803577.0,273.7089,44974,1745208000000,massive,True
