symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
AXON,2025-02-03,640.75,671.215,635.5501,658.11,1001784.0,659.3587,31168,1738558800000,massive,True
AXON,2025-02-04,657.14,674.0,652.58,662.91,511759.0,661.148,23542,1738645200000,massive,True
AXON,2025-02-05,662.91,680.972,662.91,680.52,459816.0,675.412,20863,1738731600000,massive,True
AXON,2025-02-06,680.99,684.36,661.0,677.4,559451.0,671.7657,24474,1738818000000,massive,True
AXON,2025-02-07,680.0,689.54,677.93,679.24,556216.0,682.2165,24541,1738904400000,massive,True
AXON,2025-02-10,684.32,686.08,672.0,677.85,432548.0,678.5764,20245,1739163600000,massive,True
AXON,2025-02-11,678.475,678.475,656.715,669.26,421665.0,666.0605,21529,1739250000000,massive,True
AXON,2025-02-12,656.49,668.5673,652.26,665.08,495922.0,663.1197,20979,1739336400000,massive,True
AXON,2025-02-13,667.75,671.44,655.0688,664.7,356153.0,663.0327,18567,1739422800000,massive,True
AXON,2025-02-14,662.57,686.17,648.85,683.41,694120.0,676.5552,28536,1739509200000,massive,True
AXON,2025-02-18,694.02,715.99,691.86,710.01,1318703.0,704.7588,48652,1739854800000,massive,True
AXON,2025-02-19,700.0,705.1,592.76,593.42,2319566.0,631.9324,85097,1739941200000,massive,True
AXON,2025-02-20,581.0,584.0,521.655,541.81,2514006.0,538.5147,85999,1740027600000,massive,True
AXON,2025-02-21,551.655,551.655,510.5339,513.22,1454542.0,521.8627,52833,1740114000000,massive,True
AXON,2025-02-24,516.51,524.35,496.19,499.73,1322641.0,503.5276,45228,1740373200000,massive,True
AXON,2025-02-25,498.905,502.2426,480.1767,496.65,1360330.0,498.994,49248,1740459600000,massive,True
AXON,2025-02-26,584.95,600.99,558.21,572.4,2837988.0,577.0065,78268,1740546000000,massive,True
AXON,2025-02-27,575.0,578.8739,521.7,525.44,1453907.0,534.6298,49889,1740632400000,massive,True
AXON,2025-02-28,526.97,531.36,514.04,528.45,1153735.0,525.4978,33967,1740718800000,massive,True
AXON,2025-03-03,532.84,541.75,520.6701,525.75,876097.0,529.0232,32268,1740978000000,massive,True
AXON,2025-03-04,513.87,543.41,503.02,528.28,956405.0,521.727,38024,1741064400000,massive,True
AXON,2025-03-05,529.75,538.98,521.08,534.96,945209.0,532.5955,26161,1741150800000,massive,True
AXON,2025-03-06,522.85,526.19,495.0,499.31,912281.0,504.7026,33088,1741237200000,massive,True
AXON,2025-03-07,500.0,527.94,500.0,526.4,1277984.0,515.8517,41564,1741323600000,massive,True
AXON,2025-03-10,508.39,522.06,501.85,515.45,1359940.0,512.5955,46516,1741579200000,massive,True
AXON,2025-03-11,518.26,539.175,509.0001,526.64,975328.0,527.5378,32849,1741665600000,massive,True
AXON,2025-03-12,540.37,560.725,539.13,557.89,1215839.0,551.4161,40665,1741752000000,massive,True
AXON,2025-03-13,558.81,569.95,530.2203,534.56,760807.0,539.8024,29276,1741838400000,massive,True
AXON,2025-03-14,544.55,557.45,543.875,556.26,656155.0,552.6648,23770,1741924800000,massive,True
AXON,2025-03-17,552.72,563.7,549.58,554.82,664625.0,558.0212,26209,1742184000000,massive,True
AXON,2025-03-18,548.7,555.58,532.52,539.99,558600.0,540.1313,20509,1742270400000,massive,True
AXON,2025-03-19,545.34,571.4,542.65,568.11,576540.0,563.7888,23599,1742356800000,massive,True
AXON,2025-03-20,560.16,572.82,556.4955,558.41,525252.0,563.159,20821,1742443200000,massive,True
AXON,2025-03-21,550.63,562.28,544.34,560.0,803642.0,556.756,18412,1742529600000,massive,True
AXON,2025-03-24,571.99,574.155,561.0,572.52,689675.0,570.1823,24673,1742788800000,massive,True
AXON,2025-03-25,569.21,579.675,566.97,577.18,439776.0,575.2983,20803,1742875200000,massive,True
AXON,2025-03-26,575.57,578.2,553.56,559.06,521741.0,562.7422,22755,1742961600000,massive,True
AXON,2025-03-27,554.78,557.0,540.0,550.65,374576.0,550.6365,18352,1743048000000,massive,True
AXON,2025-03-28,550.4,550.4,529.0,534.95,678472.0,534.9058,23865,1743134400000,massive,True
AXON,2025-03-31,522.67,528.83,507.03,525.95,779458.0,521.0519,27296,1743393600000,massive,True
AXON,2025-04-01,521.59,542.9849,520.19,541.2,509615.0,536.3024,20491,1743480000000,massive,True
AXON,2025-04-02,530.69,560.3,530.69,558.42,731828.0,551.9745,24897,1743566400000,massive,True
AXON,2025-04-03,532.67,553.6,528.76,539.69,662053.0,541.2328,28845,1743652800000,massive,True
AXON,2025-04-04,511.26,519.9999,486.1,497.13,971548.0,500.2979,43682,1743739200000,massive,True
AXON,2025-04-07,471.72,524.82,469.2434,502.55,1045892.0,499.8455,35075,1743998400000,massive,True
AXON,2025-04-08,522.71,536.84,497.99,504.03,943153.0,514.8144,28758,1744084800000,massive,True
AXON,2025-04-09,503.15,567.0358,497.355,559.84,1105398.0,546.3994,33395,1744171200000,massive,True
AXON,2025-04-10,543.85,564.36,534.22,551.25,655898.0,550.8844,26474,1744257600000,massive,True
AXON,2025-04-11,549.0,569.0,541.5189,567.98,516622.0,561.289,22341,1744344000000,massive,True
AXON,2025-04-14,578.0,590.0,571.715,574.83,666157.0,579.1172,28487,1744603200000,massive,True
AXON,2025-04-15,575.1,584.17,572.82,578.42,330872.0,578.5987,16161,1744689600000,massive,True
AXON,2025-04-16,572.01,581.105,564.68,571.85,368438.0,572.4258,16691,1744776000000,massive,True
AXON,2025-04-17,578.2,578.2,556.39,559.53,519731.0,564.365,19787,1744862400000,massive,True
AXON,2025-04-21,550.0,556.63,531.22,541.93,478945.0,540.8295,19711,1745208000000,massive,True
AXON,2025-04-22,551.32,561.8112,546.0,555.52,440802.0,554.0366,19160,1745294400000,massive,True
AXON,2025-04-23,576.4,594.4624,574.2,576.9,492948.0,582.2054,20990,1745380800000,massive,True
AXON,2025-04-24,576.15,593.8359,571.0,590.67,493331.0,587.8948,21386,1745467200000,massive,True
AXON,2025-04-25,590.72,603.98,590.72,603.78,556455.0,598.8011,24293,1745553600000,massive,True
AXON,2025-04-28,605.66,614.0,594.54,602.46,456126.0,602.0239,22654,1745812800000,massive,True
AXON,2025-04-29,603.57,612.03,598.81,611.13,399687.0,607.0355,20540,1745899200000,massive,True
AXON,2025-04-30,591.59,614.76,585.49,613.3,519821.0,606.4888,21264,1745985600000,massive,True
AXON,2025-05-01,617.96,627.7299,613.02,621.1,450462.0,622.1009,23203,1746072000000,massive,True
AXON,2025-05-02,632.18,638.35,626.46,628.16,507953.0,631.2544,24372,1746158400000,massive,True
AXON,2025-05-05,624.99,631.1581,620.9901,621.4,358190.0,624.4025,19471,1746417600000,massive,True
AXON,2025-05-06,608.97,612.775,597.5614,601.67,759283.0,603.379,31095,1746504000000,massive,True
AXON,2025-05-07,602.01,607.5992,594.52,601.82,887360.0,601.5228,33847,1746590400000,massive,True
AXON,2025-05-08,646.38,698.265,644.605,686.83,1692978.0,679.4567,59899,1746676800000,massive,True
AXON,2025-05-09,684.01,697.39,677.61,684.59,642574.0,685.6199,30847,1746763200000,massive,True
AXON,2025-05-12,700.0,703.0,667.0,693.1,878357.0,689.6007,36076,1747022400000,massive,True
AXON,2025-05-13,695.0,732.1662,694.71,724.77,868804.0,722.231,43496,1747108800000,massive,True
AXON,2025-05-14,725.0,730.76,715.5886,728.53,566253.0,724.4257,30542,1747195200000,massive,True
AXON,2025-05-15,725.495,732.222,722.0,728.39,570241.0,727.578,30416,1747281600000,massive,True
AXON,2025-05-16,732.0,735.68,724.7408,733.18,420469.0,732.0508,21237,1747368000000,massive,True
AXON,2025-05-19,721.99,742.34,721.0492,742.32,425566.0,738.3775,22357,1747627200000,massive,True
AXON,2025-05-20,741.41,744.51,734.89,742.75,383702.0,740.2984,21847,1747713600000,massive,True
AXON,2025-05-21,738.0,748.8,730.01,735.38,570731.0,738.2881,24846,1747800000000,massive,True
AXON,2025-05-22,734.07,735.0,722.03,723.75,510375.0,726.9752,21535,1747886400000,massive,True
AXON,2025-05-23,717.98,735.4259,714.0,731.37,422654.0,728.9813,21810,1747972800000,massive,True
AXON,2025-05-27,740.58,748.14,736.63,746.08,477573.0,744.9752,24229,1748318400000,massive,True
AXON,2025-05-28,748.81,755.05,743.6277,751.0,524938.0,751.1724,24075,1748404800000,massive,True
AXON,2025-05-29,753.19,754.8083,729.16,730.29,536596.0,736.9834,23970,1748491200000,massive,True
AXON,2025-05-30,731.01,751.99,729.14,750.36,1121126.0,746.429,27199,1748577600000,massive,True
AXON,2025-06-02,755.0,765.0,742.8,758.57,521175.0,756.4593,27815,1748836800000,massive,True
AXON,2025-06-03,761.0,766.26,750.0,759.07,503574.0,757.3325,26316,1748923200000,massive,True
AXON,2025-06-04,760.0,780.62,757.45,780.0,558064.0,774.3997,27384,1749009600000,massive,True
AXON,2025-06-05,780.53,793.2399,773.9901,788.36,683795.0,786.6181,34752,1749096000000,massive,True
AXON,2025-06-06,794.92,798.16,784.6357,791.85,443740.0,793.2698,25346,1749182400000,massive,True
AXON,2025-06-09,795.83,806.64,775.8553,783.8,537362.0,785.9708,28565,1749441600000,massive,True
AXON,2025-06-10,778.54,787.61,751.25,762.66,600557.0,763.4549,35252,1749528000000,massive,True
AXON,2025-06-11,764.67,782.785,746.9,778.36,487781.0,774.1794,30602,1749614400000,massive,True
AXON,2025-06-12,773.16,781.12,772.605,775.2,350325.0,775.9802,19076,1749700800000,massive,True
AXON,2025-06-13,771.81,786.7749,767.6,780.63,359099.0,778.9956,22555,1749787200000,massive,True
AXON,2025-06-16,786.37,797.5,779.28,780.61,470995.0,786.3312,26785,1750046400000,massive,True
AXON,2025-06-17,776.39,782.7514,770.201,777.54,445749.0,777.3618,24032,1750132800000,massive,True
AXON,2025-06-18,775.85,779.8899,761.9,770.79,482933.0,772.3896,24848,1750219200000,massive,True
AXON,2025-06-20,780.28,781.0,767.0803,777.32,1182182.0,777.016,26494,1750392000000,massive,True
AXON,2025-06-23,773.48,791.38,767.3175,783.24,391501.0,780.9843,23408,1750651200000,massive,True
AXON,2025-06-24,785.0,799.66,758.24,794.25,743572.0,788.6034,34013,1750737600000,massive,True
AXON,2025-06-25,800.0,801.0,780.66,785.07,440465.0,787.1136,23128,1750824000000,massive,True
AXON,2025-06-26,791.81,805.48,791.81,803.95,484379.0,800.2863,26749,1750910400000,massive,True
AXON,2025-06-27,804.85,820.83,802.2836,818.6,1010936.0,816.4821,30215,1750996800000,massive,True
AXON,2025-06-30,818.75,830.21,816.855,827.94,530137.0,824.9106,26566,1751256000000,massive,True
AXON,2025-07-01,825.89,829.5,765.5,775.38,997650.0,786.4833,47629,1751342400000,massive,True
AXON,2025-07-02,774.68,782.9813,756.72,774.55,574326.0,773.18,31570,1751428800000,massive,True
AXON,2025-07-03,781.77,797.89,780.0,795.48,268670.0,792.8932,16587,1751515200000,massive,True
AXON,2025-07-07,796.02,804.4375,790.0,802.16,453034.0,799.0114,27659,1751860800000,massive,True
AXON,2025-07-08,802.72,815.0,774.0957,790.22,507791.0,791.5697,28483,1751947200000,massive,True
AXON,2025-07-09,794.3,809.99,785.0,805.86,339967.0,802.4413,20658,1752033600000,massive,True
AXON,2025-07-10,802.11,803.0,728.43,732.99,1227628.0,746.3014,61480,1752120000000,massive,True
AXON,2025-07-11,740.33,753.018,723.001,729.62,1121522.0,733.7043,49051,1752206400000,massive,True
AXON,2025-07-14,727.1,752.97,723.99,750.26,538912.0,746.3991,29173,1752465600000,massive,True
AXON,2025-07-15,752.74,753.57,740.16,745.87,373471.0,747.5072,20525,1752552000000,massive,True
AXON,2025-07-16,743.56,748.27,725.05,742.77,516134.0,737.6079,27421,1752638400000,massive,True
AXON,2025-07-17,744.8,753.25,739.79,745.86,341234.0,746.855,21355,1752724800000,massive,True
AXON,2025-07-18,747.83,757.9799,741.07,756.09,404325.0,752.9104,20805,1752811200000,massive,True
AXON,2025-07-21,755.92,758.25,741.91,751.55,377483.0,751.6056,23364,1753070400000,massive,True
AXON,2025-07-22,749.01,749.01,720.18,720.74,759573.0,728.0261,35064,1753156800000,massive,True
AXON,2025-07-23,725.8,728.95,694.72,705.22,1098487.0,706.8152,45158,1753243200000,massive,True
AXON,2025-07-24,705.22,715.745,695.0001,709.26,1105053.0,705.4989,38889,1753329600000,massive,True
AXON,2025-07-25,711.39,742.23,709.82,735.01,723678.0,735.2428,28048,1753416000000,massive,True
AXON,2025-07-28,740.36,747.3,722.07,736.29,627694.0,734.934,25134,1753675200000,massive,True
AXON,2025-07-29,742.19,742.19,725.79,728.74,383542.0,730.6255,21340,1753761600000,massive,True
AXON,2025-07-30,728.74,749.8,725.0,748.6,448258.0,743.9421,21082,1753848000000,massive,True
AXON,2025-07-31,752.62,762.05,747.24,755.49,513614.0,756.035,24911,1753934400000,massive,True
AXON,2025-08-01,739.46,747.4081,728.0,742.47,457681.0,739.1123,27755,1754020800000,massive,True
AXON,2025-08-04,751.04,755.0,736.95,744.88,769837.0,746.2056,36171,1754280000000,massive,True
AXON,2025-08-05,818.0,885.915,802.9601,867.12,2534971.0,860.5556,86723,1754366400000,massive,True
AXON,2025-08-06,859.76,879.22,843.0227,863.65,842126.0,864.7591,41543,1754452800000,massive,True
AXON,2025-08-07,867.23,885.0,860.98,870.97,700950.0,869.9914,34619,1754539200000,massive,True
AXON,2025-08-08,872.47,878.6169,835.7,842.5,667561.0,851.1955,36825,1754625600000,massive,True
AXON,2025-08-11,842.89,844.15,817.36,818.69,616018.0,826.0423,28931,1754884800000,massive,True
AXON,2025-08-12,819.64,824.66,767.51,768.57,999533.0,776.0633,46527,1754971200000,massive,True
AXON,2025-08-13,776.98,780.0,731.7421,765.52,1129168.0,755.4291,49142,1755057600000,massive,True
AXON,2025-08-14,764.26,764.26,745.0,749.83,517787.0,751.7862,26738,1755144000000,massive,True
AXON,2025-08-15,750.21,762.0,739.01,754.24,583413.0,752.7834,24737,1755230400000,massive,True
AXON,2025-08-18,755.18,792.64,753.77,791.62,848300.0,782.1585,39222,1755489600000,massive,True
AXON,2025-08-19,779.83,783.995,755.0,758.29,654278.0,761.7844,31337,1755576000000,massive,True
AXON,2025-08-20,754.17,763.71,740.5,760.89,409959.0,755.4635,24696,1755662400000,massive,True
AXON,2025-08-21,763.0,768.0,752.5,763.51,367048.0,762.1598,18713,1755748800000,massive,True
AXON,2025-08-22,764.37,784.14,757.5,766.24,395921.0,772.8993,23835,1755835200000,massive,True
AXON,2025-08-25,766.22,777.54,762.27,763.52,301529.0,768.5259,19393,1756094400000,massive,True
AXON,2025-08-26,764.2,775.0,761.05,769.02,413957.0,768.6789,18829,1756180800000,massive,True
