symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
BMY,2025-02-03,58.79,60.31,58.55,59.95,13978223.0,59.8192,132517,1738558800000,massive,True
BMY,2025-02-04,58.87,59.85,58.7272,59.12,11718482.0,59.3156,108527,1738645200000,massive,True
BMY,2025-02-05,59.64,60.36,59.23,59.71,12600823.0,59.8067,125199,1738731600000,massive,True
BMY,2025-02-06,57.37,59.38,56.91,57.42,25072332.0,57.9935,200895,1738818000000,massive,True
BMY,2025-02-07,57.46,57.71,56.19,56.85,14340175.0,56.6984,123265,1738904400000,massive,True
BMY,2025-02-10,56.8,56.87,54.6,55.53,16656772.0,55.4081,147168,1739163600000,massive,True
BMY,2025-02-11,55.4,56.305,55.1,55.94,8724186.0,55.9498,81192,1739250000000,massive,True
BMY,2025-02-12,55.67,56.54,55.4536,56.15,8502886.0,56.025,79622,1739336400000,massive,True
BMY,2025-02-13,56.25,56.26,55.63,55.97,8917178.0,55.9586,75765,1739422800000,massive,True
BMY,2025-02-14,56.025,56.025,53.66,53.9,13227242.0,54.4257,118454,1739509200000,massive,True
BMY,2025-02-18,53.72,54.59,53.54,54.43,10918486.0,54.2611,97595,1739854800000,massive,True
BMY,2025-02-19,54.41,54.98,54.12,54.98,10770896.0,54.6569,89061,1739941200000,massive,True
BMY,2025-02-20,55.02,55.82,54.8,55.79,8953527.0,55.4601,78651,1740027600000,massive,True
BMY,2025-02-21,55.43,56.055,54.85,55.83,11105501.0,55.6442,88853,1740114000000,massive,True
BMY,2025-02-24,55.97,58.0,55.95,57.88,13215773.0,57.5023,118431,1740373200000,massive,True
BMY,2025-02-25,58.3,59.94,58.165,58.21,15344053.0,58.6926,141752,1740459600000,massive,True
BMY,2025-02-26,58.16,58.42,57.22,57.38,7273128.0,57.5921,73929,1740546000000,massive,True
BMY,2025-02-27,57.34,58.82,56.96,58.8,9812080.0,58.552,89203,1740632400000,massive,True
BMY,2025-02-28,58.97,59.74,57.92,59.62,20219694.0,59.2585,111733,1740718800000,massive,True
BMY,2025-03-03,59.75,59.92,59.01,59.87,11214072.0,59.6678,94685,1740978000000,massive,True
BMY,2025-03-04,59.96,60.69,59.285,59.44,16502150.0,59.802,150311,1741064400000,massive,True
BMY,2025-03-05,59.43,60.26,59.38,59.82,9706964.0,59.8747,89580,1741150800000,massive,True
BMY,2025-03-06,59.94,60.7,59.03,60.18,10682422.0,59.82,120048,1741237200000,massive,True
BMY,2025-03-07,60.45,63.11,60.27,61.09,18538231.0,61.7481,177405,1741323600000,massive,True
BMY,2025-03-10,60.95,63.16,60.72,63.11,20295726.0,62.7358,184706,1741579200000,massive,True
BMY,2025-03-11,62.8,63.33,61.2277,61.51,14637898.0,61.6727,135944,1741665600000,massive,True
BMY,2025-03-12,60.72,60.82,59.52,59.81,10812350.0,60.0069,116758,1741752000000,massive,True
BMY,2025-03-13,59.99,60.76,59.79,60.28,8990365.0,60.3246,99153,1741838400000,massive,True
BMY,2025-03-14,59.84,59.99,58.715,59.01,11905738.0,59.0677,116998,1741924800000,massive,True
BMY,2025-03-17,59.16,60.13,58.364,59.99,9666769.0,59.6525,97354,1742184000000,massive,True
BMY,2025-03-18,59.88,60.26,59.535,59.9,9967868.0,59.9323,87262,1742270400000,massive,True
BMY,2025-03-19,59.86,60.55,59.46,60.08,8304189.0,59.9461,79816,1742356800000,massive,True
BMY,2025-03-20,59.86,61.07,59.78,60.42,12197382.0,60.3104,84136,1742443200000,massive,True
BMY,2025-03-21,60.23,61.34,59.84,61.07,25865519.0,60.952,89764,1742529600000,massive,True
BMY,2025-03-24,60.79,61.245,59.97,61.05,11976777.0,60.8453,98250,1742788800000,massive,True
BMY,2025-03-25,61.21,61.49,59.18,59.19,10969113.0,60.0223,103982,1742875200000,massive,True
BMY,2025-03-26,59.32,59.685,58.53,59.21,11580633.0,59.1008,95751,1742961600000,massive,True
BMY,2025-03-27,59.18,59.56,58.77,58.9,8751448.0,59.036,69249,1743048000000,massive,True
BMY,2025-03-28,59.4,60.11,58.23,60.02,10791624.0,59.5325,93387,1743134400000,massive,True
BMY,2025-03-31,59.8,61.64,59.37,60.99,11616280.0,61.0042,96929,1743393600000,massive,True
BMY,2025-04-01,60.77,61.1,59.235,59.55,9623818.0,59.8519,93403,1743480000000,massive,True
BMY,2025-04-02,59.81,60.24,59.155,59.6,8309961.0,59.6111,83028,1743566400000,massive,True
BMY,2025-04-03,60.6,60.8,57.66,57.82,13246920.0,58.6866,129804,1743652800000,massive,True
BMY,2025-04-04,56.82,57.1688,54.72,55.3,14657946.0,55.6746,150468,1743739200000,massive,True
BMY,2025-04-07,53.9,55.3,52.69,55.19,16820458.0,54.362,158836,1743998400000,massive,True
BMY,2025-04-08,55.17,55.765,52.16,53.07,16335145.0,53.8328,154850,1744084800000,massive,True
BMY,2025-04-09,51.2,54.045,49.92,53.74,24323859.0,52.2129,223477,1744171200000,massive,True
BMY,2025-04-10,53.33,53.42,48.82,50.46,23973336.0,50.3276,219007,1744257600000,massive,True
BMY,2025-04-11,50.47,51.01,49.29,50.71,13411255.0,50.289,121150,1744344000000,massive,True
BMY,2025-04-14,51.53,51.6,50.55,51.34,14310298.0,51.1649,107358,1744603200000,massive,True
BMY,2025-04-15,51.22,51.5,49.665,50.0,15684426.0,50.0991,127549,1744689600000,massive,True
BMY,2025-04-16,50.1,50.4,48.84,49.36,14990999.0,49.4842,113260,1744776000000,massive,True
BMY,2025-04-17,49.18,50.09,49.06,49.23,14244541.0,49.4941,119697,1744862400000,massive,True
BMY,2025-04-21,49.35,49.6699,48.16,48.94,10338684.0,48.7941,94789,1745208000000,massive,True
BMY,2025-04-22,49.31,50.055,48.88,49.82,13375998.0,49.3818,92105,1745294400000,massive,True
BMY,2025-04-23,47.63,49.33,47.54,48.53,24036567.0,48.3836,182711,1745380800000,massive,True
BMY,2025-04-24,47.94,48.8448,46.93,48.69,20579336.0,48.3514,162939,1745467200000,massive,True
BMY,2025-04-25,48.87,48.945,46.96,47.9,16298783.0,47.58,135601,1745553600000,massive,True
BMY,2025-04-28,48.31,48.86,47.92,48.46,18574663.0,48.3587,123839,1745812800000,massive,True
BMY,2025-04-29,48.33,49.48,48.15,49.22,19932756.0,49.0972,130148,1745899200000,massive,True
BMY,2025-04-30,50.185,50.3518,49.15,50.2,15951573.0,49.9577,115296,1745985600000,massive,True
BMY,2025-05-01,49.57,50.18,48.69,49.61,17163077.0,49.6692,124279,1746072000000,massive,True
BMY,2025-05-02,50.11,50.65,49.68,50.57,14167183.0,50.3044,100733,1746158400000,massive,True
BMY,2025-05-05,50.47,50.6,49.34,50.06,12394634.0,49.9577,80666,1746417600000,massive,True
BMY,2025-05-06,49.74,49.8,47.4,47.57,18517495.0,48.0697,141196,1746504000000,massive,True
BMY,2025-05-07,47.78,48.1925,47.28,47.62,15930968.0,47.6284,129276,1746590400000,massive,True
BMY,2025-05-08,47.0,47.395,46.52,46.88,23404013.0,47.0271,177755,1746676800000,massive,True
BMY,2025-05-09,46.9,47.12,46.32,46.45,14915367.0,46.7095,112064,1746763200000,massive,True
BMY,2025-05-12,46.2,48.4152,45.5,48.18,25598873.0,47.724,208701,1747022400000,massive,True
BMY,2025-05-13,47.3,47.625,46.51,46.59,16888236.0,46.9191,127330,1747108800000,massive,True
BMY,2025-05-14,46.71,46.8616,44.0,44.12,21973654.0,44.8982,166301,1747195200000,massive,True
BMY,2025-05-15,44.7,45.85,44.42,45.81,27844414.0,45.3786,177986,1747281600000,massive,True
BMY,2025-05-16,45.99,46.8,45.8,46.75,12116051.0,46.5104,98053,1747368000000,massive,True
BMY,2025-05-19,46.6,47.27,46.39,47.22,10079092.0,46.9659,77896,1747627200000,massive,True
BMY,2025-05-20,47.49,48.255,47.47,47.87,12594979.0,47.8728,95659,1747713600000,massive,True
