symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
CME,2025-02-03,239.8,241.56,238.14,240.65,2536837.0,240.1921,43325,1738558800000,massive,True
CME,2025-02-04,240.1,242.86,238.12,242.53,2056007.0,241.9863,34821,1738645200000,massive,True
CME,2025-02-05,243.33,243.33,241.06,241.64,1421621.0,241.7867,31830,1738731600000,massive,True
CME,2025-02-06,243.0,244.96,242.2,244.41,1446586.0,244.1067,30297,1738818000000,massive,True
CME,2025-02-07,244.29,246.74,243.6682,244.83,1096100.0,245.358,27037,1738904400000,massive,True
CME,2025-02-10,244.38,245.2384,241.16,241.81,1717221.0,242.3564,31915,1739163600000,massive,True
CME,2025-02-11,241.54,242.6,239.7,241.74,1359348.0,241.5482,31617,1739250000000,massive,True
CME,2025-02-12,245.86,253.5275,245.24,248.96,2575201.0,248.2816,43382,1739336400000,massive,True
CME,2025-02-13,250.44,251.71,248.73,250.11,1683240.0,250.231,35667,1739422800000,massive,True
CME,2025-02-14,248.73,250.31,245.2,245.48,1444262.0,246.6725,29618,1739509200000,massive,True
CME,2025-02-18,245.82,248.09,244.43,247.85,1316714.0,247.3327,28195,1739854800000,massive,True
CME,2025-02-19,248.12,251.32,247.41,250.75,1171264.0,250.451,26943,1739941200000,massive,True
CME,2025-02-20,249.63,249.73,246.685,248.32,1248672.0,248.2562,27059,1740027600000,massive,True
CME,2025-02-21,248.32,249.23,246.91,248.87,1769919.0,248.31,32507,1740114000000,massive,True
CME,2025-02-24,249.85,250.37,247.45,247.75,1205462.0,248.254,25251,1740373200000,massive,True
CME,2025-02-25,248.86,251.8,247.74,250.82,2131767.0,250.4993,44149,1740459600000,massive,True
CME,2025-02-26,250.82,250.92,247.24,247.99,1941635.0,248.2027,32155,1740546000000,massive,True
CME,2025-02-27,248.12,251.8999,247.08,249.85,1461135.0,250.2632,29822,1740632400000,massive,True
CME,2025-02-28,251.6,254.4,249.66,253.77,2157509.0,252.4418,36502,1740718800000,massive,True
CME,2025-03-03,253.9,257.78,253.78,256.88,2640586.0,256.5824,43447,1740978000000,massive,True
CME,2025-03-04,257.96,258.78,251.33,251.98,2301238.0,254.704,52145,1741064400000,massive,True
CME,2025-03-05,251.98,257.11,251.88,254.48,2363985.0,254.9736,42873,1741150800000,massive,True
CME,2025-03-06,253.73,254.34,249.51,254.04,2247950.0,252.7801,42161,1741237200000,massive,True
CME,2025-03-07,252.78,256.4999,250.51,254.57,2698454.0,254.1957,49392,1741323600000,massive,True
CME,2025-03-10,254.82,262.51,254.302,262.28,4407425.0,260.8535,78138,1741579200000,massive,True
CME,2025-03-11,262.61,263.65,257.24,260.43,4312634.0,260.7105,68724,1741665600000,massive,True
CME,2025-03-12,258.43,258.885,251.5,256.72,4086319.0,255.6334,65892,1741752000000,massive,True
CME,2025-03-13,256.26,261.08,254.96,259.84,3286142.0,259.2514,54882,1741838400000,massive,True
CME,2025-03-14,259.7,260.025,256.16,258.68,1935748.0,258.145,39151,1741924800000,massive,True
CME,2025-03-17,261.09,264.41,258.6393,263.58,2453590.0,263.0942,53015,1742184000000,massive,True
CME,2025-03-18,263.71,266.63,262.96,266.49,2770509.0,265.7376,48551,1742270400000,massive,True
CME,2025-03-19,265.06,267.91,264.01,265.47,2878310.0,266.0277,53078,1742356800000,massive,True
CME,2025-03-20,265.0,267.58,264.45,266.54,1990464.0,266.4724,40453,1742443200000,massive,True
CME,2025-03-21,266.48,267.78,263.02,263.35,7238698.0,263.9827,46569,1742529600000,massive,True
CME,2025-03-24,263.23,263.8,260.81,262.94,2131577.0,262.6457,39038,1742788800000,massive,True
