symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
COIN,2025-02-03,272.98,288.76,269.3,284.41,9517730.0,280.4321,182628,1738558800000,massive,True
COIN,2025-02-04,283.0,289.39,278.63,280.39,6013474.0,283.526,131028,1738645200000,massive,True
COIN,2025-02-05,283.61,285.76,274.56,275.14,5373185.0,279.6173,115279,1738731600000,massive,True
COIN,2025-02-06,279.52,284.6,269.0,270.37,6717660.0,274.179,141158,1738818000000,massive,True
COIN,2025-02-07,274.045,282.57,271.75,274.49,7885553.0,276.6077,148261,1738904400000,massive,True
COIN,2025-02-10,280.4,285.558,274.6,280.22,5521775.0,279.3293,122445,1739163600000,massive,True
COIN,2025-02-11,277.55,279.0,265.83,266.9,6914996.0,270.473,149690,1739250000000,massive,True
COIN,2025-02-12,264.39,277.8,263.48,274.9,6362794.0,271.7878,136953,1739336400000,massive,True
COIN,2025-02-13,284.0,302.4,282.5,298.11,18900225.0,294.4991,377903,1739422800000,massive,True
COIN,2025-02-14,288.015,291.55,274.0,274.31,19269693.0,279.4331,382269,1739509200000,massive,True
COIN,2025-02-18,278.8,279.18,260.5,264.63,11564805.0,267.1414,233268,1739854800000,massive,True
COIN,2025-02-19,265.755,267.0,257.68,258.67,6813776.0,260.7467,132517,1739941200000,massive,True
COIN,2025-02-20,260.66,262.25,250.3701,256.59,6400698.0,255.8441,135021,1740027600000,massive,True
COIN,2025-02-21,266.99,267.8,234.76,235.38,17195492.0,247.9481,279631,1740114000000,massive,True
COIN,2025-02-24,239.14,240.24,223.6,227.07,12124972.0,229.3071,192226,1740373200000,massive,True
COIN,2025-02-25,219.97,222.85,205.12,212.49,15192605.0,212.0605,257649,1740459600000,massive,True
COIN,2025-02-26,212.63,218.57,207.99,212.96,7900637.0,213.304,147646,1740546000000,massive,True
COIN,2025-02-27,218.13,221.58,207.79,208.37,8082369.0,213.6926,138976,1740632400000,massive,True
COIN,2025-02-28,205.27,216.44,201.1,215.62,9031205.0,211.3575,155130,1740718800000,massive,True
COIN,2025-03-03,232.23,233.4,203.44,205.75,15997815.0,218.3743,273120,1740978000000,massive,True
COIN,2025-03-04,200.52,218.94,193.09,212.55,13060876.0,205.9699,239845,1741064400000,massive,True
COIN,2025-03-05,214.89,223.1499,208.0,222.45,9581601.0,216.0472,149687,1741150800000,massive,True
COIN,2025-03-06,214.51,226.6,213.0,214.17,8405387.0,218.6315,153746,1741237200000,massive,True
COIN,2025-03-07,214.89,222.05,206.77,217.45,8615050.0,215.9398,159597,1741323600000,massive,True
COIN,2025-03-10,205.075,206.8398,176.85,179.23,18664120.0,188.1674,311421,1741579200000,massive,True
COIN,2025-03-11,186.0,195.69,183.3039,191.69,11382232.0,189.556,186694,1741665600000,massive,True
COIN,2025-03-12,195.4,199.2,183.75,191.73,9616785.0,191.5153,140954,1741752000000,massive,True
COIN,2025-03-13,188.62,188.85,177.11,177.49,9559390.0,181.4566,154528,1741838400000,massive,True
COIN,2025-03-14,183.81,186.74,179.16,183.12,9454350.0,183.2262,135900,1741924800000,massive,True
COIN,2025-03-17,182.0,193.24,180.77,188.96,7216486.0,187.1059,112992,1742184000000,massive,True
COIN,2025-03-18,185.0,186.49,178.78,181.14,7408224.0,181.6057,114348,1742270400000,massive,True
COIN,2025-03-19,184.8336,193.7774,182.8,189.75,8194232.0,187.9213,113246,1742356800000,massive,True
COIN,2025-03-20,185.888,193.93,185.8794,190.38,6717964.0,189.8635,99774,1742443200000,massive,True
COIN,2025-03-21,185.57,190.7249,183.75,189.86,7344825.0,188.1274,88737,1742529600000,massive,True
COIN,2025-03-24,197.5,203.25,194.415,203.04,9489458.0,200.2963,140353,1742788800000,massive,True
COIN,2025-03-25,202.13,206.93,198.34,204.23,7877691.0,202.5851,120684,1742875200000,massive,True
COIN,2025-03-26,203.0,205.9999,192.2906,193.95,7147921.0,196.633,115598,1742961600000,massive,True
COIN,2025-03-27,192.97,195.3256,187.8001,188.58,5426320.0,190.6239,102274,1743048000000,massive,True
COIN,2025-03-28,185.72,186.79,172.99,173.93,10040219.0,177.2842,172347,1743134400000,massive,True
COIN,2025-03-31,169.38,173.58,163.52,172.23,7781307.0,169.5478,137435,1743393600000,massive,True
COIN,2025-04-01,172.82,176.05,168.545,174.52,5489688.0,173.2352,95047,1743480000000,massive,True
COIN,2025-04-02,170.57,184.11,170.35,182.95,8208560.0,179.7833,134558,1743566400000,massive,True
COIN,2025-04-03,168.58,172.03,164.65,170.76,9556230.0,169.3818,174753,1743652800000,massive,True
COIN,2025-04-04,166.02,167.5,147.17,160.55,14570757.0,158.0021,261731,1743739200000,massive,True
COIN,2025-04-07,146.042,167.4,142.58,157.28,13251702.0,154.504,243193,1743998400000,massive,True
COIN,2025-04-08,165.2,167.8,147.35,151.47,11117448.0,157.4734,191074,1744084800000,massive,True
COIN,2025-04-09,150.08,183.9,150.08,177.09,15257952.0,169.2864,225988,1744171200000,massive,True
COIN,2025-04-10,168.5,173.815,159.1125,169.62,11196328.0,168.2042,181803,1744257600000,massive,True
COIN,2025-04-11,171.3,178.0,167.0,175.5,7769267.0,173.5947,130715,1744344000000,massive,True
COIN,2025-04-14,180.5,182.39,172.005,176.58,6427119.0,177.3032,108606,1744603200000,massive,True
COIN,2025-04-15,177.74,179.7678,172.3,175.57,5369511.0,175.1141,88215,1744689600000,massive,True
COIN,2025-04-16,170.5,174.8,168.5,172.21,5226684.0,171.7938,91913,1744776000000,massive,True
COIN,2025-04-17,172.6,177.5,171.3,175.03,5125340.0,174.8082,85861,1744862400000,massive,True
COIN,2025-04-21,175.1,177.98,171.4072,175.0,5054685.0,174.1518,86439,1745208000000,massive,True
COIN,2025-04-22,178.79,193.49,178.4,190.0,12807010.0,188.7628,196447,1745294400000,massive,True
COIN,2025-04-23,197.75,200.8,191.52,194.8,9870189.0,196.5382,165321,1745380800000,massive,True
COIN,2025-04-24,193.415,204.21,193.1,203.87,6840552.0,201.4864,114223,1745467200000,massive,True
COIN,2025-04-25,205.57,211.62,203.74,209.64,8060880.0,208.1327,137963,1745553600000,massive,True
COIN,2025-04-28,208.2,208.78,197.42,205.27,7624239.0,203.4686,125513,1745812800000,massive,True
COIN,2025-04-29,205.3,207.4,203.135,206.13,4254888.0,205.7553,77631,1745899200000,massive,True
COIN,2025-04-30,199.67,203.04,195.55,202.89,4769427.0,200.6768,85460,1745985600000,massive,True
COIN,2025-05-01,208.455,208.75,201.16,201.3,6243165.0,204.7055,115985,1746072000000,massive,True
COIN,2025-05-02,204.7,209.0,202.36,204.93,6133292.0,205.7234,106775,1746158400000,massive,True
COIN,2025-05-05,201.725,204.11,198.65,199.4,5108712.0,200.7059,99339,1746417600000,massive,True
COIN,2025-05-06,195.38,198.76,193.34,196.89,4672601.0,196.4083,94340,1746504000000,massive,True
COIN,2025-05-07,199.825,200.4831,193.81,196.56,4857343.0,197.2913,94867,1746590400000,massive,True
COIN,2025-05-08,205.305,210.47,202.81,206.5,14389953.0,206.5498,251143,1746676800000,massive,True
COIN,2025-05-09,204.52,214.13,198.77,199.32,16384204.0,204.5778,272838,1746763200000,massive,True
COIN,2025-05-12,208.94,213.6,205.61,207.22,14944202.0,211.1272,267844,1747022400000,massive,True
COIN,2025-05-13,231.71,260.42,231.49,256.9,39119016.0,248.3899,623272,1747108800000,massive,True
COIN,2025-05-14,256.855,264.49,253.55,263.41,18344716.0,259.6851,314291,1747195200000,massive,True
COIN,2025-05-15,256.5,257.85,240.0,244.44,25917211.0,247.1975,423454,1747281600000,massive,True
