symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
COST,2025-02-03,972.385,1009.6105,968.94,1005.83,2751018.0,998.6049,126752,1738558800000,massive,True
COST,2025-02-04,1005.4,1024.35,999.65,1021.86,2001641.0,1017.4161,92757,1738645200000,massive,True
COST,2025-02-05,1020.0,1043.09,1020.0,1042.88,2050058.0,1035.646,91593,1738731600000,massive,True
COST,2025-02-06,1050.0,1063.0,1044.2,1050.99,2218045.0,1050.6978,92149,1738818000000,massive,True
COST,2025-02-07,1047.0,1056.71,1035.51,1043.81,1632854.0,1045.1174,80643,1738904400000,massive,True
COST,2025-02-10,1052.0,1063.0,1046.0,1061.92,2036894.0,1057.9133,79726,1739163600000,massive,True
COST,2025-02-11,1059.91,1065.9999,1049.04,1058.34,1748505.0,1057.9135,68734,1739250000000,massive,True
COST,2025-02-12,1054.15,1067.0,1051.0002,1065.12,1662315.0,1062.5227,67516,1739336400000,massive,True
COST,2025-02-13,1067.01,1078.235,1064.65,1076.86,1623281.0,1072.8342,73049,1739422800000,massive,True
COST,2025-02-14,1076.48,1077.49,1068.01,1071.85,1410728.0,1072.7352,69488,1739509200000,massive,True
COST,2025-02-18,1069.21,1071.0,1045.24,1056.03,2090589.0,1055.5436,102817,1739854800000,massive,True
COST,2025-02-19,1056.06,1063.18,1053.0,1062.54,1349634.0,1059.439,64919,1739941200000,massive,True
COST,2025-02-20,1053.64,1053.64,1033.85,1034.83,2000545.0,1038.4295,100377,1740027600000,massive,True
COST,2025-02-21,1034.605,1036.2099,1024.6801,1035.03,1816308.0,1031.5775,87641,1740114000000,massive,True
COST,2025-02-24,1028.54,1038.185,1025.22,1035.6,1759749.0,1033.1012,83967,1740373200000,massive,True
COST,2025-02-25,1040.73,1057.02,1037.4583,1055.66,2083802.0,1051.5349,91142,1740459600000,massive,True
COST,2025-02-26,1050.14,1058.89,1030.18,1031.97,1555684.0,1039.7441,80141,1740546000000,massive,True
COST,2025-02-27,1034.0,1042.5299,1018.8272,1021.71,1629074.0,1027.5635,75758,1740632400000,massive,True
COST,2025-02-28,1030.61,1049.38,1023.99,1048.61,3307117.0,1043.214,87923,1740718800000,massive,True
COST,2025-03-03,1051.74,1066.0,1041.14,1046.85,2422451.0,1051.175,101218,1740978000000,massive,True
COST,2025-03-04,1045.73,1047.93,1028.73,1036.87,2536792.0,1038.3553,120394,1741064400000,massive,True
COST,2025-03-05,1033.08,1050.98,1028.5,1047.75,1898604.0,1042.4625,83216,1741150800000,massive,True
COST,2025-03-06,1032.95,1045.89,1019.0544,1026.62,2594563.0,1029.2402,128434,1741237200000,massive,True
COST,2025-03-07,995.15,1002.42,942.78,964.31,5510718.0,962.7581,279248,1741323600000,massive,True
COST,2025-03-10,955.47,959.66,924.03,934.41,4459854.0,938.0533,203758,1741579200000,massive,True
COST,2025-03-11,931.0,938.0,921.2,930.49,3204869.0,930.1117,133670,1741665600000,massive,True
COST,2025-03-12,938.0,944.38,923.25,927.08,2331610.0,931.237,116991,1741752000000,massive,True
COST,2025-03-13,922.0,923.5,887.47,890.62,3447210.0,896.7133,177027,1741838400000,massive,True
COST,2025-03-14,891.81,906.95,881.56,903.92,3186406.0,899.076,136730,1741924800000,massive,True
COST,2025-03-17,901.63,923.3899,898.0001,916.61,2256059.0,913.1492,104602,1742184000000,massive,True
COST,2025-03-18,913.0,917.56,896.835,898.05,2182005.0,901.5728,103102,1742270400000,massive,True
COST,2025-03-19,902.86,910.16,896.0,904.05,1908521.0,902.758,86907,1742356800000,massive,True
COST,2025-03-20,901.5,907.48,894.1,895.4,1891797.0,898.3763,84527,1742443200000,massive,True
COST,2025-03-21,888.75,909.77,883.96,909.26,3447576.0,902.3865,97891,1742529600000,massive,True
COST,2025-03-24,920.0,928.65,920.0,926.04,2208062.0,924.7002,90011,1742788800000,massive,True
COST,2025-03-25,926.63,932.29,922.49,930.26,1622981.0,927.7194,72266,1742875200000,massive,True
COST,2025-03-26,934.33,939.4151,923.45,929.75,1646854.0,930.4305,73375,1742961600000,massive,True
COST,2025-03-27,929.56,942.9037,928.0,938.75,1546989.0,938.6414,73073,1743048000000,massive,True
COST,2025-03-28,937.5,938.75,926.0,929.66,2100487.0,931.2528,84090,1743134400000,massive,True
COST,2025-03-31,922.36,995.0,922.0432,945.78,3101963.0,940.8757,100713,1743393600000,massive,True
COST,2025-04-01,942.42,957.7236,938.75,954.4,2041507.0,952.1304,93802,1743480000000,massive,True
COST,2025-04-02,950.84,970.89,950.0001,965.08,1719896.0,962.8303,83039,1743566400000,massive,True
COST,2025-04-03,931.08,981.352,928.0,967.08,3096918.0,967.0734,140941,1743652800000,massive,True
COST,2025-04-04,955.0,964.52,914.14,916.48,5166988.0,934.7587,201640,1743739200000,massive,True
COST,2025-04-07,887.75,937.82,871.705,908.13,4626591.0,901.9043,187193,1743998400000,massive,True
COST,2025-04-08,932.05,942.985,899.57,908.75,3545403.0,919.6497,128456,1744084800000,massive,True
COST,2025-04-09,908.0,967.46,897.67,965.19,5084527.0,946.1104,160964,1744171200000,massive,True
COST,2025-04-10,966.5,993.4105,942.8947,964.31,4209053.0,968.5911,151936,1744257600000,massive,True
COST,2025-04-11,963.96,970.2075,943.16,963.41,2721811.0,960.1407,100171,1744344000000,massive,True
COST,2025-04-14,970.0,987.13,965.0,979.32,2219943.0,978.6984,92034,1744603200000,massive,True
COST,2025-04-15,985.35,994.0,974.25,976.92,1788151.0,981.1001,70511,1744689600000,massive,True
COST,2025-04-16,972.13,978.65,959.24,967.75,2531715.0,968.3782,79186,1744776000000,massive,True
COST,2025-04-17,973.275,999.9183,971.99,994.5,2711124.0,990.8832,82132,1744862400000,massive,True
COST,2025-04-21,993.0,996.99,942.97,957.77,2841310.0,960.6268,106087,1745208000000,massive,True
COST,2025-04-22,969.75,987.45,966.78,979.23,2230645.0,979.1714,83137,1745294400000,massive,True
COST,2025-04-23,994.52,995.75,969.0,975.84,2109653.0,979.1543,83632,1745380800000,massive,True
COST,2025-04-24,973.6,978.0,960.71,975.48,2468463.0,973.5232,76466,1745467200000,massive,True
COST,2025-04-25,973.97,978.32,962.88,977.16,1780887.0,973.0322,75345,1745553600000,massive,True
COST,2025-04-28,978.5,985.3,968.7752,978.54,1616155.0,977.4973,70529,1745812800000,massive,True
COST,2025-04-29,978.0,993.21,971.06,991.7,1523146.0,987.5183,65720,1745899200000,massive,True
COST,2025-04-30,990.0,997.76,976.55,994.5,2212362.0,990.5617,75423,1745985600000,massive,True
COST,2025-05-01,990.1,1006.3799,985.0,999.04,1829874.0,999.4656,81341,1746072000000,massive,True
COST,2025-05-02,1007.83,1018.0,1004.605,1008.3,1547710.0,1010.3074,74839,1746158400000,massive,True
COST,2025-05-05,1007.505,1017.78,1002.5,1014.89,1952580.0,1012.5623,66412,1746417600000,massive,True
COST,2025-05-06,1008.45,1016.23,1003.51,1010.5,1381248.0,1011.1253,57827,1746504000000,massive,True
COST,2025-05-07,1011.18,1014.1,1001.4701,1007.15,1316596.0,1008.3523,61556,1746590400000,massive,True
COST,2025-05-08,1013.5,1017.0,991.4,1007.71,1882643.0,1006.4016,80785,1746676800000,massive,True
COST,2025-05-09,1004.61,1010.71,998.05,1008.09,1176656.0,1005.7513,59945,1746763200000,massive,True
COST,2025-05-12,1009.79,1016.91,992.24,1016.15,2069049.0,1010.0956,97262,1747022400000,massive,True
COST,2025-05-13,1013.715,1023.83,987.6,999.03,2917044.0,1002.466,142113,1747108800000,massive,True
COST,2025-05-14,998.755,999.86,990.52,991.54,2214978.0,994.2064,86620,1747195200000,massive,True
COST,2025-05-15,992.65,1014.0,983.0,1010.47,2470690.0,1006.0444,99263,1747281600000,massive,True
COST,2025-05-16,1012.49,1028.262,1009.0,1025.83,2033744.0,1022.6111,91886,1747368000000,massive,True
COST,2025-05-19,1018.6,1034.99,1012.89,1034.34,1879788.0,1030.1629,81279,1747627200000,massive,True
COST,2025-05-20,1030.01,1037.9999,1030.01,1036.82,2271232.0,1035.5344,81469,1747713600000,massive,True
COST,2025-05-21,1030.94,1039.4699,1023.8,1025.3,1438885.0,1029.3452,69171,1747800000000,massive,True
COST,2025-05-22,1027.725,1028.775,1014.12,1018.13,1660909.0,1019.9756,74544,1747886400000,massive,True
COST,2025-05-23,1012.0,1015.11,1007.0,1008.5,1413916.0,1010.7187,69781,1747972800000,massive,True
COST,2025-05-27,1015.0,1018.95,1010.93,1017.79,1868169.0,1015.453,86568,1748318400000,massive,True
COST,2025-05-28,1017.05,1024.62,1012.96,1013.14,1674743.0,1016.157,69511,1748404800000,massive,True
COST,2025-05-29,1016.01,1017.535,1003.6,1008.74,2023815.0,1009.8169,102273,1748491200000,massive,True
COST,2025-05-30,1002.3,1052.49,1002.0,1040.18,5403837.0,1040.158,176972,1748577600000,massive,True
COST,2025-06-02,1034.27,1060.5,1034.27,1056.85,2148004.0,1051.6679,107172,1748836800000,massive,True
COST,2025-06-03,1054.15,1067.08,1043.2552,1055.59,1992850.0,1053.273,96877,1748923200000,massive,True
COST,2025-06-04,1055.0,1057.8299,1049.37,1051.69,1422086.0,1053.2782,72157,1749009600000,massive,True
