symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
C,2025-02-03,78.5,79.905,76.89,79.61,20998500.0,78.8309,200472,1738558800000,massive,True
C,2025-02-04,80.105,80.24,78.36,78.48,13417660.0,78.9408,118709,1738645200000,massive,True
C,2025-02-05,79.04,79.6,78.21,79.46,10736146.0,78.9355,97485,1738731600000,massive,True
C,2025-02-06,80.24,82.5,79.93,82.33,19545662.0,81.6027,134132,1738818000000,massive,True
C,2025-02-07,82.43,82.91,81.35,81.72,10310532.0,82.053,115036,1738904400000,massive,True
C,2025-02-10,81.63,81.82,80.07,80.73,10681576.0,80.6592,89850,1739163600000,massive,True
C,2025-02-11,80.46,81.525,80.22,81.11,9994233.0,81.0611,94547,1739250000000,massive,True
C,2025-02-12,80.17,81.29,80.01,81.27,10448063.0,80.8274,87102,1739336400000,massive,True
C,2025-02-13,81.4,82.13,80.775,82.1,11108411.0,81.6841,95515,1739422800000,massive,True
C,2025-02-14,82.41,84.67,82.23,84.61,16034997.0,84.1349,131097,1739509200000,massive,True
C,2025-02-18,83.94,84.74,83.55,84.63,17906959.0,84.3912,110644,1739854800000,massive,True
C,2025-02-19,84.06,84.23,83.45,83.94,9710795.0,83.8884,91947,1739941200000,massive,True
C,2025-02-20,83.84,84.06,80.94,81.34,15160298.0,81.5645,124719,1740027600000,massive,True
C,2025-02-21,81.8,81.91,79.61,79.65,14907784.0,80.3316,112210,1740114000000,massive,True
C,2025-02-24,80.22,80.69,77.07,78.54,12829963.0,78.9403,124392,1740373200000,massive,True
C,2025-02-25,79.18,79.57,76.46,78.14,14501410.0,77.8566,150714,1740459600000,massive,True
C,2025-02-26,78.8,80.09,78.47,79.07,13114994.0,79.318,116173,1740546000000,massive,True
C,2025-02-27,79.56,80.37,78.66,78.87,8485897.0,79.4502,105852,1740632400000,massive,True
C,2025-02-28,79.22,79.97,77.61,79.95,21233584.0,79.1585,167372,1740718800000,massive,True
C,2025-03-03,80.0,80.43,76.25,77.17,20121073.0,78.1151,201494,1740978000000,massive,True
C,2025-03-04,74.54,74.856,70.63,72.35,33983885.0,72.2465,337466,1741064400000,massive,True
C,2025-03-05,72.6,73.525,71.7,72.96,17214150.0,72.6797,156430,1741150800000,massive,True
C,2025-03-06,71.81,72.39,70.035,70.58,18550843.0,70.9002,173378,1741237200000,massive,True
C,2025-03-07,70.18,70.74,68.07,70.46,18212862.0,69.7233,180543,1741323600000,massive,True
C,2025-03-10,68.49,68.73,66.05,67.41,22378378.0,67.3413,221135,1741579200000,massive,True
C,2025-03-11,67.29,68.475,66.17,67.5,21269242.0,67.3749,208062,1741665600000,massive,True
C,2025-03-12,68.79,69.1099,66.87,67.95,16131078.0,67.9925,148829,1741752000000,massive,True
C,2025-03-13,68.4,69.14,66.73,67.23,17125226.0,67.5869,158234,1741838400000,massive,True
C,2025-03-14,67.97,69.0,67.58,68.78,12727309.0,68.5403,132656,1741924800000,massive,True
C,2025-03-17,68.89,70.36,68.68,69.94,12531717.0,69.7777,127769,1742184000000,massive,True
C,2025-03-18,69.97,70.49,69.59,70.22,12289926.0,70.1349,117688,1742270400000,massive,True
C,2025-03-19,70.36,72.18,69.67,71.44,14400625.0,71.2397,136321,1742356800000,massive,True
C,2025-03-20,70.98,72.98,70.535,71.82,15315604.0,72.1377,140065,1742443200000,massive,True
C,2025-03-21,71.28,72.245,70.765,71.98,21724002.0,71.719,129720,1742529600000,massive,True
C,2025-03-24,73.255,74.345,72.67,74.04,15310600.0,73.8312,127103,1742788800000,massive,True
C,2025-03-25,74.35,74.8,73.72,74.47,10922241.0,74.2854,104641,1742875200000,massive,True
C,2025-03-26,74.82,75.06,73.055,73.24,12375717.0,73.7979,122808,1742961600000,massive,True
C,2025-03-27,72.99,72.99,71.7612,71.85,13155844.0,72.3125,128157,1743048000000,massive,True
C,2025-03-28,71.59,72.2,69.68,70.33,13630745.0,70.3669,124954,1743134400000,massive,True
C,2025-03-31,69.5,71.2,68.41,70.99,15568435.0,70.2647,135289,1743393600000,massive,True
C,2025-04-01,70.38,70.88,69.28,70.54,10957132.0,70.2702,97598,1743480000000,massive,True
C,2025-04-02,69.67,71.96,69.6,71.76,9731742.0,71.353,113451,1743566400000,massive,True
C,2025-04-03,66.17,66.8,62.9,63.05,39469487.0,64.2275,343734,1743652800000,massive,True
C,2025-04-04,60.25,60.42,56.305,58.13,51730469.0,58.1977,432984,1743739200000,massive,True
C,2025-04-07,56.16,61.33,55.51,58.85,37487669.0,58.1355,314978,1743998400000,massive,True
C,2025-04-08,61.24,62.66,57.565,58.77,30272287.0,60.1005,273865,1744084800000,massive,True
C,2025-04-09,56.76,65.75,56.07,64.15,49437867.0,61.3334,406081,1744171200000,massive,True
C,2025-04-10,62.09,62.5,59.08,61.59,25912826.0,61.15,248705,1744257600000,massive,True
C,2025-04-11,60.88,62.31,59.92,61.64,24776014.0,61.3734,206731,1744344000000,massive,True
C,2025-04-14,63.35,64.43,62.7,63.22,20385919.0,63.5181,196364,1744603200000,massive,True
C,2025-04-15,64.19,66.29,63.8401,64.33,24738355.0,64.9004,213159,1744689600000,massive,True
C,2025-04-16,63.06,63.82,61.303,62.1,21922551.0,62.2833,168563,1744776000000,massive,True
C,2025-04-17,62.18,63.78,61.84,63.25,14656305.0,63.0938,141535,1744862400000,massive,True
C,2025-04-21,62.75,63.14,61.95,62.69,15136003.0,62.5636,108542,1745208000000,massive,True
C,2025-04-22,63.52,64.97,63.51,64.55,13252293.0,64.4402,106712,1745294400000,massive,True
C,2025-04-23,66.47,68.82,66.16,66.3,17243864.0,67.1901,169222,1745380800000,massive,True
C,2025-04-24,66.26,68.34,65.78,68.16,13672251.0,67.6577,108432,1745467200000,massive,True
C,2025-04-25,67.855,68.71,67.76,68.43,12253389.0,68.3178,103036,1745553600000,massive,True
