symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
DDOG,2025-02-03,140.802,144.41,140.24,143.155,5124807.0,142.5111,71346,1738558800000,massive,True
DDOG,2025-02-04,143.0,146.47,142.86,145.83,3290096.0,145.4511,50762,1738645200000,massive,True
DDOG,2025-02-05,144.55,144.92,140.3,144.85,4837301.0,142.8753,73659,1738731600000,massive,True
DDOG,2025-02-06,146.0,146.05,143.5,144.85,3568616.0,144.8893,58977,1738818000000,massive,True
DDOG,2025-02-07,145.01,145.77,141.85,142.65,4475129.0,143.4216,71325,1738904400000,massive,True
DDOG,2025-02-10,144.43,147.8199,143.65,147.1,4916244.0,146.5335,76183,1739163600000,massive,True
DDOG,2025-02-11,146.38,148.47,145.0,145.42,3402210.0,146.0536,58854,1739250000000,massive,True
DDOG,2025-02-12,146.29,149.01,144.2,148.09,6977332.0,147.2423,105105,1739336400000,massive,True
DDOG,2025-02-13,136.55,136.71,130.88,135.89,20141609.0,134.533,275194,1739422800000,massive,True
DDOG,2025-02-14,133.61,135.81,129.69,131.01,8664004.0,131.1544,122890,1739509200000,massive,True
DDOG,2025-02-18,128.31,130.86,127.23,130.63,8969753.0,129.3123,117655,1739854800000,massive,True
DDOG,2025-02-19,130.52,130.9,128.15,128.85,4405342.0,129.3698,67530,1739941200000,massive,True
DDOG,2025-02-20,127.93,128.85,124.33,126.24,6105817.0,125.7275,83527,1740027600000,massive,True
DDOG,2025-02-21,126.18,126.64,119.59,119.64,6983814.0,121.4142,91248,1740114000000,massive,True
DDOG,2025-02-24,119.64,119.8,114.621,117.51,7269869.0,116.8203,92680,1740373200000,massive,True
DDOG,2025-02-25,116.53,117.29,113.456,114.98,7560919.0,115.1718,87911,1740459600000,massive,True
DDOG,2025-02-26,115.84,117.63,112.85,113.37,6581213.0,114.4889,88314,1740546000000,massive,True
DDOG,2025-02-27,116.785,118.0,113.31,113.53,5101790.0,114.8971,73364,1740632400000,massive,True
DDOG,2025-02-28,112.62,116.64,111.68,116.55,5046336.0,115.4361,76900,1740718800000,massive,True
DDOG,2025-03-03,116.97,117.3099,112.59,113.17,4207774.0,114.8967,69621,1740978000000,massive,True
DDOG,2025-03-04,111.73,116.58,110.3725,115.46,5788086.0,114.1431,92110,1741064400000,massive,True
DDOG,2025-03-05,115.49,115.5,112.83,115.09,3411105.0,114.2705,62010,1741150800000,massive,True
DDOG,2025-03-06,111.0,115.23,110.91,111.46,5304794.0,112.5852,77828,1741237200000,massive,True
DDOG,2025-03-07,110.88,113.46,106.66,109.63,6028386.0,109.2815,79981,1741323600000,massive,True
DDOG,2025-03-10,107.38,107.59,100.85,101.65,9445394.0,102.6151,124778,1741579200000,massive,True
DDOG,2025-03-11,101.53,103.535,101.01,101.96,7558035.0,102.3175,107624,1741665600000,massive,True
DDOG,2025-03-12,104.42,104.71,101.05,102.03,6870257.0,102.2452,102863,1741752000000,massive,True
DDOG,2025-03-13,100.71,102.14,98.3,98.68,5113308.0,99.6958,79105,1741838400000,massive,True
DDOG,2025-03-14,99.58,101.98,98.81,101.8,4010734.0,101.3084,57734,1741924800000,massive,True
DDOG,2025-03-17,101.59,105.11,101.46,103.97,4033785.0,103.8973,57655,1742184000000,massive,True
DDOG,2025-03-18,103.24,103.4,100.71,102.93,2995201.0,102.2264,53120,1742270400000,massive,True
DDOG,2025-03-19,103.11,104.98,102.28,104.43,3147833.0,104.1218,43436,1742356800000,massive,True
DDOG,2025-03-20,103.98,105.0,103.0801,103.17,4912416.0,103.635,40723,1742443200000,massive,True
DDOG,2025-03-21,101.25,105.56,100.63,105.03,4944694.0,104.3897,46712,1742529600000,massive,True
DDOG,2025-03-24,107.2,110.79,106.91,110.17,4385072.0,109.5585,67180,1742788800000,massive,True
DDOG,2025-03-25,110.25,112.35,110.03,110.58,3666270.0,110.7859,53998,1742875200000,massive,True
DDOG,2025-03-26,110.4,110.63,107.05,107.97,2260253.0,108.0868,37305,1742961600000,massive,True
DDOG,2025-03-27,107.55,107.55,104.735,104.85,2699214.0,105.5059,47920,1743048000000,massive,True
DDOG,2025-03-28,103.59,103.8406,100.15,101.1,3795316.0,101.3278,57259,1743134400000,massive,True
DDOG,2025-03-31,99.26,99.7,96.63,99.21,4031383.0,98.6585,62594,1743393600000,massive,True
DDOG,2025-04-01,100.19,101.43,98.51,101.06,4186387.0,100.2043,52641,1743480000000,massive,True
DDOG,2025-04-02,98.15,102.84,98.0,101.71,3801854.0,101.3509,53446,1743566400000,massive,True
DDOG,2025-04-03,96.44,97.95,93.15,94.47,5753322.0,95.0806,84616,1743652800000,massive,True
DDOG,2025-04-04,90.91,92.174,86.57,87.93,7712213.0,88.8859,107871,1743739200000,massive,True
DDOG,2025-04-07,83.28,91.79,81.63,88.2,9014286.0,87.0534,112413,1743998400000,massive,True
DDOG,2025-04-08,91.0,92.5,85.74,87.0,7376677.0,89.0413,76284,1744084800000,massive,True
DDOG,2025-04-09,87.0,98.69,86.1414,97.44,7979481.0,94.177,107493,1744171200000,massive,True
DDOG,2025-04-10,95.0,95.475,91.3,93.18,6108614.0,93.4466,75090,1744257600000,massive,True
DDOG,2025-04-11,94.0,94.2,90.65,92.02,5661829.0,92.0176,74157,1744344000000,massive,True
DDOG,2025-04-14,94.1,95.88,90.5,91.88,6111529.0,92.2131,79315,1744603200000,massive,True
DDOG,2025-04-15,91.74,93.43,91.475,92.55,3824432.0,92.4164,46034,1744689600000,massive,True
DDOG,2025-04-16,91.26,93.5076,90.76,91.88,3467830.0,92.2092,54778,1744776000000,massive,True
DDOG,2025-04-17,91.51,92.05,90.06,91.18,3477932.0,91.1759,42231,1744862400000,massive,True
DDOG,2025-04-21,90.185,90.63,87.695,88.92,4701352.0,88.5289,66982,1745208000000,massive,True
DDOG,2025-04-22,90.5,92.11,89.74,91.42,4397999.0,91.061,64360,1745294400000,massive,True
DDOG,2025-04-23,95.24,97.26,93.92,94.58,5871037.0,94.9694,71889,1745380800000,massive,True
DDOG,2025-04-24,94.9,99.73,94.9,99.6,4943026.0,98.8846,67311,1745467200000,massive,True
DDOG,2025-04-25,99.11,101.67,99.11,101.52,3025711.0,100.7666,51554,1745553600000,massive,True
DDOG,2025-04-28,101.4,102.04,100.3,101.74,2730691.0,101.3603,45397,1745812800000,massive,True
DDOG,2025-04-29,101.94,102.86,101.05,102.31,2616290.0,102.2945,36348,1745899200000,massive,True
DDOG,2025-04-30,100.065,102.29,99.27,102.16,3566677.0,101.3939,47843,1745985600000,massive,True
DDOG,2025-05-01,106.66,106.8,103.5,106.32,7760572.0,105.7985,104561,1746072000000,massive,True
DDOG,2025-05-02,107.12,108.13,104.8,105.0,5147524.0,105.9903,71781,1746158400000,massive,True
DDOG,2025-05-05,104.52,106.84,104.05,105.7,7473486.0,106.0542,98152,1746417600000,massive,True
DDOG,2025-05-06,104.67,108.45,101.06,106.06,13052954.0,105.7867,142824,1746504000000,massive,True
DDOG,2025-05-07,105.71,108.0,104.28,106.02,5926287.0,106.0647,87754,1746590400000,massive,True
DDOG,2025-05-08,107.375,110.18,106.38,109.22,5469557.0,108.6344,80642,1746676800000,massive,True
DDOG,2025-05-09,110.12,110.45,106.8418,107.88,3603893.0,108.0178,55613,1746763200000,massive,True
DDOG,2025-05-12,112.13,113.52,111.03,113.42,4174720.0,112.6716,63759,1747022400000,massive,True
DDOG,2025-05-13,113.49,118.08,113.395,117.31,6364383.0,116.4635,86860,1747108800000,massive,True
DDOG,2025-05-14,118.04,119.36,117.08,119.09,6332122.0,118.6764,84168,1747195200000,massive,True
DDOG,2025-05-15,117.805,118.5,115.94,117.14,4196849.0,117.1879,61275,1747281600000,massive,True
DDOG,2025-05-16,117.92,118.51,116.52,117.67,3143153.0,117.8123,49898,1747368000000,massive,True
DDOG,2025-05-19,115.29,116.98,114.73,116.46,4864820.0,116.4165,53501,1747627200000,massive,True
DDOG,2025-05-20,115.37,116.34,114.66,116.29,2995534.0,115.6021,48950,1747713600000,massive,True
DDOG,2025-05-21,114.93,116.08,113.55,113.69,3701950.0,114.5227,61625,1747800000000,massive,True
DDOG,2025-05-22,114.175,117.1289,114.02,115.67,3671877.0,115.8151,63403,1747886400000,massive,True
DDOG,2025-05-23,113.61,115.58,113.3,114.46,2888753.0,114.6905,52669,1747972800000,massive,True
DDOG,2025-05-27,116.435,118.04,115.215,117.6,3317831.0,117.2384,60747,1748318400000,massive,True
DDOG,2025-05-28,117.61,118.7165,116.06,116.3,2518560.0,117.049,46834,1748404800000,massive,True
DDOG,2025-05-29,116.64,118.24,115.62,117.0,3556179.0,117.1128,62499,1748491200000,massive,True
DDOG,2025-05-30,116.31,118.2,115.18,117.88,7310515.0,117.0377,66348,1748577600000,massive,True
DDOG,2025-06-02,117.43,118.35,114.74,117.74,4103660.0,117.1855,73932,1748836800000,massive,True
DDOG,2025-06-03,117.37,119.09,116.12,118.66,3884777.0,118.0874,62109,1748923200000,massive,True
DDOG,2025-06-04,119.225,121.39,118.99,119.7,6012245.0,120.1482,91528,1749009600000,massive,True
DDOG,2025-06-05,121.19,123.77,120.5801,121.75,5307804.0,122.4082,89474,1749096000000,massive,True
DDOG,2025-06-06,122.64,123.15,121.54,122.16,4539401.0,122.3472,79139,1749182400000,massive,True
DDOG,2025-06-09,122.39,122.89,118.77,121.17,4810659.0,121.3548,72408,1749441600000,massive,True
DDOG,2025-06-10,122.43,123.78,119.52,119.91,5769364.0,120.8065,74336,1749528000000,massive,True
DDOG,2025-06-11,119.99,120.58,118.14,118.63,3480810.0,119.2632,58473,1749614400000,massive,True
DDOG,2025-06-12,120.11,123.69,120.0,122.68,4963517.0,122.4172,82808,1749700800000,massive,True
DDOG,2025-06-13,120.54,123.16,119.81,120.45,4029365.0,121.4567,62921,1749787200000,massive,True
DDOG,2025-06-16,120.86,122.395,120.86,121.93,3304895.0,121.8201,60571,1750046400000,massive,True
DDOG,2025-06-17,120.97,125.32,119.5601,124.84,5518412.0,124.1831,86804,1750132800000,massive,True
DDOG,2025-06-18,125.0,130.49,124.88,130.04,7582447.0,129.0848,115375,1750219200000,massive,True
DDOG,2025-06-20,131.06,131.7645,127.05,127.5,5224301.0,128.6457,68640,1750392000000,massive,True
DDOG,2025-06-23,127.12,129.93,125.5,129.52,4531498.0,129.116,68304,1750651200000,massive,True
DDOG,2025-06-24,131.16,131.625,129.8945,130.83,3000083.0,130.8275,55426,1750737600000,massive,True
DDOG,2025-06-25,131.16,132.69,129.88,130.24,3782811.0,130.9383,60465,1750824000000,massive,True
DDOG,2025-06-26,131.35,132.51,128.99,131.12,3884841.0,131.2792,50146,1750910400000,massive,True
DDOG,2025-06-27,131.74,133.22,130.71,132.08,4557102.0,132.2395,59213,1750996800000,massive,True
DDOG,2025-06-30,133.37,135.41,132.96,134.33,3615046.0,134.3112,61338,1751256000000,massive,True
DDOG,2025-07-01,133.66,135.5,130.28,132.33,4164023.0,132.4903,72118,1751342400000,massive,True
DDOG,2025-07-02,131.5,135.39,131.0,135.01,4959225.0,137.2769,80593,1751428800000,massive,True
DDOG,2025-07-03,147.45,156.53,146.91,155.15,29996674.0,152.1595,345548,1751515200000,massive,True
DDOG,2025-07-07,155.0,157.3751,151.65,152.41,16225053.0,153.2727,222956,1751860800000,massive,True
DDOG,2025-07-08,146.06,147.85,142.74,145.94,86386002.0,145.9716,299834,1751947200000,massive,True
DDOG,2025-07-09,145.4,146.07,141.93,142.75,9054559.0,143.5318,121522,1752033600000,massive,True
DDOG,2025-07-10,142.851,143.0,136.81,137.49,9708792.0,138.5082,136513,1752120000000,massive,True
DDOG,2025-07-11,137.49,139.62,137.1,137.37,6324160.0,138.0782,84130,1752206400000,massive,True
DDOG,2025-07-14,136.01,141.0,135.8392,138.8,6486645.0,139.1129,96197,1752465600000,massive,True
DDOG,2025-07-15,139.09,141.94,139.0,140.56,4952150.0,140.7881,71308,1752552000000,massive,True
DDOG,2025-07-16,139.5,140.24,137.86,139.36,4045976.0,139.2188,67739,1752638400000,massive,True
DDOG,2025-07-17,139.85,144.32,139.815,143.15,5309842.0,142.9709,77529,1752724800000,massive,True
DDOG,2025-07-18,143.29,145.67,142.67,145.02,3609942.0,144.5975,61186,1752811200000,massive,True
DDOG,2025-07-21,145.42,146.12,143.64,145.27,3683654.0,145.0574,60991,1753070400000,massive,True
DDOG,2025-07-22,144.74,145.9,142.77,144.89,3694000.0,144.6793,61085,1753156800000,massive,True
DDOG,2025-07-23,145.18,145.23,141.75,144.0,3448476.0,143.565,60146,1753243200000,massive,True
DDOG,2025-07-24,145.0,147.86,144.715,146.56,2931865.0,146.2826,59789,1753329600000,massive,True
DDOG,2025-07-25,147.465,150.4,146.555,149.84,4924632.0,149.3447,73254,1753416000000,massive,True
DDOG,2025-07-28,150.9,151.65,149.66,150.77,2648570.0,150.7906,50548,1753675200000,massive,True
DDOG,2025-07-29,150.99,152.24,148.6,150.27,2875757.0,150.3642,49728,1753761600000,massive,True
DDOG,2025-07-30,150.26,150.795,148.14,148.88,3940295.0,148.4886,61315,1753848000000,massive,True
DDOG,2025-07-31,143.0,143.41,137.675,139.98,10859480.0,140.8031,140058,1753934400000,massive,True
DDOG,2025-08-01,137.475,138.68,134.13,135.6,6067304.0,135.5447,108457,1754020800000,massive,True
DDOG,2025-08-04,137.2,139.14,136.15,139.13,3501097.0,138.0927,58726,1754280000000,massive,True
DDOG,2025-08-05,139.66,139.99,132.72,132.94,5551421.0,134.1648,82052,1754366400000,massive,True
DDOG,2025-08-06,133.1,137.33,133.1,136.96,7405476.0,135.5061,106274,1754452800000,massive,True
DDOG,2025-08-07,147.75,149.0,131.2,136.38,16640887.0,138.8547,232975,1754539200000,massive,True
DDOG,2025-08-08,136.59,139.75,129.36,130.91,10874940.0,132.6329,164125,1754625600000,massive,True
DDOG,2025-08-11,129.46,132.55,128.42,128.83,8536126.0,130.1151,119171,1754884800000,massive,True
DDOG,2025-08-12,128.9,129.9,126.275,128.96,6845384.0,128.5094,92823,1754971200000,massive,True
DDOG,2025-08-13,129.7,129.86,126.98,128.71,4753794.0,128.519,76523,1755057600000,massive,True
DDOG,2025-08-14,127.67,127.8999,124.18,124.52,6438879.0,125.2358,103342,1755144000000,massive,True
DDOG,2025-08-15,124.71,128.22,123.42,127.25,4566543.0,126.9709,75073,1755230400000,massive,True
DDOG,2025-08-18,127.68,129.55,127.18,129.07,2625436.0,128.9039,48440,1755489600000,massive,True
DDOG,2025-08-19,129.46,131.23,127.84,128.99,4477097.0,129.1216,71792,1755576000000,massive,True
DDOG,2025-08-20,128.47,128.7291,125.56,128.46,3915006.0,127.3767,67987,1755662400000,massive,True
DDOG,2025-08-21,128.06,129.24,126.6739,129.15,2965103.0,128.662,47466,1755748800000,massive,True
DDOG,2025-08-22,129.01,132.38,128.08,131.22,3826927.0,131.0186,67127,1755835200000,massive,True
DDOG,2025-08-25,130.51,130.89,128.09,128.38,2621774.0,128.656,52218,1756094400000,massive,True
DDOG,2025-08-26,128.56,129.02,126.25,126.31,5024351.0,126.9874,71382,1756180800000,massive,True
DDOG,2025-08-27,128.07,131.86,128.01,131.73,6071213.0,130.2526,88878,1756267200000,massive,True
DDOG,2025-08-28,134.37,141.36,134.12,140.96,9304193.0,139.4241,122806,1756353600000,massive,True
DDOG,2025-08-29,139.96,142.5,136.04,136.68,5105401.0,137.8914,88314,1756440000000,massive,True
DDOG,2025-09-02,134.48,135.6,132.0,134.69,4848434.0,134.0123,83341,1756785600000,massive,True
DDOG,2025-09-03,134.3,134.4517,131.12,132.6,3718994.0,132.2483,69004,1756872000000,massive,True
DDOG,2025-09-04,131.97,132.32,129.06,131.78,2955513.0,131.2812,59347,1756958400000,massive,True
DDOG,2025-09-05,132.74,136.25,132.395,136.08,4851082.0,135.1254,79876,1757044800000,massive,True
DDOG,2025-09-08,136.29,136.9154,134.65,136.44,4757570.0,135.9291,77609,1757304000000,massive,True
DDOG,2025-09-09,136.51,140.68,136.48,140.46,4493160.0,139.5776,79998,1757390400000,massive,True
DDOG,2025-09-10,141.34,145.155,138.69,139.13,4859391.0,141.6415,84439,1757476800000,massive,True
DDOG,2025-09-11,139.83,141.04,138.5532,139.15,2819248.0,139.5433,58229,1757563200000,massive,True
DDOG,2025-09-12,138.905,139.81,136.24,136.5,3034125.0,137.4118,62152,1757649600000,massive,True
DDOG,2025-09-15,136.8,139.8481,136.1,138.65,4719334.0,138.4335,89901,1757908800000,massive,True
DDOG,2025-09-16,135.85,136.15,132.69,134.59,5104067.0,134.6707,90651,1757995200000,massive,True
DDOG,2025-09-17,134.76,136.54,132.28,134.23,3558493.0,134.3394,60458,1758081600000,massive,True
DDOG,2025-09-18,135.23,137.27,134.53,136.81,3718499.0,136.4792,64397,1758168000000,massive,True
DDOG,2025-09-19,136.32,139.08,135.86,138.82,10124436.0,138.2855,68921,1758254400000,massive,True
DDOG,2025-09-22,137.38,139.41,134.96,138.35,3740605.0,137.9562,60911,1758513600000,massive,True
DDOG,2025-09-23,138.69,139.82,136.71,137.49,3857910.0,137.8596,61590,1758600000000,massive,True
DDOG,2025-09-24,138.15,139.31,135.26,136.57,2806461.0,136.588,50428,1758686400000,massive,True
DDOG,2025-09-25,135.19,136.97,133.14,136.6,2171837.0,136.0386,47618,1758772800000,massive,True
DDOG,2025-09-26,136.41,140.1999,135.4025,139.07,2755501.0,138.9196,53774,1758859200000,massive,True
DDOG,2025-09-29,140.17,145.87,139.1,145.26,4559416.0,144.1348,81611,1759118400000,massive,True
DDOG,2025-09-30,144.43,144.495,139.63,142.4,4305182.0,142.1375,73705,1759204800000,massive,True
DDOG,2025-10-01,144.28,154.37,143.83,152.7,8079467.0,151.0975,122293,1759291200000,massive,True
DDOG,2025-10-02,153.53,154.77,150.535,151.57,4948348.0,151.965,92382,1759377600000,massive,True
DDOG,2025-10-03,152.14,155.235,151.51,151.82,5141646.0,152.8607,75175,1759464000000,massive,True
DDOG,2025-10-06,153.11,159.68,153.0101,157.36,4732285.0,157.0971,85142,1759723200000,massive,True
DDOG,2025-10-07,156.0,156.58,152.5001,154.52,3375659.0,154.4736,73855,1759809600000,massive,True
DDOG,2025-10-08,157.24,165.15,154.995,164.12,7521930.0,162.4417,120148,1759896000000,massive,True
DDOG,2025-10-09,163.1,165.63,162.15,164.07,3396127.0,164.3762,74425,1759982400000,massive,True
DDOG,2025-10-10,164.65,166.89,158.15,158.74,4062281.0,160.9103,87475,1760068800000,massive,True
DDOG,2025-10-13,163.1,165.0,159.93,164.2,2941389.0,163.1485,69041,1760328000000,massive,True
DDOG,2025-10-14,160.63,162.14,158.3,160.88,2936653.0,160.5882,62964,1760414400000,massive,True
DDOG,2025-10-15,161.88,162.0,157.51,160.02,3024847.0,159.7782,55946,1760500800000,massive,True
DDOG,2025-10-16,160.59,164.54,149.02,151.17,5323640.0,154.9485,99670,1760587200000,massive,True
DDOG,2025-10-17,152.4,156.24,151.7,152.87,4224271.0,153.8825,78928,1760673600000,massive,True
DDOG,2025-10-20,155.15,158.08,154.185,156.295,2559220.0,156.4527,49394,1760932800000,massive,True
DDOG,2025-10-21,156.3,159.045,155.57,156.25,2105524.0,156.9522,47217,1761019200000,massive,True
DDOG,2025-10-22,157.55,157.55,152.57,154.21,2471021.0,154.3156,56303,1761105600000,massive,True
DDOG,2025-10-23,154.24,156.8299,153.13,156.59,2166910.0,155.3891,46549,1761192000000,massive,True
DDOG,2025-10-24,158.99,160.2,156.39,156.47,2437805.0,157.5415,52423,1761278400000,massive,True
DDOG,2025-10-27,158.275,159.31,156.53,157.62,2452909.0,157.653,51648,1761537600000,massive,True
DDOG,2025-10-28,159.02,160.12,156.64,157.27,1855760.0,157.7693,46002,1761624000000,massive,True
DDOG,2025-10-29,156.76,157.11,154.0103,156.0,4308601.0,156.1248,65178,1761710400000,massive,True
DDOG,2025-10-30,155.0,159.8899,153.0,157.07,2530638.0,157.5961,58971,1761796800000,massive,True
DDOG,2025-10-31,161.0,163.59,159.34,162.81,4038328.0,162.0958,73614,1761883200000,massive,True
DDOG,2025-11-03,163.0,165.58,160.3,162.08,4311383.0,162.8835,74745,1762146000000,massive,True
DDOG,2025-11-04,158.31,162.875,156.0,157.51,3815035.0,158.4364,79092,1762232400000,massive,True
DDOG,2025-11-05,158.15,159.05,154.69,154.98,5345383.0,156.1797,94846,1762318800000,massive,True
DDOG,2025-11-06,178.89,194.87,177.57,190.82,21307233.0,187.8552,297061,1762405200000,massive,True
DDOG,2025-11-07,184.29,191.32,180.77,191.24,9288212.0,186.2868,153072,1762491600000,massive,True
DDOG,2025-11-10,192.91,201.46,191.67,199.72,6579958.0,198.555,116561,1762750800000,massive,True
DDOG,2025-11-11,198.65,201.69,196.1137,197.86,5251718.0,197.9113,78620,1762837200000,massive,True
DDOG,2025-11-12,199.1,199.75,188.52,190.89,4670669.0,191.833,86990,1762923600000,massive,True
DDOG,2025-11-13,190.0,190.59,185.32,185.97,4452231.0,187.0539,87462,1763010000000,massive,True
DDOG,2025-11-14,181.18,187.61,179.0,185.01,3850364.0,184.9213,82266,1763096400000,massive,True
DDOG,2025-11-17,184.18,184.789,178.945,180.26,3974777.0,180.8884,71858,1763355600000,massive,True
DDOG,2025-11-18,177.44,180.21,175.0,176.46,3600199.0,176.8934,69295,1763442000000,massive,True
DDOG,2025-11-19,177.27,179.5,174.82,176.31,3564817.0,176.6231,68691,1763528400000,massive,True
DDOG,2025-11-20,174.41,175.46,158.85,159.57,8715517.0,164.8666,139112,1763614800000,massive,True
DDOG,2025-11-21,157.862,159.835,151.955,157.55,6127574.0,156.606,104606,1763701200000,massive,True
DDOG,2025-11-24,158.14,160.17,155.88,158.44,6818017.0,158.5404,77968,1763960400000,massive,True
DDOG,2025-11-25,157.82,160.59,155.8846,158.99,3318951.0,158.9704,62523,1764046800000,massive,True
DDOG,2025-11-26,159.93,161.72,157.06,158.4,3458716.0,158.7462,63475,1764133200000,massive,True
DDOG,2025-11-28,160.28,161.6,159.25,160.01,2471901.0,160.3273,30007,1764306000000,massive,True
DDOG,2025-12-01,159.09,160.35,157.13,157.9,3577203.0,158.5964,53706,1764565200000,massive,True
DDOG,2025-12-02,161.68,163.43,155.88,156.48,5757655.0,157.7003,92144,1764651600000,massive,True
DDOG,2025-12-03,156.14,156.3899,153.19,155.83,3728869.0,154.9606,60305,1764738000000,massive,True
DDOG,2025-12-04,155.18,155.72,151.66,153.0,3657934.0,153.0183,62025,1764824400000,massive,True
DDOG,2025-12-05,153.0,153.05,150.075,151.41,6441190.0,151.2983,93095,1764910800000,massive,True
DDOG,2025-12-08,152.835,156.1003,152.52,154.28,3896527.0,154.3211,73345,1765170000000,massive,True
DDOG,2025-12-09,153.21,153.699,151.38,152.57,2824634.0,152.5152,51014,1765256400000,massive,True
