symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
FDX,2025-02-03,257.54,258.79,246.72,247.34,3774703.0,249.6109,77319,1738558800000,massive,True
FDX,2025-02-04,249.02,251.269,246.98,250.95,2185720.0,249.7589,40406,1738645200000,massive,True
FDX,2025-02-05,250.49,252.79,248.5,252.41,1535366.0,251.058,33714,1738731600000,massive,True
FDX,2025-02-06,253.48,259.7,252.99,258.77,2539796.0,258.3256,42315,1738818000000,massive,True
FDX,2025-02-07,258.94,259.245,254.87,256.08,1392936.0,256.004,31005,1738904400000,massive,True
FDX,2025-02-10,257.12,258.75,254.08,258.23,1216439.0,257.782,26779,1739163600000,massive,True
FDX,2025-02-11,258.6,262.11,257.02,261.26,1415065.0,260.7855,34256,1739250000000,massive,True
FDX,2025-02-12,258.06,263.47,257.885,262.65,1952800.0,262.265,27028,1739336400000,massive,True
FDX,2025-02-13,262.26,265.08,262.04,263.12,1303508.0,263.2114,29932,1739422800000,massive,True
FDX,2025-02-14,264.39,268.48,264.39,267.77,1265262.0,267.3336,30952,1739509200000,massive,True
FDX,2025-02-18,268.95,269.4399,265.46,267.45,927785.0,267.3572,24567,1739854800000,massive,True
FDX,2025-02-19,266.33,268.54,264.35,266.87,957199.0,266.8722,22800,1739941200000,massive,True
FDX,2025-02-20,266.49,268.85,265.09,268.46,707123.0,267.6473,20099,1740027600000,massive,True
FDX,2025-02-21,268.07,268.07,244.45,254.19,4331309.0,252.3787,87541,1740114000000,massive,True
FDX,2025-02-24,254.5,255.92,251.6189,253.54,1451615.0,254.0027,31423,1740373200000,massive,True
FDX,2025-02-25,254.67,256.69,253.56,256.48,1330390.0,255.6654,28241,1740459600000,massive,True
FDX,2025-02-26,256.86,258.88,253.26,256.12,1096600.0,255.7421,25753,1740546000000,massive,True
FDX,2025-02-27,257.18,261.56,255.5258,258.54,1174743.0,259.1663,32152,1740632400000,massive,True
FDX,2025-02-28,259.74,264.465,258.1801,262.9,1963352.0,262.3023,35216,1740718800000,massive,True
FDX,2025-03-03,263.62,265.0,257.15,258.77,1225714.0,259.9357,31038,1740978000000,massive,True
FDX,2025-03-04,255.4,255.75,246.83,247.74,2334524.0,249.6119,56486,1741064400000,massive,True
FDX,2025-03-05,248.085,252.26,247.51,250.41,1370556.0,250.2138,29954,1741150800000,massive,True
FDX,2025-03-06,248.51,249.88,245.0,249.79,1902720.0,247.802,42056,1741237200000,massive,True
FDX,2025-03-07,249.65,253.94,247.85,253.92,1569475.0,251.494,38765,1741323600000,massive,True
FDX,2025-03-10,250.92,252.23,243.13,246.51,1658004.0,246.5639,41683,1741579200000,massive,True
FDX,2025-03-11,245.85,247.11,241.78,242.96,1966073.0,243.3036,41641,1741665600000,massive,True
FDX,2025-03-12,243.52,244.29,239.5,243.51,1703233.0,242.451,39327,1741752000000,massive,True
FDX,2025-03-13,243.75,246.21,239.7,240.98,1565459.0,241.8721,35624,1741838400000,massive,True
FDX,2025-03-14,242.0,242.92,239.685,242.2,1431766.0,241.5838,33825,1741924800000,massive,True
FDX,2025-03-17,243.27,246.785,241.68,245.3,1270068.0,244.9293,32070,1742184000000,massive,True
FDX,2025-03-18,245.28,247.1799,243.5943,245.8,1587681.0,245.5265,33629,1742270400000,massive,True
FDX,2025-03-19,245.82,249.22,245.0,247.12,1491355.0,247.265,35043,1742356800000,massive,True
FDX,2025-03-20,244.89,250.2,243.01,246.21,3180148.0,244.8324,62540,1742443200000,massive,True
FDX,2025-03-21,219.805,231.87,217.219,230.33,9418186.0,225.5879,153182,1742529600000,massive,True
FDX,2025-03-24,235.0,244.4,234.7379,242.32,3999047.0,241.2846,78086,1742788800000,massive,True
FDX,2025-03-25,242.24,245.14,239.51,241.07,2668977.0,241.3214,58282,1742875200000,massive,True
FDX,2025-03-26,242.0,245.13,240.0,243.67,2191544.0,243.3303,48116,1742961600000,massive,True
