symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
HD,2025-02-03,406.12,411.9,401.01,408.76,2896444.0,408.1446,78259,1738558800000,massive,True
HD,2025-02-04,409.51,412.58,406.085,411.49,2150773.0,410.3954,55060,1738645200000,massive,True
HD,2025-02-05,415.15,415.15,408.14,413.82,2212115.0,413.1706,54431,1738731600000,massive,True
HD,2025-02-06,414.91,417.79,413.0,414.16,2023667.0,414.4981,46114,1738818000000,massive,True
HD,2025-02-07,413.2,414.2899,406.5,407.37,2530505.0,408.2523,63965,1738904400000,massive,True
HD,2025-02-10,410.64,414.95,408.7902,413.99,2617582.0,413.4877,57529,1739163600000,massive,True
HD,2025-02-11,414.0,416.57,412.74,416.36,1442188.0,415.3241,46056,1739250000000,massive,True
HD,2025-02-12,408.58,409.65,402.12,407.14,3387401.0,406.1231,78750,1739336400000,massive,True
HD,2025-02-13,408.71,412.98,407.49,412.43,3067859.0,411.1369,71749,1739422800000,massive,True
HD,2025-02-14,415.0,417.9999,408.5551,409.5,3004396.0,410.9416,63558,1739509200000,massive,True
HD,2025-02-18,408.31,408.87,400.22,403.31,3994025.0,403.1657,77120,1739854800000,massive,True
HD,2025-02-19,397.22,398.64,392.935,395.43,3780014.0,395.2939,93386,1739941200000,massive,True
HD,2025-02-20,393.0,394.76,391.1,394.64,2703526.0,393.2868,69269,1740027600000,massive,True
HD,2025-02-21,396.4,397.815,383.9,385.3,5286976.0,387.1579,99150,1740114000000,massive,True
HD,2025-02-24,386.09,386.55,378.2,382.42,5722039.0,382.7321,113970,1740373200000,massive,True
HD,2025-02-25,385.0,401.01,384.19,393.29,6823898.0,393.868,143882,1740459600000,massive,True
HD,2025-02-26,395.24,398.87,388.56,390.48,3871549.0,393.0914,100790,1740546000000,massive,True
HD,2025-02-27,389.91,395.47,388.325,390.27,2825142.0,391.8691,72631,1740632400000,massive,True
HD,2025-02-28,394.42,396.87,390.2819,396.6,4263916.0,394.8733,70199,1740718800000,massive,True
HD,2025-03-03,396.95,397.07,386.47,389.69,3397551.0,391.1135,76955,1740978000000,massive,True
HD,2025-03-04,386.15,387.96,378.9,381.68,4384823.0,382.8616,99196,1741064400000,massive,True
HD,2025-03-05,379.0,387.12,378.01,386.35,2780317.0,384.5863,67754,1741150800000,massive,True
HD,2025-03-06,383.5,387.76,380.73,381.73,4221975.0,383.1419,74372,1741237200000,massive,True
HD,2025-03-07,379.5,380.6502,368.9,376.8,4574277.0,374.4087,113777,1741323600000,massive,True
HD,2025-03-10,377.44,383.12,372.61,374.65,3710542.0,376.9805,98693,1741579200000,massive,True
HD,2025-03-11,374.22,374.93,365.7276,368.16,4013320.0,368.7908,91910,1741665600000,massive,True
HD,2025-03-12,371.97,372.0,361.75,364.73,3368038.0,365.2224,83095,1741752000000,massive,True
HD,2025-03-13,361.91,362.0,345.26,347.25,7062396.0,349.5999,145635,1741838400000,massive,True
HD,2025-03-14,350.65,351.39,345.42,351.31,5510696.0,349.3925,101133,1741924800000,massive,True
HD,2025-03-17,351.76,355.55,350.96,354.13,3681459.0,353.7632,75605,1742184000000,massive,True
HD,2025-03-18,353.53,353.89,347.59,349.57,3008238.0,349.9605,69651,1742270400000,massive,True
HD,2025-03-19,352.0,354.4263,348.985,353.42,2990191.0,352.6017,66161,1742356800000,massive,True
HD,2025-03-20,354.69,361.7665,352.2,355.52,3391223.0,356.7393,73087,1742443200000,massive,True
HD,2025-03-21,352.09,353.39,346.275,351.15,8205413.0,351.3594,82769,1742529600000,massive,True
HD,2025-03-24,354.62,364.43,354.28,363.77,4023527.0,362.0263,77670,1742788800000,massive,True
HD,2025-03-25,361.53,363.65,358.54,360.99,2799657.0,361.3696,61667,1742875200000,massive,True
HD,2025-03-26,360.39,364.73,360.12,362.13,3141372.0,362.3827,69802,1742961600000,massive,True
HD,2025-03-27,361.9,365.21,361.15,362.73,3036580.0,363.1538,65895,1743048000000,massive,True
HD,2025-03-28,363.16,363.2,356.17,358.15,2980206.0,358.2119,74791,1743134400000,massive,True
HD,2025-03-31,353.495,368.74,352.65,366.49,4498842.0,364.5373,84168,1743393600000,massive,True
HD,2025-04-01,364.14,367.29,361.92,365.52,2801979.0,364.9781,68688,1743480000000,massive,True
HD,2025-04-02,362.56,372.3099,362.26,370.89,3189508.0,369.3955,73817,1743566400000,massive,True
HD,2025-04-03,355.78,360.04,351.7147,355.91,5407124.0,356.0409,136586,1743652800000,massive,True
HD,2025-04-04,350.71,365.44,349.04,353.9,7531133.0,357.0121,177108,1743739200000,massive,True
HD,2025-04-07,344.3,354.22,333.5,341.51,6950486.0,340.3477,153837,1743998400000,massive,True
HD,2025-04-08,350.38,354.0,329.74,335.24,4868020.0,339.9172,117153,1744084800000,massive,True
HD,2025-04-09,328.6,356.04,326.31,355.39,6792988.0,342.954,145985,1744171200000,massive,True
HD,2025-04-10,352.85,355.29,339.66,353.62,5574797.0,350.6702,112561,1744257600000,massive,True
HD,2025-04-11,350.31,354.47,344.2,353.86,3576408.0,351.3081,80416,1744344000000,massive,True
HD,2025-04-14,357.8,359.02,353.6,357.2,2842090.0,356.8679,69686,1744603200000,massive,True
HD,2025-04-15,356.56,361.4446,353.3201,354.11,2883120.0,355.5452,66064,1744689600000,massive,True
HD,2025-04-16,351.84,353.8,344.32,345.99,2637577.0,347.9409,68134,1744776000000,massive,True
