symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
LMT,2025-02-03,458.8,461.332,453.575,455.42,1476323.0,456.779,49368,1738558800000,massive,True
LMT,2025-02-04,454.0,455.41,451.26,453.68,1234237.0,453.3855,42706,1738645200000,massive,True
LMT,2025-02-05,457.0,457.1,448.77,449.87,1139696.0,450.913,46270,1738731600000,massive,True
LMT,2025-02-06,450.0,452.1685,444.63,448.52,1292115.0,447.4439,46746,1738818000000,massive,True
LMT,2025-02-07,449.9,451.4999,443.78,444.39,1347367.0,446.9027,48809,1738904400000,massive,True
LMT,2025-02-10,444.8,448.94,440.7104,448.22,1427815.0,446.9954,44863,1739163600000,massive,True
LMT,2025-02-11,447.9,451.8,444.995,449.36,906230.0,449.0525,34205,1739250000000,massive,True
LMT,2025-02-12,447.26,449.14,441.05,441.97,1283227.0,444.4216,41504,1739336400000,massive,True
LMT,2025-02-13,442.5,445.295,432.01,434.72,2400020.0,437.8237,65887,1739422800000,massive,True
LMT,2025-02-14,433.55,435.16,419.7,423.19,3252806.0,425.3146,95208,1739509200000,massive,True
LMT,2025-02-18,429.69,432.93,423.5,428.54,2812914.0,428.6206,71228,1739854800000,massive,True
LMT,2025-02-19,431.0,438.0,425.58,432.95,2802115.0,432.8288,68833,1739941200000,massive,True
LMT,2025-02-20,429.58,438.0,429.31,436.29,1357981.0,434.4244,46019,1740027600000,massive,True
LMT,2025-02-21,436.39,443.73,435.67,440.72,1652401.0,440.6948,46557,1740114000000,massive,True
LMT,2025-02-24,442.0,448.28,438.5401,440.27,1946160.0,441.8533,51298,1740373200000,massive,True
LMT,2025-02-25,441.75,451.6671,441.0,448.46,1715745.0,448.1118,45838,1740459600000,massive,True
LMT,2025-02-26,445.83,448.0,439.34,441.5,1467161.0,442.6104,41728,1740546000000,massive,True
LMT,2025-02-27,442.19,447.08,441.45,446.46,1458062.0,445.5091,39193,1740632400000,massive,True
LMT,2025-02-28,447.0,450.8,445.03,450.37,1433568.0,448.6367,37862,1740718800000,massive,True
LMT,2025-03-03,452.87,454.43,448.83,451.94,1579417.0,451.5868,45523,1740978000000,massive,True
LMT,2025-03-04,450.78,463.739,448.49,448.82,2268654.0,454.7193,66534,1741064400000,massive,True
LMT,2025-03-05,451.13,463.48,449.37,460.42,2060073.0,459.4519,49432,1741150800000,massive,True
LMT,2025-03-06,461.32,463.5,453.41,461.5,1395779.0,458.8472,44901,1741237200000,massive,True
LMT,2025-03-07,458.0,477.49,458.0,473.65,2169135.0,472.5109,59904,1741323600000,massive,True
LMT,2025-03-10,475.46,494.2,473.7,479.17,2284410.0,484.1704,72716,1741579200000,massive,True
LMT,2025-03-11,476.71,478.65,466.54,468.88,1457086.0,470.2983,54249,1741665600000,massive,True
LMT,2025-03-12,465.14,466.82,456.0001,461.5,1271506.0,461.0937,48245,1741752000000,massive,True
LMT,2025-03-13,460.05,468.53,459.86,467.93,1159511.0,465.4063,39631,1741838400000,massive,True
LMT,2025-03-14,465.92,469.0,461.96,466.17,972659.0,466.8506,35721,1741924800000,massive,True
LMT,2025-03-17,463.84,472.27,462.83,467.61,1051563.0,468.3,39895,1742184000000,massive,True
LMT,2025-03-18,468.12,471.625,465.39,469.28,881956.0,468.9706,34571,1742270400000,massive,True
LMT,2025-03-19,471.23,475.69,466.7698,470.55,1122652.0,470.3642,35938,1742356800000,massive,True
LMT,2025-03-20,469.16,469.9024,464.21,466.74,922084.0,466.8,31119,1742443200000,massive,True
LMT,2025-03-21,478.09,481.5,432.51,439.7,7141725.0,446.4424,147120,1742529600000,massive,True
LMT,2025-03-24,425.63,435.7699,424.3,434.98,3015364.0,431.5415,83253,1742788800000,massive,True
LMT,2025-03-25,436.77,444.01,433.0,442.07,1600166.0,439.8839,50399,1742875200000,massive,True
LMT,2025-03-26,444.28,451.1999,443.0,445.17,1349944.0,446.5698,43480,1742961600000,massive,True
LMT,2025-03-27,446.03,448.1435,440.22,442.28,1559606.0,443.5272,46262,1743048000000,massive,True
LMT,2025-03-28,442.23,445.76,439.56,441.49,1595839.0,441.693,43593,1743134400000,massive,True
LMT,2025-03-31,441.565,451.06,440.74,446.71,1690178.0,446.982,45380,1743393600000,massive,True
LMT,2025-04-01,448.0,451.25,444.48,448.64,1042421.0,448.2393,34455,1743480000000,massive,True
LMT,2025-04-02,446.22,455.92,445.01,452.87,1270320.0,452.2611,41349,1743566400000,massive,True
LMT,2025-04-03,453.51,461.8765,450.8001,454.78,1814160.0,456.2893,58550,1743652800000,massive,True
LMT,2025-04-04,450.0,454.925,432.13,432.15,2392742.0,440.34,74353,1743739200000,massive,True
LMT,2025-04-07,422.2,438.91,418.88,430.82,1968379.0,428.3717,69440,1743998400000,massive,True
LMT,2025-04-08,448.435,451.39,437.43,443.36,2151484.0,443.9895,62346,1744084800000,massive,True
LMT,2025-04-09,439.245,468.33,435.38,462.24,2291550.0,455.5702,65400,1744171200000,massive,True
LMT,2025-04-10,460.0,469.1,450.38,463.7,1832891.0,461.5027,52741,1744257600000,massive,True
LMT,2025-04-11,464.33,478.175,460.32,474.9,1452289.0,472.5234,44288,1744344000000,massive,True
LMT,2025-04-14,472.8,478.75,467.5941,475.34,1079637.0,475.4283,38512,1744603200000,massive,True
LMT,2025-04-15,474.27,475.34,468.0,469.58,1224466.0,471.2204,38017,1744689600000,massive,True
LMT,2025-04-16,477.33,482.8156,474.53,477.08,1530125.0,478.8235,42684,1744776000000,massive,True
LMT,2025-04-17,461.64,469.6699,448.39,464.08,3052804.0,461.933,66070,1744862400000,massive,True
LMT,2025-04-21,459.26,463.23,452.79,458.33,1532920.0,456.9224,49824,1745208000000,massive,True
LMT,2025-04-22,458.05,470.77,442.35,462.08,2877958.0,457.5695,81872,1745294400000,massive,True
LMT,2025-04-23,467.0,471.39,457.6533,463.55,1352902.0,462.4279,46458,1745380800000,massive,True
LMT,2025-04-24,465.77,467.59,460.16,466.81,1105038.0,465.9973,34461,1745467200000,massive,True
LMT,2025-04-25,469.985,478.46,467.9,477.64,1521687.0,475.0002,47499,1745553600000,massive,True
LMT,2025-04-28,479.31,483.79,474.29,476.29,1159942.0,477.1513,37091,1745812800000,massive,True
LMT,2025-04-29,475.98,479.3,473.3501,475.88,897221.0,475.6751,32355,1745899200000,massive,True
LMT,2025-04-30,478.27,478.61,471.13,477.75,1095139.0,476.1403,32430,1745985600000,massive,True
LMT,2025-05-01,476.0,479.45,473.0001,477.72,986353.0,476.913,37416,1746072000000,massive,True
LMT,2025-05-02,484.75,491.07,467.51,472.8,2090480.0,475.1829,65763,1746158400000,massive,True
LMT,2025-05-05,474.0,474.49,469.34,471.56,1150283.0,471.8342,32191,1746417600000,massive,True
LMT,2025-05-06,469.77,471.16,463.46,468.21,1135393.0,467.3381,36327,1746504000000,massive,True
LMT,2025-05-07,468.4,474.9,467.06,471.32,1204634.0,471.0528,32605,1746590400000,massive,True
LMT,2025-05-08,473.0,479.0,471.73,474.53,1093134.0,475.5688,34091,1746676800000,massive,True
LMT,2025-05-09,475.27,476.625,468.08,473.52,979219.0,472.6107,32105,1746763200000,massive,True
LMT,2025-05-12,473.5,475.685,465.775,473.16,1364863.0,471.7263,49269,1747022400000,massive,True
LMT,2025-05-13,472.81,472.81,459.135,459.83,1859414.0,463.9117,67058,1747108800000,massive,True
LMT,2025-05-14,460.84,461.8,445.06,449.18,2129688.0,452.2405,69113,1747195200000,massive,True
LMT,2025-05-15,458.97,465.41,455.0311,465.14,1758661.0,462.1941,54697,1747281600000,massive,True
LMT,2025-05-16,466.21,468.49,462.66,468.32,1319203.0,466.8675,40690,1747368000000,massive,True
LMT,2025-05-19,469.41,474.4399,467.78,473.06,1200022.0,472.4808,41597,1747627200000,massive,True
LMT,2025-05-20,471.23,477.095,470.89,475.82,1058518.0,474.7354,35514,1747713600000,massive,True
LMT,2025-05-21,480.835,480.93,470.05,470.28,1435110.0,472.0872,43885,1747800000000,massive,True
LMT,2025-05-22,468.79,472.87,467.12,470.45,885138.0,470.1935,35849,1747886400000,massive,True
LMT,2025-05-23,467.96,469.55,465.56,468.88,866694.0,468.4081,28275,1747972800000,massive,True
LMT,2025-05-27,470.8,476.85,468.655,476.85,1548007.0,474.6489,39864,1748318400000,massive,True
LMT,2025-05-28,477.54,478.975,469.0,469.98,956931.0,472.1872,36634,1748404800000,massive,True
LMT,2025-05-29,467.93,474.56,465.32,473.69,851603.0,472.5001,30994,1748491200000,massive,True
LMT,2025-05-30,473.67,482.38,471.06,482.38,2196347.0,480.6679,43164,1748577600000,massive,True
LMT,2025-06-02,478.26,479.73,474.0,478.82,1154508.0,477.2087,41243,1748836800000,massive,True
LMT,2025-06-03,479.0,481.125,476.54,480.17,1032298.0,479.6945,37520,1748923200000,massive,True
LMT,2025-06-04,481.99,486.86,481.685,482.21,1274033.0,483.81,41450,1749009600000,massive,True
LMT,2025-06-05,484.37,485.13,471.75,478.03,1063462.0,477.2791,44648,1749096000000,massive,True
LMT,2025-06-06,477.805,481.96,476.9666,481.69,714571.0,480.2864,31915,1749182400000,massive,True
LMT,2025-06-09,480.28,482.84,476.62,480.83,1064298.0,480.7705,37340,1749441600000,massive,True
LMT,2025-06-10,480.0,481.65,475.64,476.9,1150649.0,477.826,36223,1749528000000,massive,True
LMT,2025-06-11,464.15,464.15,443.409,456.6,3618239.0,452.9394,120667,1749614400000,massive,True
LMT,2025-06-12,457.31,469.27,456.5,469.27,1700596.0,465.6786,58941,1749700800000,massive,True
LMT,2025-06-13,478.97,488.3,473.35,486.45,2729692.0,485.1166,100234,1749787200000,massive,True
LMT,2025-06-16,482.01,482.73,464.5224,467.06,2766611.0,470.2779,106302,1750046400000,massive,True
LMT,2025-06-17,470.76,481.5844,467.5,479.34,2191204.0,477.6819,84834,1750132800000,massive,True
LMT,2025-06-18,478.45,482.36,467.96,468.6,1871162.0,472.4356,75485,1750219200000,massive,True
LMT,2025-06-20,469.0,474.31,461.11,470.56,2419367.0,470.1184,56870,1750392000000,massive,True
LMT,2025-06-23,472.93,482.37,468.53,472.46,2666358.0,474.3632,103109,1750651200000,massive,True
LMT,2025-06-24,467.85,468.7,457.68,460.2,1970232.0,461.1626,80872,1750737600000,massive,True
LMT,2025-06-25,464.21,464.88,456.5,458.39,1265509.0,459.4895,50537,1750824000000,massive,True
LMT,2025-06-26,459.31,464.072,456.635,457.9,1590105.0,459.6591,60576,1750910400000,massive,True
LMT,2025-06-27,455.64,459.18,451.46,458.59,1996362.0,457.183,58728,1750996800000,massive,True
LMT,2025-06-30,459.45,463.82,457.875,463.14,1205616.0,461.8604,46454,1751256000000,massive,True
LMT,2025-07-01,463.0,469.44,460.0,465.94,1242775.0,465.651,50143,1751342400000,massive,True
LMT,2025-07-02,466.0,466.925,458.61,462.55,1127591.0,462.3836,44695,1751428800000,massive,True
LMT,2025-07-03,463.71,465.35,460.97,462.52,707859.0,462.4644,30131,1751515200000,massive,True
LMT,2025-07-07,464.5,470.5499,461.37,469.06,1224120.0,467.7292,51399,1751860800000,massive,True
LMT,2025-07-08,464.2,466.6236,460.65,463.01,1242958.0,463.816,45833,1751947200000,massive,True
LMT,2025-07-09,465.38,465.9855,460.205,463.06,892696.0,462.2982,37768,1752033600000,massive,True
LMT,2025-07-10,458.68,466.48,456.0,464.31,1255293.0,463.2266,43750,1752120000000,massive,True
