symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
MA,2025-02-03,552.64,565.0,551.07,563.95,3195610.0,561.1044,74798,1738558800000,massive,True
MA,2025-02-04,570.88,572.0,557.58,559.11,2639060.0,559.7264,64565,1738645200000,massive,True
MA,2025-02-05,561.35,566.87,559.8,566.29,2404997.0,563.9345,59848,1738731600000,massive,True
MA,2025-02-06,566.13,569.75,564.54,567.16,1738474.0,566.6901,45252,1738818000000,massive,True
MA,2025-02-07,568.06,570.05,561.78,562.75,2008409.0,565.5403,54939,1738904400000,massive,True
MA,2025-02-10,565.25,567.27,561.0,565.49,2357752.0,564.9602,51714,1739163600000,massive,True
MA,2025-02-11,564.99,566.4299,559.2201,564.7,1847808.0,563.6708,48512,1739250000000,massive,True
MA,2025-02-12,562.01,564.75,559.44,564.6,1722312.0,562.9211,46653,1739336400000,massive,True
MA,2025-02-13,565.6,567.39,561.47,566.31,1709499.0,565.8972,50068,1739422800000,massive,True
MA,2025-02-14,566.01,569.24,564.13,564.76,1927797.0,565.9291,46259,1739509200000,massive,True
MA,2025-02-18,564.9,568.63,561.515,568.61,2064246.0,566.19,55189,1739854800000,massive,True
MA,2025-02-19,567.49,570.7,566.645,568.5,2459132.0,568.5751,49697,1739941200000,massive,True
MA,2025-02-20,568.15,568.5,559.04,563.28,2181938.0,562.828,49726,1740027600000,massive,True
MA,2025-02-21,561.43,564.8,556.58,557.51,2256340.0,559.4593,52582,1740114000000,massive,True
MA,2025-02-24,558.43,561.46,556.793,559.0,1752627.0,559.0776,49749,1740373200000,massive,True
MA,2025-02-25,562.44,566.045,552.69,564.03,3609836.0,560.5871,76050,1740459600000,massive,True
MA,2025-02-26,562.59,566.68,559.6025,561.27,2027993.0,562.4761,49595,1740546000000,massive,True
MA,2025-02-27,565.57,574.6999,564.0,564.82,2436724.0,567.9517,64031,1740632400000,massive,True
MA,2025-02-28,567.3,576.43,564.0,576.31,3205380.0,572.4026,63076,1740718800000,massive,True
MA,2025-03-03,577.33,582.23,570.0,574.92,3092583.0,576.4476,72547,1740978000000,massive,True
