symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
MCD,2025-02-03,287.02,290.9,284.19,290.05,3049143.0,289.0754,66737,1738558800000,massive,True
MCD,2025-02-04,289.76,290.64,288.37,289.77,2977102.0,289.639,51899,1738645200000,massive,True
MCD,2025-02-05,290.0,290.27,286.34,288.83,2363168.0,288.9806,51633,1738731600000,massive,True
MCD,2025-02-06,291.59,297.15,290.3201,294.36,3589988.0,294.5374,71854,1738818000000,massive,True
MCD,2025-02-07,294.36,296.85,293.82,294.3,2858016.0,294.8897,61439,1738904400000,massive,True
MCD,2025-02-10,302.27,310.28,301.51,308.42,8051997.0,307.4698,136619,1739163600000,massive,True
MCD,2025-02-11,307.37,311.59,306.17,310.21,4180762.0,309.7564,81754,1739250000000,massive,True
MCD,2025-02-12,309.58,310.09,305.77,307.6,3110228.0,307.6711,62569,1739336400000,massive,True
MCD,2025-02-13,307.5,311.53,305.63,310.02,3097175.0,309.6633,60710,1739422800000,massive,True
MCD,2025-02-14,310.2,311.0,307.78,308.55,2674354.0,308.8753,48659,1739509200000,massive,True
MCD,2025-02-18,307.35,307.35,303.54,304.83,3368090.0,304.8036,63667,1739854800000,massive,True
MCD,2025-02-19,303.32,303.79,299.51,301.94,2990851.0,301.0773,63550,1739941200000,massive,True
MCD,2025-02-20,300.83,303.13,298.15,303.05,3020024.0,301.1531,56184,1740027600000,massive,True
MCD,2025-02-21,303.92,305.96,301.59,304.81,3036654.0,304.6645,54177,1740114000000,massive,True
MCD,2025-02-24,305.0,310.44,304.12,307.57,3397553.0,307.7531,64107,1740373200000,massive,True
MCD,2025-02-25,309.18,311.71,307.991,310.72,3891555.0,310.1938,72858,1740459600000,massive,True
MCD,2025-02-26,311.7,314.55,303.68,304.27,4140908.0,306.4948,70887,1740546000000,massive,True
MCD,2025-02-27,305.19,311.7799,304.22,309.95,3350723.0,309.4838,66376,1740632400000,massive,True
MCD,2025-02-28,307.605,308.52,303.88,308.33,4972872.0,306.9818,85724,1740718800000,massive,True
MCD,2025-03-03,308.11,309.49,302.43,304.29,4371634.0,304.832,72066,1740978000000,massive,True
MCD,2025-03-04,304.59,312.93,304.59,305.77,3954691.0,308.4957,88189,1741064400000,massive,True
MCD,2025-03-05,304.0,308.46,303.37,307.45,2327472.0,306.9059,49507,1741150800000,massive,True
MCD,2025-03-06,307.8,311.35,304.38,310.37,2954920.0,309.3882,63490,1741237200000,massive,True
MCD,2025-03-07,310.82,323.17,310.35,321.29,7607616.0,319.7866,126436,1741323600000,massive,True
MCD,2025-03-10,320.09,326.32,315.74,317.25,4707592.0,320.3907,99729,1741579200000,massive,True
MCD,2025-03-11,317.62,317.7,306.31,306.76,4513135.0,309.1918,86341,1741665600000,massive,True
MCD,2025-03-12,303.69,306.43,296.35,299.4,4546240.0,299.3388,96036,1741752000000,massive,True
MCD,2025-03-13,300.43,303.465,297.27,297.5,4178882.0,299.6513,67232,1741838400000,massive,True
MCD,2025-03-14,296.97,300.67,295.71,299.83,2696979.0,299.0552,58343,1741924800000,massive,True
MCD,2025-03-17,301.3,305.23,300.03,303.97,2758628.0,303.332,58118,1742184000000,massive,True
MCD,2025-03-18,304.97,304.97,302.27,303.6,2435418.0,303.528,56530,1742270400000,massive,True
MCD,2025-03-19,303.99,308.08,303.63,306.92,2812212.0,306.6003,54629,1742356800000,massive,True
MCD,2025-03-20,308.03,309.66,305.51,307.0,2723487.0,307.4648,53824,1742443200000,massive,True
MCD,2025-03-21,306.39,307.0,301.64,305.44,6016138.0,305.2294,55621,1742529600000,massive,True
MCD,2025-03-24,306.3,307.95,304.53,305.67,3443511.0,305.6339,62967,1742788800000,massive,True
