symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
MRVL,2025-02-03,108.74,115.35,108.4,113.56,11389523.0,112.8719,158555,1738558800000,massive,True
MRVL,2025-02-04,107.88,111.575,105.6859,109.69,14220135.0,109.345,182788,1738645200000,massive,True
MRVL,2025-02-05,112.0,116.85,110.76,116.46,13552759.0,114.9986,164976,1738731600000,massive,True
MRVL,2025-02-06,116.46,119.48,115.5,119.24,10687256.0,117.9401,137294,1738818000000,massive,True
MRVL,2025-02-07,121.41,121.8139,110.43,110.62,20991735.0,113.1934,265539,1738904400000,massive,True
MRVL,2025-02-10,111.79,113.5389,111.0,112.8,10214331.0,112.6001,129337,1739163600000,massive,True
MRVL,2025-02-11,110.62,112.46,108.82,109.12,9059640.0,110.1429,138324,1739250000000,massive,True
MRVL,2025-02-12,106.745,108.02,105.08,105.42,11998686.0,106.2393,149788,1739336400000,massive,True
MRVL,2025-02-13,105.35,106.77,103.17,103.5,12686379.0,104.4455,173696,1739422800000,massive,True
MRVL,2025-02-14,102.97,107.0228,100.22,106.51,13539806.0,104.4522,172063,1739509200000,massive,True
MRVL,2025-02-18,106.99,107.91,104.9411,107.29,9737456.0,107.0334,115563,1739854800000,massive,True
MRVL,2025-02-19,110.15,112.5,109.14,111.04,13244243.0,111.0457,140839,1739941200000,massive,True
MRVL,2025-02-20,110.63,110.9999,106.82,108.71,9391898.0,108.5774,110692,1740027600000,massive,True
MRVL,2025-02-21,109.11,109.75,102.36,103.81,11018985.0,104.5444,131833,1740114000000,massive,True
MRVL,2025-02-24,104.22,104.67,97.41,97.91,17235058.0,99.4979,194850,1740373200000,massive,True
MRVL,2025-02-25,97.0,97.04,91.73,93.0,24331420.0,93.3527,269980,1740459600000,massive,True
MRVL,2025-02-26,95.85,96.65,93.96,94.9,13955169.0,95.2799,160475,1740546000000,massive,True
MRVL,2025-02-27,98.0,98.06,87.28,87.65,22770281.0,90.4779,239896,1740632400000,massive,True
MRVL,2025-02-28,87.17,92.08,86.13,91.82,22345355.0,90.6282,240187,1740718800000,massive,True
MRVL,2025-03-03,91.99,92.88,84.87,85.83,20882239.0,88.0031,233981,1740978000000,massive,True
MRVL,2025-03-04,85.32,91.82,83.2404,88.33,21475399.0,87.7672,217778,1741064400000,massive,True
MRVL,2025-03-05,88.76,90.74,85.18,90.14,33773840.0,84.6597,333802,1741150800000,massive,True
MRVL,2025-03-06,74.08,75.77,71.65,72.28,60967027.0,73.7209,541890,1741237200000,massive,True
MRVL,2025-03-07,71.96,72.33,67.28,70.84,38853086.0,69.5903,379726,1741323600000,massive,True
MRVL,2025-03-10,68.35,68.55,63.65,65.67,32136390.0,65.279,288081,1741579200000,massive,True
MRVL,2025-03-11,66.43,69.0,65.3399,67.16,23332999.0,67.2996,215906,1741665600000,massive,True
MRVL,2025-03-12,69.725,71.33,68.6271,69.85,20642643.0,69.7544,214400,1741752000000,massive,True
MRVL,2025-03-13,69.73,71.58,67.65,68.76,14947751.0,69.058,150475,1741838400000,massive,True
MRVL,2025-03-14,70.17,70.76,67.98,68.74,15613084.0,69.0014,156653,1741924800000,massive,True
MRVL,2025-03-17,68.75,70.57,68.5082,70.4,13419361.0,69.9334,144675,1742184000000,massive,True
MRVL,2025-03-18,69.62,69.945,67.76,68.28,11613608.0,68.4995,137287,1742270400000,massive,True
MRVL,2025-03-19,68.53,71.3699,67.99,69.81,12228794.0,69.6099,139890,1742356800000,massive,True
MRVL,2025-03-20,69.165,71.13,68.85,70.49,9083011.0,70.3906,113226,1742443200000,massive,True
MRVL,2025-03-21,68.6,70.79,68.4351,70.39,11942265.0,69.892,122109,1742529600000,massive,True
MRVL,2025-03-24,71.4,72.92,71.058,72.76,12185883.0,72.3929,129620,1742788800000,massive,True
MRVL,2025-03-25,72.5,73.23,71.09,71.67,9443098.0,71.8563,121591,1742875200000,massive,True
MRVL,2025-03-26,71.0,71.2,65.8371,66.76,19812649.0,67.2994,231923,1742961600000,massive,True
MRVL,2025-03-27,66.06,66.63,63.92,64.86,14956136.0,64.9541,188058,1743048000000,massive,True
MRVL,2025-03-28,64.625,64.89,61.25,62.04,18790374.0,62.2079,212172,1743134400000,massive,True
MRVL,2025-03-31,60.375,61.66,59.24,61.57,16032442.0,60.5868,169583,1743393600000,massive,True
MRVL,2025-04-01,61.45,62.715,60.78,62.67,12613337.0,61.941,136595,1743480000000,massive,True
MRVL,2025-04-02,61.5,64.73,61.46,63.23,13138244.0,63.1468,145042,1743566400000,massive,True
MRVL,2025-04-03,58.635,59.2999,55.42,55.64,25213177.0,56.7837,254539,1743652800000,massive,True
MRVL,2025-04-04,52.69,52.86,47.31,49.43,37313397.0,49.8847,387008,1743739200000,massive,True
MRVL,2025-04-07,47.455,55.02,47.085,51.0,30875521.0,50.5373,330508,1743998400000,massive,True
MRVL,2025-04-08,54.24,56.25,48.54,50.03,32326219.0,52.3946,309665,1744084800000,massive,True
MRVL,2025-04-09,50.29,61.3,49.71,60.96,38033701.0,56.8631,346329,1744171200000,massive,True
MRVL,2025-04-10,58.195,58.42,50.31,52.87,34622059.0,53.7079,341172,1744257600000,massive,True
MRVL,2025-04-11,52.59,53.39,51.4415,53.39,17726834.0,52.6472,179988,1744344000000,massive,True
MRVL,2025-04-14,55.845,56.0312,51.3401,52.26,19412994.0,52.891,198966,1744603200000,massive,True
MRVL,2025-04-15,52.505,54.14,52.43,53.32,11297368.0,53.2142,119935,1744689600000,massive,True
MRVL,2025-04-16,50.475,52.44,49.7,51.93,19820154.0,51.4128,171688,1744776000000,massive,True
MRVL,2025-04-17,52.01,52.49,50.79,51.7,12283651.0,51.5807,121605,1744862400000,massive,True
MRVL,2025-04-21,50.3,50.71,48.09,49.38,14037992.0,49.0425,138474,1745208000000,massive,True
MRVL,2025-04-22,50.105,51.465,49.78,50.62,15732394.0,50.5477,135272,1745294400000,massive,True
MRVL,2025-04-23,54.845,55.95,53.3637,53.77,18934594.0,54.489,184455,1745380800000,massive,True
MRVL,2025-04-24,54.8,57.9657,54.46,57.33,21404785.0,57.0381,187083,1745467200000,massive,True
MRVL,2025-04-25,56.98,59.26,56.76,58.92,11929606.0,58.2314,126479,1745553600000,massive,True
MRVL,2025-04-28,58.29,58.87,56.7,58.7,13839981.0,58.043,124805,1745812800000,massive,True
MRVL,2025-04-29,58.21,59.7471,58.01,58.68,14831858.0,58.7926,110398,1745899200000,massive,True
MRVL,2025-04-30,56.28,58.435,55.86,58.37,14316625.0,57.5521,130093,1745985600000,massive,True
MRVL,2025-05-01,60.145,61.78,59.27,60.95,17638207.0,60.9802,170277,1746072000000,massive,True
MRVL,2025-05-02,62.2,63.43,61.97,62.33,15638639.0,62.5767,158779,1746158400000,massive,True
MRVL,2025-05-05,61.69,62.95,61.08,61.98,9098876.0,62.083,94445,1746417600000,massive,True
MRVL,2025-05-06,60.37,61.84,59.97,61.22,9818137.0,60.8055,102593,1746504000000,massive,True
MRVL,2025-05-07,55.16,56.44,53.775,56.31,40378122.0,55.2409,355549,1746590400000,massive,True
MRVL,2025-05-08,58.055,59.03,56.6901,57.63,18868845.0,57.9395,184708,1746676800000,massive,True
MRVL,2025-05-09,59.85,60.87,59.14,59.65,14698340.0,59.8314,144020,1746763200000,massive,True
MRVL,2025-05-12,64.72,65.115,63.18,64.5,20383053.0,64.2382,198790,1747022400000,massive,True
MRVL,2025-05-13,65.045,67.04,64.4,65.48,19733707.0,65.8999,198195,1747108800000,massive,True
MRVL,2025-05-14,66.65,66.9192,64.95,65.9,11472555.0,65.7805,137789,1747195200000,massive,True
MRVL,2025-05-15,65.1,65.96,63.94,65.2,9962475.0,64.9358,120410,1747281600000,massive,True
MRVL,2025-05-16,65.095,65.14,63.5,63.76,18712932.0,64.0767,160769,1747368000000,massive,True
MRVL,2025-05-19,61.1,62.97,60.64,62.56,20323530.0,62.3548,171760,1747627200000,massive,True
MRVL,2025-05-20,60.95,61.42,59.8,61.42,22326182.0,60.7389,198924,1747713600000,massive,True
MRVL,2025-05-21,60.945,62.4458,59.68,60.11,14022832.0,60.869,152955,1747800000000,massive,True
MRVL,2025-05-22,59.41,62.86,59.32,61.85,16653149.0,61.7588,164543,1747886400000,massive,True
MRVL,2025-05-23,60.15,61.3,59.999,60.69,17443157.0,60.6537,174136,1747972800000,massive,True
MRVL,2025-05-27,62.94,65.5199,62.46,63.82,25511688.0,64.1704,233374,1748318400000,massive,True
MRVL,2025-05-28,64.8,65.8999,64.5,64.59,23421175.0,65.1374,229765,1748404800000,massive,True
MRVL,2025-05-29,67.36,67.59,63.33,63.73,39014692.0,64.0372,369666,1748491200000,massive,True
MRVL,2025-05-30,60.795,60.9822,58.61,60.19,48347484.0,59.9056,378242,1748577600000,massive,True
MRVL,2025-06-02,59.745,62.3,59.53,61.47,18270250.0,61.1259,184665,1748836800000,massive,True
MRVL,2025-06-03,62.025,63.51,61.15,62.36,19286571.0,62.4816,173740,1748923200000,massive,True
MRVL,2025-06-04,63.04,67.03,61.86,66.3,26990198.0,65.3281,242729,1749009600000,massive,True
MRVL,2025-06-05,67.27,67.59,64.81,65.16,23516955.0,66.1488,238359,1749096000000,massive,True
MRVL,2025-06-06,66.965,69.78,66.31,68.35,22926335.0,68.5653,234630,1749182400000,massive,True
MRVL,2025-06-09,69.47,71.235,68.96,69.14,19351772.0,69.7426,210680,1749441600000,massive,True
MRVL,2025-06-10,69.925,70.58,68.0607,68.84,14948718.0,68.9271,142136,1749528000000,massive,True
MRVL,2025-06-11,69.39,70.24,67.64,68.24,13885466.0,68.8632,151912,1749614400000,massive,True
MRVL,2025-06-12,67.94,70.06,67.77,69.64,11862640.0,69.2968,144607,1749700800000,massive,True
MRVL,2025-06-13,68.06,68.965,66.97,67.19,14159786.0,67.7341,158113,1749787200000,massive,True
MRVL,2025-06-16,68.515,71.28,68.04,70.42,19706137.0,70.2112,196462,1750046400000,massive,True
MRVL,2025-06-17,70.215,72.75,69.165,69.99,25313412.0,70.576,269822,1750132800000,massive,True
MRVL,2025-06-18,74.53,77.65,73.73,74.95,55359767.0,75.4232,485113,1750219200000,massive,True
MRVL,2025-06-20,77.06,77.32,73.3,73.51,46009131.0,74.1879,322101,1750392000000,massive,True
MRVL,2025-06-23,72.99,73.18,69.18,70.78,26862066.0,71.0827,281285,1750651200000,massive,True
MRVL,2025-06-24,72.385,75.435,71.91,75.21,26999800.0,74.3814,247792,1750737600000,massive,True
MRVL,2025-06-25,76.37,76.4899,74.6,75.93,19426652.0,75.5663,211972,1750824000000,massive,True
MRVL,2025-06-26,79.03,81.12,77.45,79.97,37440580.0,79.7126,358782,1750910400000,massive,True
MRVL,2025-06-27,78.85,79.0,76.41,77.16,27254025.0,77.6818,257070,1750996800000,massive,True
MRVL,2025-06-30,78.4,78.44,76.71,77.4,17072919.0,77.2905,187562,1751256000000,massive,True
MRVL,2025-07-01,76.73,77.78,75.0394,76.24,16702108.0,76.4657,172384,1751342400000,massive,True
MRVL,2025-07-02,76.19,79.09,73.78,74.25,39388471.0,75.8741,371178,1751428800000,massive,True
MRVL,2025-07-03,74.83,75.34,74.125,75.18,10217992.0,74.9719,118923,1751515200000,massive,True
MRVL,2025-07-07,74.43,74.8099,71.45,71.55,22050920.0,72.2873,229608,1751860800000,massive,True
MRVL,2025-07-08,72.33,73.5,71.8,71.95,16356821.0,72.4578,160513,1751947200000,massive,True
MRVL,2025-07-09,72.51,73.49,71.3,72.26,18453463.0,72.2366,165658,1752033600000,massive,True
MRVL,2025-07-10,72.4,73.56,71.39,73.36,11542367.0,72.8813,137876,1752120000000,massive,True
MRVL,2025-07-11,72.565,73.18,72.12,72.71,10136044.0,72.6174,115690,1752206400000,massive,True
MRVL,2025-07-14,72.105,72.95,70.48,72.51,12029432.0,71.9876,139708,1752465600000,massive,True
MRVL,2025-07-15,73.75,74.01,72.1185,72.41,15683138.0,72.7524,153214,1752552000000,massive,True
MRVL,2025-07-16,70.13,71.015,68.0,70.85,26477225.0,69.7709,262603,1752638400000,massive,True
MRVL,2025-07-17,71.1,73.1299,70.1183,72.01,15029989.0,71.9887,151689,1752724800000,massive,True
MRVL,2025-07-18,72.35,75.255,71.15,74.65,16914838.0,73.9105,186417,1752811200000,massive,True
MRVL,2025-07-21,73.485,73.55,72.2,73.06,15595299.0,73.0867,151807,1753070400000,massive,True
MRVL,2025-07-22,72.975,73.15,70.3,71.99,12192278.0,71.9364,134616,1753156800000,massive,True
MRVL,2025-07-23,72.57,73.705,72.24,73.27,11238972.0,73.0891,118461,1753243200000,massive,True
MRVL,2025-07-24,73.665,74.12,72.39,74.04,10641420.0,73.5053,123574,1753329600000,massive,True
MRVL,2025-07-25,74.0,74.55,73.1,74.21,9830297.0,73.9941,109323,1753416000000,massive,True
MRVL,2025-07-28,75.145,76.585,74.66,75.91,13267385.0,75.6714,136854,1753675200000,massive,True
MRVL,2025-07-29,76.4,78.755,75.97,76.34,14717171.0,77.2045,167317,1753761600000,massive,True
MRVL,2025-07-30,83.11,85.27,80.57,81.74,45527621.0,82.8675,414832,1753848000000,massive,True
MRVL,2025-07-31,82.75,83.25,79.62,80.37,26433200.0,81.3317,239184,1753934400000,massive,True
MRVL,2025-08-01,77.065,77.16,73.42,74.45,28877005.0,74.8913,279378,1754020800000,massive,True
MRVL,2025-08-04,75.7,76.89,74.82,76.53,11882866.0,76.3544,131109,1754280000000,massive,True
MRVL,2025-08-05,76.91,78.0,74.96,76.63,11920837.0,76.4628,127128,1754366400000,massive,True
MRVL,2025-08-06,76.08,76.4476,73.98,75.32,14469742.0,74.9652,135000,1754452800000,massive,True
MRVL,2025-08-07,76.5,77.2499,74.19,75.85,14628009.0,75.6497,135437,1754539200000,massive,True
MRVL,2025-08-08,76.2,77.39,75.605,77.34,9971308.0,76.9614,114710,1754625600000,massive,True
MRVL,2025-08-11,77.95,80.01,77.19,77.28,11843620.0,78.4282,135730,1754884800000,massive,True
MRVL,2025-08-12,76.35,77.97,74.84,77.81,15559853.0,77.0175,150862,1754971200000,massive,True
MRVL,2025-08-13,78.4,80.06,78.03,79.32,11740188.0,79.2629,128691,1755057600000,massive,True
MRVL,2025-08-14,78.03,79.6275,77.34,79.04,10127846.0,78.6929,114034,1755144000000,massive,True
MRVL,2025-08-15,79.42,79.42,76.17,76.19,13212863.0,76.8566,121299,1755230400000,massive,True
MRVL,2025-08-18,76.08,77.08,75.29,76.74,10192512.0,76.3215,106607,1755489600000,massive,True
MRVL,2025-08-19,76.4,76.44,71.8,72.07,16963419.0,73.3863,175892,1755576000000,massive,True
MRVL,2025-08-20,71.73,71.825,68.54,71.22,19895163.0,70.243,215966,1755662400000,massive,True
MRVL,2025-08-21,70.46,72.0,70.05,71.21,9854126.0,71.0555,104543,1755748800000,massive,True
MRVL,2025-08-22,71.34,74.73,70.68,73.0,14435874.0,73.3806,142027,1755835200000,massive,True
MRVL,2025-08-25,72.99,73.878,72.26,72.95,10057657.0,73.2238,120472,1756094400000,massive,True
MRVL,2025-08-26,72.985,75.14,72.985,74.26,12302278.0,74.2858,118366,1756180800000,massive,True
MRVL,2025-08-27,74.2,75.0264,73.82,74.79,11373532.0,74.6773,125520,1756267200000,massive,True
MRVL,2025-08-28,75.92,78.085,75.06,77.23,36895303.0,75.0147,360444,1756353600000,massive,True
MRVL,2025-08-29,64.53,65.49,62.6201,62.865,96830805.0,64.0436,796126,1756440000000,massive,True
MRVL,2025-09-02,61.955,64.66,61.814,64.6,36275637.0,63.3107,348653,1756785600000,massive,True
MRVL,2025-09-03,64.045,64.52,61.72,62.31,34297320.0,62.6304,302013,1756872000000,massive,True
MRVL,2025-09-04,62.14,64.53,61.44,64.1,27726378.0,63.478,270260,1756958400000,massive,True
MRVL,2025-09-05,63.98,64.5863,62.47,63.33,25793051.0,63.4673,244616,1757044800000,massive,True
MRVL,2025-09-08,63.615,66.1288,63.07,66.0,24466604.0,65.1403,250340,1757304000000,massive,True
MRVL,2025-09-09,65.855,67.44,65.19,66.84,17225992.0,66.6442,168422,1757390400000,massive,True
MRVL,2025-09-10,67.92,68.52,66.68,67.1,23751448.0,67.2298,213723,1757476800000,massive,True
MRVL,2025-09-11,67.0,68.2,66.36,66.59,13912357.0,67.0551,138681,1757563200000,massive,True
MRVL,2025-09-12,67.55,67.745,66.14,67.35,14868571.0,67.0586,151225,1757649600000,massive,True
MRVL,2025-09-15,67.45,68.11,66.334,67.43,17340784.0,67.2657,171246,1757908800000,massive,True
MRVL,2025-09-16,67.84,69.18,67.36,68.86,15931047.0,68.4179,166504,1757995200000,massive,True
MRVL,2025-09-17,68.86,72.41,68.36,70.98,29593087.0,71.0004,266366,1758081600000,massive,True
MRVL,2025-09-18,72.75,75.0,72.49,74.23,28894826.0,74.2721,258894,1758168000000,massive,True
MRVL,2025-09-19,74.745,75.37,73.315,74.26,31788103.0,74.3205,192852,1758254400000,massive,True
MRVL,2025-09-22,73.35,75.93,73.35,75.53,20037675.0,75.0687,179248,1758513600000,massive,True
MRVL,2025-09-23,75.39,76.35,74.02,74.62,21403681.0,74.9831,193116,1758600000000,massive,True
MRVL,2025-09-24,76.96,81.72,75.07,80.09,50429455.0,79.2468,485473,1758686400000,massive,True
MRVL,2025-09-25,78.115,84.46,76.32,83.81,43286048.0,81.5045,445420,1758772800000,massive,True
MRVL,2025-09-26,82.47,83.87,81.54,83.17,26715056.0,82.8503,254033,1758859200000,massive,True
MRVL,2025-09-29,83.69,85.09,82.315,82.39,20468283.0,83.25,201781,1759118400000,massive,True
MRVL,2025-09-30,81.7,84.4299,81.4,84.07,18751682.0,83.3287,192895,1759204800000,massive,True
MRVL,2025-10-01,82.4,84.11,81.35,83.89,20038427.0,82.6922,222719,1759291200000,massive,True
MRVL,2025-10-02,85.07,87.3104,84.43,86.2,21698656.0,86.1629,239195,1759377600000,massive,True
MRVL,2025-10-03,86.28,87.27,85.0804,86.22,15679214.0,86.2134,183795,1759464000000,massive,True
MRVL,2025-10-06,88.845,90.25,88.25,88.92,20580543.0,89.0632,228034,1759723200000,massive,True
MRVL,2025-10-07,88.97,90.89,86.03,86.97,17609475.0,87.8029,214028,1759809600000,massive,True
MRVL,2025-10-08,88.39,92.67,87.62,92.5,20450986.0,91.1495,217591,1759896000000,massive,True
MRVL,2025-10-09,91.94,92.65,90.52,90.68,14868445.0,91.2334,165791,1759982400000,massive,True
MRVL,2025-10-10,92.97,94.66,85.36,85.61,30545695.0,88.6085,294836,1760068800000,massive,True
MRVL,2025-10-13,89.47,89.87,86.64,89.39,20563473.0,88.7448,197373,1760328000000,massive,True
MRVL,2025-10-14,86.8,88.82,85.3301,86.22,15447586.0,86.9988,188719,1760414400000,massive,True
MRVL,2025-10-15,88.165,89.46,86.5945,88.89,15202200.0,88.351,166269,1760500800000,massive,True
MRVL,2025-10-16,89.71,91.1997,87.03,88.23,12988901.0,88.86,152708,1760587200000,massive,True
MRVL,2025-10-17,86.825,88.95,85.71,87.95,13243996.0,87.5139,149692,1760673600000,massive,True
MRVL,2025-10-20,86.64,88.72,85.45,85.84,16137494.0,86.4449,180792,1760932800000,massive,True
MRVL,2025-10-21,85.69,85.9299,83.1001,84.26,13242086.0,84.109,158424,1761019200000,massive,True
MRVL,2025-10-22,81.23,83.5727,79.06,81.05,19218616.0,80.9944,221145,1761105600000,massive,True
MRVL,2025-10-23,81.0,83.45,80.5301,82.77,10335818.0,82.5591,122163,1761192000000,massive,True
MRVL,2025-10-24,83.875,85.79,82.7,84.13,11661440.0,84.6876,148181,1761278400000,massive,True
MRVL,2025-10-27,86.04,89.3807,85.2001,88.71,16331571.0,88.0921,169452,1761537600000,massive,True
MRVL,2025-10-28,88.955,89.98,87.79,88.46,13029269.0,88.7171,134324,1761624000000,massive,True
MRVL,2025-10-29,90.755,91.51,89.05,90.15,13399855.0,90.2705,165065,1761710400000,massive,True
MRVL,2025-10-30,89.28,90.4576,88.36,88.57,11903751.0,89.2604,144473,1761796800000,massive,True
MRVL,2025-10-31,93.4,97.57,90.96,93.74,29320836.0,93.9985,286623,1761883200000,massive,True
MRVL,2025-11-03,93.385,94.84,90.0101,90.37,14308703.0,91.6822,197245,1762146000000,massive,True
MRVL,2025-11-04,87.76,90.84,87.22,87.59,13629975.0,88.5729,157809,1762232400000,massive,True
MRVL,2025-11-05,88.33,95.39,88.145,92.9,17194502.0,93.149,189961,1762318800000,massive,True
MRVL,2025-11-06,96.21,98.13,92.4201,93.33,28022549.0,95.2605,288247,1762405200000,massive,True
MRVL,2025-11-07,91.678,92.18,85.11,90.92,20898678.0,88.5393,267069,1762491600000,massive,True
MRVL,2025-11-10,93.165,94.47,92.195,93.23,14570677.0,93.4191,163532,1762750800000,massive,True
MRVL,2025-11-11,92.025,92.67,88.52,89.33,13538503.0,89.8322,154263,1762837200000,massive,True
MRVL,2025-11-12,90.56,92.87,88.87,89.33,11846706.0,90.4105,141860,1762923600000,massive,True
MRVL,2025-11-13,87.59,88.45,84.71,87.52,17226593.0,86.9681,196455,1763010000000,massive,True
MRVL,2025-11-14,84.47,89.0,83.3301,86.45,12414051.0,86.8094,159528,1763096400000,massive,True
MRVL,2025-11-17,85.43,86.72,81.86,83.45,16548606.0,83.7746,167840,1763355600000,massive,True
MRVL,2025-11-18,80.47,81.75,78.44,78.68,23426922.0,79.6129,248019,1763442000000,massive,True
MRVL,2025-11-19,79.09,81.89,78.78,81.32,13688200.0,80.8372,149023,1763528400000,massive,True
MRVL,2025-11-20,83.395,84.44,76.08,76.68,23315865.0,79.2716,243572,1763614800000,massive,True
MRVL,2025-11-21,76.76,78.9168,73.62,77.45,16211023.0,76.9243,185420,1763701200000,massive,True
MRVL,2025-11-24,78.49,84.58,78.0,83.79,23945125.0,82.8977,176305,1763960400000,massive,True
MRVL,2025-11-25,82.5,83.81,80.529,83.43,11667946.0,82.6104,137802,1764046800000,massive,True
MRVL,2025-11-26,84.59,89.31,84.03,87.72,15019116.0,87.5856,164957,1764133200000,massive,True
MRVL,2025-11-28,85.895,89.53,84.52,89.4,11235557.0,88.1508,121974,1764306000000,massive,True
MRVL,2025-12-01,89.135,92.74,88.3,91.1,18143365.0,91.2348,189856,1764565200000,massive,True
MRVL,2025-12-02,92.66,93.859,91.46,92.89,38231081.0,94.0589,384384,1764651600000,massive,True
MRVL,2025-12-03,100.035,102.11,95.79,100.2,52833695.0,99.1226,493897,1764738000000,massive,True
MRVL,2025-12-04,99.405,102.77,97.18,98.19,23981763.0,99.1617,234719,1764824400000,massive,True
MRVL,2025-12-05,100.4,102.64,97.31,98.91,22219899.0,99.1569,216924,1764910800000,massive,True
MRVL,2025-12-08,90.45,92.7899,88.92,92.0,40731044.0,91.1528,373885,1765170000000,massive,True
MRVL,2025-12-09,91.59,91.69,88.04,88.9,23037413.0,89.3526,236857,1765256400000,massive,True
MRVL,2025-12-10,91.33,92.85,90.15,92.47,22573553.0,91.6642,225026,1765342800000,massive,True
MRVL,2025-12-11,90.98,91.74,87.51,89.43,16593469.0,89.0794,186774,1765429200000,massive,True
MRVL,2025-12-12,87.63,89.0,83.8899,84.425,21576260.0,85.3653,211824,1765515600000,massive,True
MRVL,2025-12-15,84.87,85.85,83.67,84.26,11953281.0,84.3818,127014,1765774800000,massive,True
MRVL,2025-12-16,83.58,84.4499,82.23,84.07,9483825.0,83.6706,119199,1765861200000,massive,True
MRVL,2025-12-17,86.5,87.18,81.18,81.7,16662726.0,83.3227,169083,1765947600000,massive,True
MRVL,2025-12-18,84.48,85.03,82.65,84.47,12732068.0,84.2582,141850,1766034000000,massive,True
MRVL,2025-12-19,84.05,86.22,83.7,84.09,21722238.0,84.4043,129777,1766120400000,massive,True
MRVL,2025-12-22,86.58,87.35,84.45,84.8,9870960.0,85.1883,105824,1766379600000,massive,True
MRVL,2025-12-23,84.4,88.05,84.29,87.68,12334101.0,87.1172,126237,1766466000000,massive,True
MRVL,2025-12-24,87.245,87.7654,86.1,86.49,5335275.0,86.7066,65495,1766552400000,massive,True
MRVL,2025-12-26,87.1,87.1999,85.97,86.34,5000977.0,86.4102,65715,1766725200000,massive,True
MRVL,2025-12-29,85.33,86.1,84.2,85.76,9677705.0,85.372,105551,1766984400000,massive,True
MRVL,2025-12-30,85.755,88.1,85.72,86.76,9583033.0,86.9126,91529,1767070800000,massive,True
MRVL,2025-12-31,86.8,86.915,84.94,84.98,7234081.0,85.4145,85727,1767157200000,massive,True
MRVL,2026-01-02,86.74,90.08,86.6,89.39,14987538.0,89.1247,157876,1767330000000,massive,True
MRVL,2026-01-05,93.018,93.97,88.12,90.23,21328382.0,91.0666,207523,1767589200000,massive,True
MRVL,2026-01-06,92.7,94.2,86.77,88.23,24322732.0,89.6573,295620,1767675600000,massive,True
MRVL,2026-01-07,86.52,86.54,83.59,84.64,17230818.0,84.5888,217650,1767762000000,massive,True
MRVL,2026-01-08,84.7,84.9176,82.88,83.45,10695909.0,83.4989,140737,1767848400000,massive,True
MRVL,2026-01-09,84.03,84.45,82.19,83.22,13486251.0,83.527,156375,1767934800000,massive,True
MRVL,2026-01-12,82.42,83.75,82.08,82.89,10146627.0,83.0164,119299,1768194000000,massive,True
MRVL,2026-01-13,83.51,84.06,82.75,83.05,9133496.0,83.271,110523,1768280400000,massive,True
MRVL,2026-01-14,82.96,83.0,79.27,81.21,15295737.0,80.488,197385,1768366800000,massive,True
MRVL,2026-01-15,82.72,82.94,80.0,80.38,16593531.0,81.5378,188921,1768453200000,massive,True
MRVL,2026-01-16,81.45,82.4799,80.3,80.46,15011195.0,80.9288,157031,1768539600000,massive,True
MRVL,2026-01-20,79.31,83.48,79.0182,79.8,18688018.0,80.718,210563,1768885200000,massive,True
MRVL,2026-01-21,80.395,84.29,80.395,82.55,17134341.0,82.4712,196662,1768971600000,massive,True
MRVL,2026-01-22,84.47,85.35,82.74,83.1,12997557.0,83.8304,170433,1769058000000,massive,True
MRVL,2026-01-23,81.22,82.02,79.72,80.23,13924585.0,80.5066,161885,1769144400000,massive,True
MRVL,2026-01-26,79.82,83.44,79.555,81.77,12464569.0,81.3838,156795,1769403600000,massive,True
MRVL,2026-01-27,82.87,83.7399,81.3,82.93,11307877.0,83.0034,133825,1769490000000,massive,True
MRVL,2026-01-28,84.58,85.47,82.7,83.62,10310998.0,83.6534,137846,1769576400000,massive,True
MRVL,2026-01-29,81.943,82.44,78.3,81.34,13944872.0,80.4982,172034,1769662800000,massive,True
MRVL,2026-01-30,80.05,81.7,78.18,78.92,12581446.0,79.5688,151681,1769749200000,massive,True
MRVL,2026-02-02,77.605,78.98,76.72,78.66,14512952.0,78.4063,159776,1770008400000,massive,True
MRVL,2026-02-03,78.54,78.97,72.79,75.54,22563947.0,74.7565,266951,1770094800000,massive,True
MRVL,2026-02-04,74.995,76.055,71.78,73.73,17506178.0,73.7729,223906,1770181200000,massive,True
MRVL,2026-02-05,72.88,74.79,70.685,74.21,19201991.0,73.3391,237927,1770267600000,massive,True
MRVL,2026-02-06,76.835,80.75,76.52,80.28,22581787.0,79.4283,251809,1770354000000,massive,True
MRVL,2026-02-09,79.605,83.06,78.67,82.35,13775402.0,81.7058,171013,1770613200000,massive,True
MRVL,2026-02-10,82.685,83.4,81.49,82.01,10561407.0,82.355,129010,1770699600000,massive,True
MRVL,2026-02-11,83.595,83.78,79.205,81.34,11636729.0,81.1043,152894,1770786000000,massive,True
MRVL,2026-02-12,82.19,82.19,77.44,78.23,13643781.0,78.7243,170007,1770872400000,massive,True
