symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
NEE,2025-02-03,70.5,71.79,70.19,71.05,9128746.0,71.0858,92896,1738558800000,massive,True
NEE,2025-02-04,70.25,70.85,69.62,69.9,10574726.0,70.1087,85097,1738645200000,massive,True
NEE,2025-02-05,70.75,70.79,69.14,69.2,9026138.0,69.501,89588,1738731600000,massive,True
NEE,2025-02-06,69.4,69.62,68.26,69.27,9145309.0,69.0546,75952,1738818000000,massive,True
NEE,2025-02-07,69.14,69.391,68.2,68.27,9320375.0,68.5671,93026,1738904400000,massive,True
NEE,2025-02-10,68.34,69.74,68.09,69.7,9121312.0,69.2366,71184,1739163600000,massive,True
NEE,2025-02-11,69.41,70.38,68.71,70.33,7020144.0,69.8903,69032,1739250000000,massive,True
NEE,2025-02-12,69.31,70.19,68.98,69.28,8574359.0,69.4477,76068,1739336400000,massive,True
NEE,2025-02-13,69.42,69.66,68.56,68.6,15172979.0,68.9009,112929,1739422800000,massive,True
NEE,2025-02-14,68.6,69.02,67.88,68.06,14184616.0,68.3237,89133,1739509200000,massive,True
NEE,2025-02-18,68.0,68.55,67.53,68.5,12090912.0,68.1847,97442,1739854800000,massive,True
NEE,2025-02-19,68.54,69.51,68.41,69.06,8843351.0,68.8728,71838,1739941200000,massive,True
NEE,2025-02-20,69.08,70.4399,68.82,70.14,9340542.0,70.0689,80520,1740027600000,massive,True
NEE,2025-02-21,70.14,71.97,70.01,71.58,16742520.0,71.3234,110012,1740114000000,massive,True
NEE,2025-02-24,71.3,71.46,69.92,70.8,11971109.0,70.7215,99817,1740373200000,massive,True
NEE,2025-02-25,71.2,71.705,70.68,71.28,14063436.0,71.2905,114243,1740459600000,massive,True
NEE,2025-02-26,71.19,71.64,70.51,71.01,8010527.0,71.0219,77704,1740546000000,massive,True
NEE,2025-02-27,70.57,70.91,69.31,69.38,9379812.0,69.8944,97407,1740632400000,massive,True
NEE,2025-02-28,69.59,70.22,69.28,70.17,11247967.0,69.8912,84243,1740718800000,massive,True
NEE,2025-03-03,70.05,71.7,70.0,71.62,9492200.0,71.186,100742,1740978000000,massive,True
NEE,2025-03-04,71.96,73.08,70.76,70.85,17869690.0,71.7853,154918,1741064400000,massive,True
NEE,2025-03-05,70.53,70.89,69.39,70.48,7722573.0,70.1991,81296,1741150800000,massive,True
NEE,2025-03-06,70.02,70.11,69.02,70.01,7482322.0,69.6787,80754,1741237200000,massive,True
NEE,2025-03-07,70.18,73.12,70.06,72.83,13469723.0,72.5279,131646,1741323600000,massive,True
NEE,2025-03-10,73.0,76.29,72.48,76.16,25263690.0,75.5421,264887,1741579200000,massive,True
NEE,2025-03-11,75.9,76.26,73.2,74.03,14836832.0,74.0988,163883,1741665600000,massive,True
NEE,2025-03-12,73.0,73.38,71.7822,72.92,12110926.0,72.7353,118944,1741752000000,massive,True
NEE,2025-03-13,73.2,73.55,72.05,72.73,11252998.0,72.6445,94867,1741838400000,massive,True
NEE,2025-03-14,72.78,73.68,72.33,73.55,8699712.0,73.344,93473,1741924800000,massive,True
NEE,2025-03-17,73.43,73.43,71.07,72.11,14953962.0,71.9787,136798,1742184000000,massive,True
NEE,2025-03-18,72.205,72.205,70.27,70.7,15212061.0,70.8187,116450,1742270400000,massive,True
NEE,2025-03-19,71.02,71.18,70.0,70.5,9457390.0,70.5073,93719,1742356800000,massive,True
NEE,2025-03-20,71.04,72.09,70.59,71.15,11816011.0,71.0778,87291,1742443200000,massive,True
NEE,2025-03-21,71.02,71.96,70.17,70.88,15781998.0,70.8641,80140,1742529600000,massive,True
NEE,2025-03-24,70.95,71.79,69.91,70.07,12385395.0,70.3065,98163,1742788800000,massive,True
