symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
NFLX,2025-02-03,97.3,98.7689,96.4375,97.894,37241970.0,97.85,116587,1738558800000,massive,True
NFLX,2025-02-04,98.047,100.8,97.851,99.487,60001370.0,99.3949,159742,1738645200000,massive,True
NFLX,2025-02-05,98.773,101.1825,98.668,101.111,39977330.0,100.1584,119116,1738731600000,massive,True
NFLX,2025-02-06,100.787,101.635,100.261,101.568,31342930.0,101.0142,92695,1738818000000,massive,True
NFLX,2025-02-07,101.7,102.776,100.567,101.393,32128530.0,101.6819,104987,1738904400000,massive,True
NFLX,2025-02-10,102.305,103.285,101.588,102.76,32965660.0,102.6374,104626,1739163600000,massive,True
NFLX,2025-02-11,102.079,102.269,100.295,100.808,33317970.0,101.1094,102655,1739250000000,massive,True
NFLX,2025-02-12,100.549,102.774,99.8347,102.731,33889660.0,101.6984,94253,1739336400000,massive,True
NFLX,2025-02-13,102.6625,104.599,102.51,104.369,34760680.0,103.8218,102071,1739422800000,massive,True
NFLX,2025-02-14,104.495,106.45,104.169,105.86,31454300.0,105.334,97981,1739509200000,massive,True
NFLX,2025-02-18,106.0,106.2,102.3749,103.585,42293390.0,103.7576,132149,1739854800000,massive,True
NFLX,2025-02-19,103.518,104.5,102.451,104.333,26000480.0,103.7626,82878,1739941200000,massive,True
NFLX,2025-02-20,104.2,104.5,101.5594,102.454,31118310.0,102.3892,98737,1740027600000,massive,True
NFLX,2025-02-21,102.942,103.238,99.939,100.315,37387100.0,101.131,109279,1740114000000,massive,True
NFLX,2025-02-24,100.8,101.517,98.448,98.847,44262270.0,99.5006,123618,1740373200000,massive,True
NFLX,2025-02-25,98.94,99.44,95.5,97.724,47383040.0,97.0662,139410,1740459600000,massive,True
NFLX,2025-02-26,97.76,100.089,97.69,99.006,33972050.0,99.144,96635,1740546000000,massive,True
NFLX,2025-02-27,99.5,100.0726,96.1825,96.307,37665660.0,97.5677,103345,1740632400000,massive,True
NFLX,2025-02-28,96.956,98.227,95.817,98.056,47174090.0,97.4804,109020,1740718800000,massive,True
NFLX,2025-03-03,98.3,99.493,96.481,97.37,39074470.0,98.0392,112066,1740978000000,massive,True
NFLX,2025-03-04,97.161,98.6314,94.821,97.258,43928140.0,96.8816,137693,1741064400000,massive,True
NFLX,2025-03-05,97.362,99.56,96.948,99.092,38079350.0,98.5211,105725,1741150800000,massive,True
NFLX,2025-03-06,97.299,97.369,89.9,90.636,78525590.0,92.9803,223902,1741237200000,massive,True
NFLX,2025-03-07,89.764,90.4886,85.807,89.111,77374880.0,88.1602,215098,1741323600000,massive,True
NFLX,2025-03-10,87.507,88.127,85.45,86.668,69953090.0,86.6318,187001,1741579200000,massive,True
NFLX,2025-03-11,86.741,91.068,86.6,89.51,73989340.0,89.4049,180858,1741665600000,massive,True
NFLX,2025-03-12,91.46,92.718,90.1,91.968,68658370.0,91.8167,146964,1741752000000,massive,True
NFLX,2025-03-13,91.3,92.1889,88.751,89.017,50016980.0,90.1219,132479,1741838400000,massive,True
NFLX,2025-03-14,90.146,91.9625,90.1,91.8,52006840.0,91.3691,120138,1741924800000,massive,True
NFLX,2025-03-17,93.995,96.763,93.442,95.002,75431460.0,95.3247,169852,1742184000000,massive,True
NFLX,2025-03-18,94.0,94.825,91.63,92.998,60094000.0,92.9074,131486,1742270400000,massive,True
