symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
T,2025-02-03,23.69,24.43,23.67,24.25,59555827.0,24.2341,153874,1738558800000,massive,True
T,2025-02-04,24.21,24.43,24.0739,24.25,30540243.0,24.2789,104528,1738645200000,massive,True
T,2025-02-05,24.46,24.575,24.28,24.47,29511716.0,24.4191,100118,1738731600000,massive,True
T,2025-02-06,24.5,24.56,24.3,24.45,24522477.0,24.4051,75847,1738818000000,massive,True
T,2025-02-07,24.45,24.73,24.245,24.54,26290096.0,24.5808,98628,1738904400000,massive,True
T,2025-02-10,24.605,24.94,24.6,24.86,31913392.0,24.8122,108418,1739163600000,massive,True
T,2025-02-11,24.9,25.18,24.8,25.15,35150255.0,25.0837,110193,1739250000000,massive,True
T,2025-02-12,25.15,25.38,25.055,25.36,38970312.0,25.2814,122545,1739336400000,massive,True
T,2025-02-13,25.47,25.735,25.36,25.63,35115139.0,25.5745,110717,1739422800000,massive,True
T,2025-02-14,25.67,25.93,25.6,25.87,31687786.0,25.8442,105921,1739509200000,massive,True
T,2025-02-18,25.71,26.18,25.71,26.07,52442460.0,26.0452,130027,1739854800000,massive,True
T,2025-02-19,26.22,26.35,26.07,26.24,30551542.0,26.2242,104681,1739941200000,massive,True
T,2025-02-20,26.2,26.28,25.94,26.15,32753934.0,26.1311,108730,1740027600000,massive,True
T,2025-02-21,26.08,26.72,25.97,26.62,58421456.0,26.4907,157778,1740114000000,massive,True
T,2025-02-24,26.615,27.125,26.6,26.74,54549587.0,26.8487,177214,1740373200000,massive,True
T,2025-02-25,26.87,27.16,26.26,26.65,52497244.0,26.6511,193119,1740459600000,massive,True
T,2025-02-26,26.56,26.83,26.43,26.57,39296511.0,26.6428,145033,1740546000000,massive,True
T,2025-02-27,26.64,26.965,26.57,26.9,32943311.0,26.8574,133506,1740632400000,massive,True
T,2025-02-28,27.0,27.49,27.0,27.41,62510756.0,27.2741,182567,1740718800000,massive,True
T,2025-03-03,27.27,27.86,27.19,27.72,45078608.0,27.6843,172110,1740978000000,massive,True
T,2025-03-04,27.8,27.97,26.12,26.22,89479652.0,26.7877,360349,1741064400000,massive,True
T,2025-03-05,26.065,26.39,25.83,26.18,42010125.0,26.108,159981,1741150800000,massive,True
T,2025-03-06,26.22,26.79,26.055,26.73,32211563.0,26.4594,123630,1741237200000,massive,True
T,2025-03-07,26.67,27.21,26.6,27.12,35341922.0,27.0831,161169,1741323600000,massive,True
T,2025-03-10,27.11,27.455,26.68,27.28,57820809.0,27.2114,208288,1741579200000,massive,True
T,2025-03-11,26.47,26.825,25.59,26.01,74574312.0,26.1034,286703,1741665600000,massive,True
T,2025-03-12,25.63,25.86,24.89,25.72,62383222.0,25.5065,220818,1741752000000,massive,True
T,2025-03-13,25.79,26.46,25.76,26.09,37698480.0,26.1551,144212,1741838400000,massive,True
T,2025-03-14,25.8,26.65,25.75,26.58,37591277.0,26.3786,133348,1741924800000,massive,True
T,2025-03-17,26.57,26.93,26.25,26.83,45569996.0,26.8002,129346,1742184000000,massive,True
T,2025-03-18,26.795,26.98,26.56,26.61,30365554.0,26.6699,107278,1742270400000,massive,True
T,2025-03-19,26.65,26.935,26.4503,26.84,30145684.0,26.7659,93155,1742356800000,massive,True
T,2025-03-20,26.9,26.93,26.68,26.79,27272269.0,26.8134,100319,1742443200000,massive,True
T,2025-03-21,26.81,27.21,26.64,27.02,91268550.0,26.9657,125973,1742529600000,massive,True
T,2025-03-24,26.86,27.22,26.835,26.96,26863268.0,26.976,103929,1742788800000,massive,True
T,2025-03-25,26.97,27.56,26.97,27.31,42339650.0,27.3635,168221,1742875200000,massive,True
T,2025-03-26,27.405,27.84,27.36,27.65,42607090.0,27.6505,117012,1742961600000,massive,True
T,2025-03-27,27.77,28.42,27.64,28.2,43000103.0,28.1891,154391,1743048000000,massive,True
T,2025-03-28,28.35,28.51,28.0619,28.18,35085252.0,28.2059,118207,1743134400000,massive,True
T,2025-03-31,28.26,28.56,28.21,28.28,50156533.0,28.3195,153305,1743393600000,massive,True
T,2025-04-01,28.4,28.61,28.22,28.48,43986376.0,28.4561,163664,1743480000000,massive,True
T,2025-04-02,28.41,28.59,28.01,28.14,41574761.0,28.2635,125976,1743566400000,massive,True
T,2025-04-03,28.54,29.03,28.45,28.6,48912278.0,28.7076,193370,1743652800000,massive,True
T,2025-04-04,28.0,28.43,26.53,26.64,61360982.0,27.1979,276242,1743739200000,massive,True
T,2025-04-07,25.18,27.225,25.1,26.83,74875359.0,26.5899,373043,1743998400000,massive,True
T,2025-04-08,27.02,27.19,26.03,26.39,55717140.0,26.6866,275054,1744084800000,massive,True
T,2025-04-09,26.09,26.855,25.2,26.47,77738749.0,26.0271,342720,1744171200000,massive,True
T,2025-04-10,26.24,26.76,25.9,26.39,51467892.0,26.4037,233613,1744257600000,massive,True
T,2025-04-11,26.58,26.9,26.3647,26.79,32057593.0,26.7322,158209,1744344000000,massive,True
T,2025-04-14,26.63,27.35,26.575,27.2,27042809.0,27.1625,125781,1744603200000,massive,True
T,2025-04-15,27.5,27.63,27.26,27.5,25721334.0,27.5006,122769,1744689600000,massive,True
T,2025-04-16,27.74,27.78,26.94,27.02,27835881.0,27.2603,111986,1744776000000,massive,True
T,2025-04-17,27.18,27.49,27.01,27.15,24870252.0,27.253,95990,1744862400000,massive,True
T,2025-04-21,27.16,27.28,26.16,26.33,46225990.0,26.4629,160591,1745208000000,massive,True
T,2025-04-22,26.0,27.36,25.98,26.96,50906760.0,26.8557,195643,1745294400000,massive,True
T,2025-04-23,26.535,27.32,26.12,27.19,43351001.0,27.0827,193182,1745380800000,massive,True
T,2025-04-24,27.17,27.83,27.1402,27.53,43640821.0,27.5957,148230,1745467200000,massive,True
T,2025-04-25,27.46,27.52,26.625,26.81,37050292.0,26.8919,151838,1745553600000,massive,True
T,2025-04-28,26.9,27.265,26.795,27.26,24156015.0,27.1293,100944,1745812800000,massive,True
T,2025-04-29,27.095,27.44,27.05,27.3,25015767.0,27.3119,99524,1745899200000,massive,True
T,2025-04-30,27.6,27.89,27.32,27.7,38877132.0,27.6192,119105,1745985600000,massive,True
T,2025-05-01,27.5,27.78,27.27,27.64,37367601.0,27.6348,138076,1746072000000,massive,True
T,2025-05-02,27.6,27.78,27.36,27.61,22928350.0,27.5893,112077,1746158400000,massive,True
T,2025-05-05,27.56,27.69,27.16,27.51,21335346.0,27.4546,78958,1746417600000,massive,True
T,2025-05-06,27.54,28.235,27.5,28.16,32491681.0,28.0185,108886,1746504000000,massive,True
T,2025-05-07,28.04,28.395,27.95,28.1,28358125.0,28.1952,96390,1746590400000,massive,True
T,2025-05-08,28.0,28.04,27.45,27.47,30141462.0,27.6678,126705,1746676800000,massive,True
T,2025-05-09,27.56,28.02,27.4248,27.84,29206946.0,27.8344,96312,1746763200000,massive,True
T,2025-05-12,27.09,27.3,26.67,27.01,57106063.0,26.9585,201280,1747022400000,massive,True
T,2025-05-13,27.05,27.13,26.31,26.45,58767134.0,26.5071,212558,1747108800000,massive,True
T,2025-05-14,26.43,26.59,26.3,26.44,31519450.0,26.4361,114987,1747195200000,massive,True
T,2025-05-15,26.6,27.4,26.595,27.33,35278664.0,27.2094,112709,1747281600000,massive,True
T,2025-05-16,27.37,27.7686,27.12,27.72,31105982.0,27.5904,102525,1747368000000,massive,True
T,2025-05-19,27.76,28.04,27.71,28.02,30996583.0,27.9427,98339,1747627200000,massive,True
T,2025-05-20,28.05,28.255,27.75,27.78,24966613.0,27.8803,98390,1747713600000,massive,True
T,2025-05-21,27.68,27.765,27.41,27.47,29684175.0,27.5425,94273,1747800000000,massive,True
T,2025-05-22,27.58,27.71,27.21,27.23,25901603.0,27.3715,87206,1747886400000,massive,True
