symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
TQQQ,2025-02-03,39.265,40.995,38.67,40.36,153256986.0,39.9838,592161,1738558800000,massive,True
TQQQ,2025-02-04,40.455,41.969,40.365,41.825,84634532.0,41.4058,317185,1738645200000,massive,True
TQQQ,2025-02-05,41.175,42.41,40.88,42.37,79694868.0,41.6211,295618,1738731600000,massive,True
TQQQ,2025-02-06,42.48,43.065,42.0974,43.005,76431016.0,42.5764,272567,1738818000000,massive,True
TQQQ,2025-02-07,43.13,43.595,41.1757,41.365,110870478.0,42.075,444836,1738904400000,massive,True
TQQQ,2025-02-10,42.365,43.1,42.25,42.82,65594118.0,42.7185,244844,1739163600000,massive,True
TQQQ,2025-02-11,42.035,42.995,42.005,42.515,62602804.0,42.5191,231794,1739250000000,massive,True
TQQQ,2025-02-12,41.14,42.8025,41.05,42.6,96986608.0,42.055,370717,1739336400000,massive,True
TQQQ,2025-02-13,42.99,44.4775,42.79,44.395,92920162.0,43.6201,358476,1739422800000,massive,True
TQQQ,2025-02-14,44.405,45.09,44.3,44.915,76057482.0,44.6458,275750,1739509200000,massive,True
TQQQ,2025-02-18,45.315,45.375,44.375,45.195,68825158.0,44.9141,259898,1739854800000,massive,True
TQQQ,2025-02-19,45.0,45.56,44.46,45.2,68515786.0,45.0632,240042,1739941200000,massive,True
TQQQ,2025-02-20,45.025,45.115,43.445,44.65,80266060.0,44.2394,283377,1740027600000,massive,True
TQQQ,2025-02-21,44.885,44.895,41.735,41.855,118627218.0,43.0982,449840,1740114000000,massive,True
TQQQ,2025-02-24,42.25,42.525,40.25,40.35,106467450.0,41.2038,428857,1740373200000,massive,True
TQQQ,2025-02-25,40.165,40.19,37.89,38.81,151194462.0,38.9356,652466,1740459600000,massive,True
TQQQ,2025-02-26,39.29,40.225,38.345,39.06,126351466.0,39.3754,474952,1740546000000,massive,True
TQQQ,2025-02-27,39.86,40.085,35.74,35.82,206751046.0,37.8327,819397,1740632400000,massive,True
TQQQ,2025-02-28,35.73,37.585,35.0375,37.46,186357948.0,36.129,678668,1740718800000,massive,True
TQQQ,2025-03-03,38.185,38.525,34.2175,35.04,183891686.0,36.5172,726273,1740978000000,massive,True
TQQQ,2025-03-04,34.38,36.385,33.005,34.655,261673884.0,34.5004,978290,1741064400000,massive,True
TQQQ,2025-03-05,34.775,36.3425,33.745,36.005,201266592.0,35.0758,694786,1741150800000,massive,True
TQQQ,2025-03-06,34.195,35.2481,32.5858,33.02,245645406.0,33.8058,874496,1741237200000,massive,True
TQQQ,2025-03-07,32.78,34.005,31.445,33.705,270354664.0,32.862,905641,1741323600000,massive,True
TQQQ,2025-03-10,32.0,32.095,28.94,29.905,312271582.0,30.4801,1062917,1741579200000,massive,True
TQQQ,2025-03-11,29.7,30.925,28.6854,29.555,278978590.0,29.8498,851923,1741665600000,massive,True
TQQQ,2025-03-12,30.97,31.33,29.58,30.565,283837152.0,30.6248,798666,1741752000000,massive,True
TQQQ,2025-03-13,30.4,30.425,28.52,28.895,242454572.0,29.4263,733429,1741838400000,massive,True
TQQQ,2025-03-14,29.855,31.115,29.75,30.945,198217088.0,30.4676,551431,1741924800000,massive,True
TQQQ,2025-03-17,30.94,32.14,30.575,31.545,180300748.0,31.3521,499516,1742184000000,massive,True
TQQQ,2025-03-18,30.885,30.89,29.505,29.955,175652450.0,30.0442,559581,1742270400000,massive,True
TQQQ,2025-03-19,30.34,31.955,29.97,31.12,185186316.0,30.8736,517844,1742356800000,massive,True
TQQQ,2025-03-20,30.33,31.815,30.185,30.8,176818126.0,31.0067,499783,1742443200000,massive,True
TQQQ,2025-03-21,29.765,31.2075,29.5364,31.09,160981968.0,30.3441,481281,1742529600000,massive,True
TQQQ,2025-03-24,32.53,33.265,32.4075,33.065,126822994.0,32.8595,366344,1742788800000,massive,True
TQQQ,2025-03-25,33.24,33.685,33.045,33.655,111139390.0,33.4036,294303,1742875200000,massive,True
TQQQ,2025-03-26,33.32,33.495,31.38,31.69,159135374.0,32.2097,444368,1742961600000,massive,True
TQQQ,2025-03-27,31.3,32.115,30.875,31.15,144736084.0,31.4937,402051,1743048000000,massive,True
TQQQ,2025-03-28,30.77,30.905,28.485,28.67,207264272.0,29.3455,590346,1743134400000,massive,True
