symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
UBER,2025-02-03,65.3,68.85,65.1781,67.29,25290048.0,67.5849,206439,1738558800000,massive,True
UBER,2025-02-04,67.69,70.19,67.69,69.75,33786239.0,69.5761,276168,1738645200000,massive,True
UBER,2025-02-05,66.5,66.75,63.5,64.48,78975878.0,64.8419,598340,1738731600000,massive,True
UBER,2025-02-06,65.67,70.05,65.54,69.99,45940242.0,68.3898,316486,1738818000000,massive,True
UBER,2025-02-07,70.36,76.775,70.13,74.6,81813184.0,74.6588,638263,1738904400000,massive,True
UBER,2025-02-10,77.1,78.99,76.8,78.63,42551673.0,78.0409,338108,1739163600000,massive,True
UBER,2025-02-11,78.91,79.2,76.6,76.95,27329560.0,77.5751,233286,1739250000000,massive,True
UBER,2025-02-12,74.97,80.1,74.15,79.35,33142366.0,78.3671,259327,1739336400000,massive,True
UBER,2025-02-13,79.12,80.53,78.51,80.29,21754709.0,79.6781,184024,1739422800000,massive,True
UBER,2025-02-14,80.35,80.35,78.87,79.42,15405688.0,79.4594,136519,1739509200000,massive,True
UBER,2025-02-18,79.85,81.51,79.75,81.49,18943227.0,81.026,173528,1739854800000,massive,True
UBER,2025-02-19,80.79,81.9,79.26,81.16,14973426.0,80.5692,155275,1739941200000,massive,True
UBER,2025-02-20,81.23,81.84,80.06,81.26,14770273.0,80.9503,145096,1740027600000,massive,True
UBER,2025-02-21,81.26,82.1,78.36,78.89,21774329.0,79.6522,196858,1740114000000,massive,True
UBER,2025-02-24,78.65,78.88,74.85,76.42,24368386.0,76.4318,240853,1740373200000,massive,True
UBER,2025-02-25,76.36,76.37,73.53,74.95,19559249.0,74.592,199205,1740459600000,massive,True
UBER,2025-02-26,75.33,76.49,75.3101,75.87,10338710.0,75.9409,116709,1740546000000,massive,True
UBER,2025-02-27,75.95,77.69,73.71,74.21,22535938.0,75.6336,210955,1740632400000,massive,True
UBER,2025-02-28,74.28,76.11,73.58,76.01,17752015.0,75.3485,155954,1740718800000,massive,True
UBER,2025-03-03,77.06,77.74,73.68,74.44,16999495.0,75.4387,177534,1740978000000,massive,True
UBER,2025-03-04,72.93,76.68,71.6,75.26,24241234.0,74.3709,245552,1741064400000,massive,True
UBER,2025-03-05,75.65,76.94,74.93,76.48,13122294.0,76.0125,135096,1741150800000,massive,True
UBER,2025-03-06,75.315,77.22,74.7254,74.96,16504911.0,75.6847,169408,1741237200000,massive,True
UBER,2025-03-07,73.99,76.6996,73.78,76.27,18610386.0,75.5458,181575,1741323600000,massive,True
UBER,2025-03-10,74.94,75.49,71.97,73.06,22120094.0,73.1841,240980,1741579200000,massive,True
UBER,2025-03-11,71.44,74.25,69.57,70.65,26668190.0,71.2674,268310,1741665600000,massive,True
UBER,2025-03-12,72.31,72.42,69.55,71.2,17315032.0,70.8396,186915,1741752000000,massive,True
UBER,2025-03-13,71.68,72.0,69.36,69.51,15272232.0,70.4492,159080,1741838400000,massive,True
UBER,2025-03-14,70.55,71.7899,70.33,71.55,13537279.0,71.3485,147707,1741924800000,massive,True
UBER,2025-03-17,72.02,73.81,71.775,72.73,20577768.0,73.2237,206813,1742184000000,massive,True
UBER,2025-03-18,72.2,72.675,70.4802,71.55,16137507.0,71.5207,166350,1742270400000,massive,True
UBER,2025-03-19,71.92,73.785,70.73,73.02,15042059.0,72.6099,137018,1742356800000,massive,True
UBER,2025-03-20,72.56,75.54,72.46,74.35,17851353.0,74.5577,166757,1742443200000,massive,True
UBER,2025-03-21,73.72,76.0,72.77,75.84,26551402.0,75.332,156727,1742529600000,massive,True
UBER,2025-03-24,76.97,77.5842,75.44,76.51,18126303.0,76.3343,172335,1742788800000,massive,True
UBER,2025-03-25,76.6,76.71,75.05,75.61,16065879.0,75.6565,174608,1742875200000,massive,True
UBER,2025-03-26,75.55,75.64,73.225,74.18,11845809.0,74.0603,138029,1742961600000,massive,True
UBER,2025-03-27,73.895,75.62,73.53,74.86,11866807.0,74.8654,126455,1743048000000,massive,True
UBER,2025-03-28,74.5,74.92,72.381,72.75,11277874.0,73.1089,134737,1743134400000,massive,True
UBER,2025-03-31,71.4,73.3,70.5,72.86,16033066.0,72.2463,165245,1743393600000,massive,True
UBER,2025-04-01,72.6,73.07,70.83,72.99,16889182.0,72.1701,168951,1743480000000,massive,True
