symbol,trade_date,open,high,low,close,volume,vwap,transactions,timestamp_ms,data_source,adjusted
UNH,2025-02-03,542.0,553.91,541.07,548.18,4083572.0,549.1602,99665,1738558800000,massive,True
UNH,2025-02-04,545.2,548.8075,541.51,545.45,2869935.0,546.0278,61133,1738645200000,massive,True
UNH,2025-02-05,530.73,540.7,521.91,539.81,4621558.0,534.9306,103762,1738731600000,massive,True
UNH,2025-02-06,537.89,539.1,525.27,530.04,3926829.0,529.8436,82780,1738818000000,massive,True
UNH,2025-02-07,529.2,532.3918,525.39,527.03,3349299.0,528.8358,74415,1738904400000,massive,True
UNH,2025-02-10,527.67,534.16,523.38,533.37,3143143.0,530.1172,69260,1739163600000,massive,True
UNH,2025-02-11,535.0,547.54,528.265,533.92,2632107.0,533.9718,68867,1739250000000,massive,True
UNH,2025-02-12,539.85,542.35,525.51,527.4,3859241.0,531.6685,90429,1739336400000,massive,True
UNH,2025-02-13,530.9,534.33,527.1,531.18,2835051.0,530.4409,65544,1739422800000,massive,True
UNH,2025-02-14,529.0,533.2,522.91,523.51,3705326.0,525.5586,64653,1739509200000,massive,True
UNH,2025-02-18,510.94,516.0,497.0,500.73,8759280.0,503.2684,169083,1739854800000,massive,True
UNH,2025-02-19,501.33,511.855,498.15,511.04,4380314.0,504.9031,96796,1739941200000,massive,True
UNH,2025-02-20,505.19,508.4343,500.235,502.42,4144301.0,503.1307,90905,1740027600000,massive,True
UNH,2025-02-21,439.55,469.7,438.5,466.42,19864874.0,458.9081,396905,1740114000000,massive,True
UNH,2025-02-24,466.675,468.0,457.0,461.52,6919337.0,461.9976,158011,1740373200000,massive,True
UNH,2025-02-25,460.77,470.76,450.07,470.38,9100970.0,461.8356,174660,1740459600000,massive,True
UNH,2025-02-26,464.65,473.05,458.2,463.59,5108381.0,464.3818,104215,1740546000000,massive,True
UNH,2025-02-27,466.17,475.3999,465.02,468.56,4216771.0,470.3394,93529,1740632400000,massive,True
UNH,2025-02-28,467.0,476.36,464.48,474.96,6146326.0,472.0085,88286,1740718800000,massive,True
UNH,2025-03-03,474.37,477.2749,465.2075,467.05,5700194.0,469.8691,86943,1740978000000,massive,True
UNH,2025-03-04,469.75,479.21,466.46,474.61,5864135.0,474.666,120284,1741064400000,massive,True
UNH,2025-03-05,471.07,479.075,471.01,475.98,3637102.0,475.9598,70247,1741150800000,massive,True
UNH,2025-03-06,476.0,488.12,472.0,487.72,4963988.0,482.5745,97567,1741237200000,massive,True
UNH,2025-03-07,483.83,499.92,483.365,493.48,5434096.0,494.2855,108262,1741323600000,massive,True
UNH,2025-03-10,492.28,497.85,477.71,480.22,5108930.0,485.0256,107168,1741579200000,massive,True
UNH,2025-03-11,482.5,486.765,477.14,486.04,4101015.0,483.613,91682,1741665600000,massive,True
UNH,2025-03-12,483.14,487.595,478.82,481.11,3681016.0,483.0875,83059,1741752000000,massive,True
UNH,2025-03-13,479.45,484.06,475.0,481.52,2877044.0,480.8307,65289,1741838400000,massive,True
UNH,2025-03-14,481.0,489.45,478.24,488.65,3915911.0,486.8672,83248,1741924800000,massive,True
UNH,2025-03-17,487.51,500.6087,485.945,499.02,5152316.0,497.6979,89790,1742184000000,massive,True
UNH,2025-03-18,502.24,505.9699,497.82,503.8,3617629.0,503.3666,73796,1742270400000,massive,True
UNH,2025-03-19,505.04,506.35,500.06,503.2,3317606.0,503.066,66083,1742356800000,massive,True
UNH,2025-03-20,505.25,514.39,503.51,511.3,4965390.0,510.1995,90014,1742443200000,massive,True
UNH,2025-03-21,511.68,519.0,505.09,516.85,10244942.0,515.1464,113716,1742529600000,massive,True
UNH,2025-03-24,515.08,518.245,511.12,516.5,3841080.0,515.7032,87253,1742788800000,massive,True
UNH,2025-03-25,518.28,519.0,511.53,513.43,3015143.0,514.3118,65392,1742875200000,massive,True
