time,open,high,low,close,Bullish Research Event,Bearish Research Event,RC_DateKey,RC_Direction,RC_ProductionSignal,RC_C1_Open,RC_C1_High,RC_C1_Low,RC_C1_Close,RC_C1_VWAP,RC_C1_VWAP_State,RC_C1_RelOpeningVol,RC_C2_Open,RC_C2_High,RC_C2_Low,RC_C2_Close,RC_C2_VWAP,RC_C2_RelOpeningVol,RC_Combined_RelVol,RC_ATR_Selected,RC_DeltaPct,RC_PMH,RC_PML,RC_AH_High,RC_AH_Low,RC_PDH,RC_PDL,RC_StructureBreakCode,RC_MFE_1m,RC_MAE_1m,RC_MFE_3m,RC_MAE_3m,RC_MFE_5m,RC_MAE_5m,RC_MFE_10m,RC_MAE_10m,RC_Final_MFE,RC_Final_MAE,RC_Outcome_050v050,RC_Outcome_100v050,RC_MinutesTo_025,RC_MinutesTo_050,RC_MinutesTo_100,RC_MinutesTo_Adverse050,RC_EventTimestamp,RC_C1_Volume,RC_C1_TR,RC_C2_Volume,RC_C2_TR,RC_ATR_PreviousDaily,RC_ATR_PreviousDay1M,RC_ATR_Previous5Days1M,RC_ATR_FirstTwoCandles,RC_VWAP_Distance,RC_PM_Volume,RC_AH_Volume,RC_PreviousRTHClose,RC_MFE_2m,RC_MAE_2m,Volume,Volume MA,HTF_Stock_D1_Open,HTF_Stock_D1_High,HTF_Stock_D1_Low,HTF_Stock_D1_Close,HTF_Stock_D2_Open,HTF_Stock_D2_High,HTF_Stock_D2_Low,HTF_Stock_D2_Close,HTF_Stock_W1_Open,HTF_Stock_W1_High,HTF_Stock_W1_Low,HTF_Stock_W1_Close,HTF_Stock_W2_Open,HTF_Stock_W2_High,HTF_Stock_W2_Low,HTF_Stock_W2_Close,HTF_SPX_D1_Open,HTF_SPX_D1_High,HTF_SPX_D1_Low,HTF_SPX_D1_Close,HTF_SPX_D2_Open,HTF_SPX_D2_High,HTF_SPX_D2_Low,HTF_SPX_D2_Close,HTF_SPX_W1_Open,HTF_SPX_W1_High,HTF_SPX_W1_Low,HTF_SPX_W1_Close,HTF_SPX_W2_Open,HTF_SPX_W2_High,HTF_SPX_W2_Low,HTF_SPX_W2_Close,HTF_NASDAQ_D1_Open,HTF_NASDAQ_D1_High,HTF_NASDAQ_D1_Low,HTF_NASDAQ_D1_Close,HTF_NASDAQ_D2_Open,HTF_NASDAQ_D2_High,HTF_NASDAQ_D2_Low,HTF_NASDAQ_D2_Close,HTF_NASDAQ_W1_Open,HTF_NASDAQ_W1_High,HTF_NASDAQ_W1_Low,HTF_NASDAQ_W1_Close,HTF_NASDAQ_W2_Open,HTF_NASDAQ_W2_High,HTF_NASDAQ_W2_Low,HTF_NASDAQ_W2_Close,HTF_DJIA_D1_Open,HTF_DJIA_D1_High,HTF_DJIA_D1_Low,HTF_DJIA_D1_Close,HTF_DJIA_D2_Open,HTF_DJIA_D2_High,HTF_DJIA_D2_Low,HTF_DJIA_D2_Close,HTF_DJIA_W1_Open,HTF_DJIA_W1_High,HTF_DJIA_W1_Low,HTF_DJIA_W1_Close,HTF_DJIA_W2_Open,HTF_DJIA_W2_High,HTF_DJIA_W2_Low,HTF_DJIA_W2_Close
1779780000,4421.4,4423.9,4420,4421.9,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,7166,20291.05,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779780300,4423,4423,4419.9,4422.7,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,4409,20079.7,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779780600,4424.3,4424.3,4418.1,4419.7,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,16260,20211.7,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779780900,4419.6,4420.7,4418,4419.3,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,4153,20197.9,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779781200,4419.2,4419.2,4411.4,4413,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,13117,20717.4,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779781500,4413.7,4413.7,4409,4412.5,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,7540,20964.2,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779781800,4413.3,4424,4413.3,4423.2,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,6224,21160.85,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779782100,4423.2,4425,4419.1,4420.7,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,3636,21179.35,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779782400,4420.7,4422.1,4418,4420.5,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,3134,21106.15,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
1779782700,4420.5,4424.9,4417.3,4422,0,0,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,127.01539405713405,,,,,,,4425.9,,,6987,21156.95,4391.2,4437.9,4385.4,4425.9,4370.4,4429.7,4345.5,4368.4,4359.4,4429.7,4175,4368.4,4779.2,4808.6,4370,4386.2,7410.78,7465.96,7389.48,7445.73,7369.19,7435.69,7357.46,7432.96,7385.31,7517.12,7338.54,7408.49,7228.38,7401.5,7174.12,7398.92,26143.6159,26403.5748,26039.3738,26293.0975,25991.5086,26273.7555,25928.3297,26270.3593,26135.6327,26707.1412,25739.2245,26225.1445,25112.1801,26248.6167,24913.1212,26247.0763,49983.8,50381.41,49697.47,50285.67,49348.83,50067.22,49235.74,50009.36,49620.38,50200.54,49307.66,49526.18,49416.66,50130.2,48913.06,49609.17
