time,open,high,low,close,EXP_event_flag,EXP_event_id,EXP_direction,EXP_signal_time,EXP_signal_price,EXP_orb_high,EXP_orb_low,EXP_host_seconds,EXP_ltf_bars_in_host,DIAG_first_1m_time_seen,DIAG_last_1m_time_seen,DIAG_1m_bars_processed,DIAG_1m_intrabar_count,1M breakout found,Volume,Volume MA
1787594760,209.695,209.8,209.695,209.79,,,,,,,,,,1784554200000,1787594760000,10027,1,0,9833,8788.8
1787594820,209.8,209.86,209.785,209.815,,,,,,,,,,1784554200000,1787594820000,10028,1,0,15467,9231.05
1787594880,209.82,209.85,209.775,209.83,,,,,,,,,,1784554200000,1787594880000,10029,1,0,5895,9284.3
1787594940,209.84,209.895,209.8,209.86,,,,,,,,,,1784554200000,1787594940000,10030,1,0,11779,9580.75
1787595000,209.86,209.87,209.79,209.79,,,,,,,,,,1784554200000,1787595000000,10031,1,0,10753,9563.8
1787595060,209.8,209.82,209.75,209.795,,,,,,,,,,1784554200000,1787595060000,10032,1,0,5781,9514.05
1787595120,209.79,209.805,209.67,209.67,,,,,,,,,,1784554200000,1787595120000,10033,1,0,16480,10006.35
1787595180,209.68,209.75,209.68,209.74,,,,,,,,,,1784554200000,1787595180000,10034,1,0,5373,9839.3
1787595240,209.74,209.835,209.74,209.825,,,,,,,,,,1784554200000,1787595240000,10035,1,0,6079,10025.25
1787595300,209.825,210,209.825,209.9,,,,,,,,,,1784554200000,1787595300000,10036,1,0,22782,10778.5
1787595360,209.895,210,209.87,209.89,,,,,,,,,,1784554200000,1787595360000,10037,1,0,13215,10286.75
1787595420,209.89,209.89,209.74,209.8,,,,,,,,,,1784554200000,1787595420000,10038,1,0,8247,10177.15
1787595480,209.805,209.825,209.705,209.725,,,,,,,,,,1784554200000,1787595480000,10039,1,0,6543,10330.85
1787595540,209.72,209.81,209.695,209.775,,,,,,,,,,1784554200000,1787595540000,10040,1,0,12688,10878.35
1787595600,209.78,209.96,209.77,209.95,,,,,,,,,,1784554200000,1787595600000,10041,1,0,15175,10710.65
1787595660,209.965,210.14,209.965,210.14,,,,,,,,,,1784554200000,1787595660000,10042,1,0,23405,11579.5
1787595720,210.14,210.28,210.12,210.16,,,,,,,,,,1784554200000,1787595720000,10043,1,0,21494,12198.85
1787595780,210.16,210.23,210.155,210.225,,,,,,,,,,1784554200000,1787595780000,10044,1,0,8612,12107.45
1787595840,210.22,210.26,210.18,210.195,,,,,,,,,,1784554200000,1787595840000,10045,1,0,10999,11942.3
1787595900,210.21,210.26,210.17,210.215,,,,,,,,,,1784554200000,1787595900000,10046,1,0,10506,12055.3
1787595960,210.215,210.31,210.21,210.28,,,,,,,,,,1784554200000,1787595960000,10047,1,0,19601,12543.7
1787596020,210.29,210.34,210.195,210.205,,,,,,,,,,1784554200000,1787596020000,10048,1,0,22365,12888.6
1787596080,210.205,210.32,210.19,210.32,,,,,,,,,,1784554200000,1787596080000,10049,1,0,12780,13232.85
1787596140,210.31,210.425,210.31,210.4,,,,,,,,,,1784554200000,1787596140000,10050,1,0,26518,13969.8
1787596200,210.4,210.48,210.34,210.4,,,,,,,,,,1784554200000,1787596200000,10051,1,0,55847,16224.5
1787596260,210.39,210.39,210.22,210.24,,,,,,,,,,1784554200000,1787596260000,10052,1,0,10547,16462.8
1787596320,210.235,210.31,210.235,210.28,,,,,,,,,,1784554200000,1787596320000,10053,1,0,12373,16257.45
1787596380,210.28,210.34,210.27,210.32,,,,,,,,,,1784554200000,1787596380000,10054,1,0,6956,16336.6
1787596440,210.31,210.34,210.21,210.27,,,,,,,,,,1784554200000,1787596440000,10055,1,0,27214,17393.35
1787596500,210.28,210.29,210.22,210.22,,,,,,,,,,1784554200000,1787596500000,10056,1,0,9501,16729.3
1787596560,210.21,210.21,210,210.05,,,,,,,,,,1784554200000,1787596560000,10057,1,0,23112,17224.15
1787596620,210.06,210.065,209.955,209.98,,,,,,,,,,1784554200000,1787596620000,10058,1,0,21721,17897.85
1787596680,210,210,209.85,209.895,,,,,,,,,,1784554200000,1787596680000,10059,1,0,22197,18680.55
1787596740,209.89,209.905,209.81,209.9,,,,,,,,,,1784554200000,1787596740000,10060,1,0,18051,18948.7
1787596800,209.9,209.9,209.78,209.82,,,,,,,,,,1784554200000,1787596800000,10061,1,0,9758,18677.85
1787596860,209.81,209.85,209.79,209.82,,,,,,,,,,1784554200000,1787596860000,10062,1,0,18364,18425.8
1787596920,209.815,209.84,209.73,209.74,,,,,,,,,,1784554200000,1787596920000,10063,1,0,17513,18226.75
1787596980,209.75,209.8,209.735,209.77,,,,,,,,,,1784554200000,1787596980000,10064,1,0,6206,18106.45
1787597040,209.775,209.79,209.725,209.79,,,,,,,,,,1784554200000,1787597040000,10065,1,0,10658,18089.4
1787597100,209.795,209.81,209.63,209.64,,,,,,,,,,1784554200000,1787597100000,10066,1,0,16038,18366
1787597160,209.62,209.63,209.47,209.5,,,,,,,,,,1784554200000,1787597160000,10067,1,0,21061,18439
1787597220,209.505,209.575,209.44,209.55,,,,,,,,,,1784554200000,1787597220000,10068,1,0,11856,17913.55
1787597280,209.56,209.6,209.52,209.59,,,,,,,,,,1784554200000,1787597280000,10069,1,0,5487,17548.9
1787597340,209.59,209.615,209.555,209.58,,,,,,,,,,1784554200000,1787597340000,10070,1,0,6517,16548.85
1787597400,209.58,209.65,209.58,209.61,,,,,,,,,,1784554200000,1787597400000,10071,1,0,13475,14430.25
1787597460,209.62,209.63,209.52,209.52,,,,,,,,,,1784554200000,1787597460000,10072,1,0,10084,14407.1
1787597520,209.52,209.52,209.38,209.39,,,,,,,,,,1784554200000,1787597520000,10073,1,0,12610,14418.95
1787597580,209.395,209.46,209.37,209.405,,,,,,,,,,1784554200000,1787597580000,10074,1,0,22260,15184.15
