name,kind,size_bytes,sha256,project,action,destination,reason,duplicate_of,applied,note
.git,dir,0,,other,REVIEW,,Unclassified directory,,False,
.gitignore,file,520,14b8481d6f96f4e1fee9a9c648eaf6d2e661dbc12c52a58cfb6c2bb14446d2af,other,KEEP_ROOT,,Repository-level file,,False,
.pytest_cache,dir,0,,cache,DELETE_SAFE,,Re-creatable cache directory,,False,
.venv,dir,0,,core,KEEP_ROOT,,Core directory,,False,
031_pmpd_v5_thread_handoff_9j_vwap_event_path_v2 (1).sql,file,1434,0bdcba5bc13c9667e7166761e44a6c79f89c50f8721a201471db5d0aafe3f4a1,pmpd,MOVE_SAFE,C:\Users\DirtySouth\TradingResearch\sql\pmpd\031_pmpd_v5_thread_handoff_9j_vwap_event_path_v2 (1).sql,SQL belongs under sql/<project>,,False,
15M_ORB_Post_Breakout_Research_Build_6_0_2_CSV_Export_VISIBILITY_FIX.pine,file,198151,f70659560f9006f21ed640f04bd25a99d9ccd750a25d5228038e47b139a9ff92,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\15M_ORB_Post_Breakout_Research_Build_6_0_2_CSV_Export_VISIBILITY_FIX.pine,Source move may break paths/imports; review first,,False,
15M_ORB_Post_Breakout_Research_Build_6_0_V1_1_CSV_Export_FIX.pine,file,197600,fd4cbfa1c9ce6bb88864085c7e8d720e2e06d9917f7b785074dbb0354e39dfea,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\15M_ORB_Post_Breakout_Research_Build_6_0_V1_1_CSV_Export_FIX.pine,Source move may break paths/imports; review first,,False,
15M_ORB_Post_Breakout_Research_Build_6_0_V1_CSV_Export.pine,file,197539,6530db3b8efb556ebddb02b5862e0575fa141d83e0508c5a3d29f962b517497a,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\15M_ORB_Post_Breakout_Research_Build_6_0_V1_CSV_Export.pine,Source move may break paths/imports; review first,,False,
6_2.pine,file,204789,e18927f14da36304df860c11b0d0b69fb4a063d780cdfc42fa7d091f67591c39,orb,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\orb\6_2.pine,Source move may break paths/imports; review first,,False,
__pycache__,dir,0,,cache,DELETE_SAFE,,Re-creatable cache directory,,False,
a56_1g_raw_bar_audit_v1.py,file,6328,82fc8ff829948a3d5d1b5335ec2d1bf2784d9bb76426c7facab2994e09dfb7f1,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\a56_1g_raw_bar_audit_v1.py,Source move may break paths/imports; review first,,False,
acquire_second1m_alt_entry_dia.py,file,17636,d8ac981acd58bcd4deee508c5c7712b0f4750ea42688789643b20c00efd555ec,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\acquire_second1m_alt_entry_dia.py,Source move may break paths/imports; review first,,False,
acquire_second1m_alt_entry_universe.py,file,33545,730bfe7ce21a5cfd58491daacaec8e3f13a67ab0e4e4c9417393f9af8290c276,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\acquire_second1m_alt_entry_universe.py,Source move may break paths/imports; review first,,False,
Alternative_C2_AE2_Core_Parity_A56_1B_FIX1.pine,file,8927,b58b19899f02870d4383ee449c7e9f21acbf9bfa2922faac8ffa923950b48f70,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\pine\second1m\Alternative_C2_AE2_Core_Parity_A56_1B_FIX1.pine,Source move may break paths/imports; review first,,False,
archive,dir,0,,core,KEEP_ROOT,,Core directory,,False,
archive_second1m_market_benchmark_raw.py,file,6372,b4418567e6c0c766e6928b890efb6ebb99eb92dfa69686ddc7de377bce57fec0,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\archive_second1m_market_benchmark_raw.py,Source move may break paths/imports; review first,,False,
audit_9m_2026_local_inventory.py,file,2368,3a0ba3e021277e0e9a3c4283b97a9dd828f87ea8473578a274707e36951ec939,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\audit_9m_2026_local_inventory.py,Source move may break paths/imports; review first,,False,
audit_9m_2026_symbol_partitions.py,file,4474,84892dfe2b83988a9fc34eef271baae1a8db2a0a255446a0eafe3b91384d903d,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\audit_9m_2026_symbol_partitions.py,Source move may break paths/imports; review first,,False,
audit_9m_2026_symbol_partitions_v2.py,file,4800,a213c052e9849e37d843a82103688030268831b586e4afe691231f9f8ab760a9,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\audit_9m_2026_symbol_partitions_v2.py,Source move may break paths/imports; review first,,False,
audit_9m_engine_interfaces.py,file,3584,df6d6169156f04fef8de56a16dbb88578b2b755506814e2b3f0a841aae68167d,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\audit_9m_engine_interfaces.py,Source move may break paths/imports; review first,,False,
audit_9n_3i_24case_market_data_coverage.py,file,6756,2483fb1a3e84c6f4486a9895952cb88eb7aae4ff91107eb9983e7f3030ceab5c,market_data,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\market_data\audit_9n_3i_24case_market_data_coverage.py,Source move may break paths/imports; review first,,False,
