feature,temporal_half,n,confirmed_n,not_confirmed_n,confirmed_mean,not_confirmed_mean,difference
c1_body_to_range_pct,NEWEST_HALF,4185,1976,2209,49.75561485679021,50.25919987948704,-0.5035850226968321
c1_body_to_range_pct,OLDEST_HALF,4272,1985,2287,51.736557610763484,51.5362254725561,0.20033213820738638
c2_body_to_range_pct,NEWEST_HALF,4185,1976,2209,50.00650670199886,51.43908186945258,-1.4325751674537202
c2_body_to_range_pct,OLDEST_HALF,4272,1985,2287,50.19085968316251,51.448784341619174,-1.2579246584566661
c1_favorable_clv_pct,NEWEST_HALF,4185,1976,2209,77.34823130992733,78.17948419270951,-0.8312528827821808
c1_favorable_clv_pct,OLDEST_HALF,4272,1985,2287,78.57905481781768,78.00292599640275,0.576128821414926
c2_favorable_clv_pct,NEWEST_HALF,4185,1976,2209,77.82950150425887,79.97651398798885,-2.1470124837299807
c2_favorable_clv_pct,OLDEST_HALF,4272,1985,2287,76.46403412841646,78.79438623082793,-2.3303521024114673
c1_favorable_wick_pct,NEWEST_HALF,4185,1976,2209,22.651768690072664,21.820515807290494,0.8312528827821701
c1_favorable_wick_pct,OLDEST_HALF,4272,1985,2287,21.420945182182333,21.997074003597255,-0.5761288214149225
c2_favorable_wick_pct,NEWEST_HALF,4185,1976,2209,22.170498495741132,20.02348601201116,2.1470124837299736
c2_favorable_wick_pct,OLDEST_HALF,4272,1985,2287,23.535965871583535,21.20561376917208,2.3303521024114566
c1_adverse_wick_pct,NEWEST_HALF,4185,1976,2209,27.59261645313713,27.920284313222467,-0.327667860085338
c1_adverse_wick_pct,OLDEST_HALF,4272,1985,2287,26.842497207054187,26.466700523846644,0.3757966832075432
c2_adverse_wick_pct,NEWEST_HALF,4185,1976,2209,27.822994802260016,28.53743211853627,-0.7144373162762534
c2_adverse_wick_pct,OLDEST_HALF,4272,1985,2287,26.273174445253954,27.34560188920875,-1.0724274439547976
c1_favorable_body_return_pct,NEWEST_HALF,4185,1976,2209,0.41134181990979307,0.3961523052294808,0.015189514680312266
c1_favorable_body_return_pct,OLDEST_HALF,4272,1985,2287,0.30126435587262324,0.2964591920231843,0.004805163849438909
c2_favorable_body_return_pct,NEWEST_HALF,4185,1976,2209,0.38348259941543333,0.3726613441637933,0.010821255251640016
c2_favorable_body_return_pct,OLDEST_HALF,4272,1985,2287,0.26570519812235166,0.2756855871084014,-0.009980388986049749
c1_favorable_vwap_distance_pct,NEWEST_HALF,4185,1976,2209,0.14634727412704904,0.14855278354508936,-0.002205509418040319
c1_favorable_vwap_distance_pct,OLDEST_HALF,4272,1985,2287,0.10769829492764704,0.10432473497463308,0.0033735599530139576
c2_favorable_vwap_distance_pct,NEWEST_HALF,4185,1976,2209,0.3849991763483243,0.37982360569021956,0.005175570658104756
c2_favorable_vwap_distance_pct,OLDEST_HALF,4272,1985,2287,0.265815688621211,0.27222233726391515,-0.006406648642704127
c2_vwap_penetration_pct,NEWEST_HALF,4185,1976,2209,0.17161656625142585,0.1644082895859245,0.007208276665501362
c2_vwap_penetration_pct,OLDEST_HALF,4272,1985,2287,0.11440905987326278,0.1246604700677106,-0.010251410194447821
c1_to_c2_close_progress_pct,NEWEST_HALF,4185,1976,2209,0.3558988442874079,0.3373070563146984,0.01859178797270955
c1_to_c2_close_progress_pct,OLDEST_HALF,4272,1985,2287,0.24246383579493977,0.2490171101849417,-0.0065532743900019175
c2_to_c1_volume_ratio,NEWEST_HALF,4185,1976,2209,3.80801133406774,4.376417407941889,-0.568406073874149
c2_to_c1_volume_ratio,OLDEST_HALF,4272,1985,2287,2.4613679222142,2.286423108768155,0.17494481344604518
c1_range_pct,NEWEST_HALF,4185,1976,2209,0.8093828825161514,0.7796786607944008,0.02970422172175058
c1_range_pct,OLDEST_HALF,4272,1985,2287,0.5637224143885322,0.5653127490900213,-0.00159033470148906
c2_range_pct,NEWEST_HALF,4185,1976,2209,0.6999892365387221,0.6724068952045552,0.027582341334166927
c2_range_pct,OLDEST_HALF,4272,1985,2287,0.4928439841280383,0.4987560909615092,-0.005912106833470876
clv_change_pp,NEWEST_HALF,4185,1976,2209,0.4812701943315346,1.7970297952793368,-1.315759600947802
clv_change_pp,OLDEST_HALF,4272,1985,2287,-2.1150206894012054,0.7914602344251812,-2.9064809238263867
vwap_distance_change_pp,NEWEST_HALF,4185,1976,2209,0.23865190222127533,0.2312708221451302,0.00738108007614513
vwap_distance_change_pp,OLDEST_HALF,4272,1985,2287,0.158117393693564,0.16789760228928205,-0.009780208595718043
