research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ALIGNED,1225,1204,591,613,2,19,49.08637873754153,533,43.51020408163265,1.3499656464410743,1.238397335639419,0.90446467618177,0.902371711604285,112,141,ALL,DAILY_TREND_COMPOSITE
DISCOVERY,MIXED,1344,1312,652,660,5,27,49.69512195121951,625,46.50297619047619,1.2538946243866314,1.2895126051744739,0.8917534294157192,0.910766375674851,112,141,ALL,DAILY_TREND_COMPOSITE
DISCOVERY,OPPOSING,1186,1153,620,533,7,26,53.772766695576756,553,46.62731871838111,1.327075067983504,1.2091559458980408,0.9564197075394933,0.8390714793471581,112,141,ALL,DAILY_TREND_COMPOSITE
DISCOVERY,UNKNOWN,517,508,271,237,0,9,53.346456692913385,274,52.99806576402321,1.1859293176640628,1.200947636903771,0.8799718409010912,0.9094277480444535,111,20,ALL,DAILY_TREND_COMPOSITE
VALIDATION,ALIGNED,1356,1326,644,682,23,7,48.56711915535445,613,45.206489675516224,1.673802230355775,1.5666881689232817,1.1642758930503934,1.1227945224419429,112,161,ALL,DAILY_TREND_COMPOSITE
VALIDATION,MIXED,1470,1439,705,734,19,12,48.99235580264072,699,47.55102040816327,1.6708288427644857,1.5807157229626094,1.162214413678425,1.1573627377566056,112,161,ALL,DAILY_TREND_COMPOSITE
VALIDATION,OPPOSING,1359,1323,665,658,27,9,50.264550264550266,664,48.85945548197204,1.6690446127644012,1.5058013336050207,1.1899515204936075,1.073695261424913,112,161,ALL,DAILY_TREND_COMPOSITE
DISCOVERY,ALIGNED,437,431,206,225,2,4,47.79582366589327,181,41.41876430205949,1.4228306510240543,1.207534850520971,1.0281653936545165,0.95563139931741,100,127,BEAR,DAILY_TREND_COMPOSITE
DISCOVERY,MIXED,694,681,317,364,4,9,46.54919236417034,308,44.38040345821326,1.2385917170373169,1.3818138006086547,0.8698915153655244,0.9868457018065875,112,138,BEAR,DAILY_TREND_COMPOSITE
DISCOVERY,OPPOSING,754,729,386,343,5,20,52.94924554183813,348,46.15384615384615,1.3867718534632887,1.2083030166974373,0.9968159331211008,0.8321476393520868,111,136,BEAR,DAILY_TREND_COMPOSITE
DISCOVERY,UNKNOWN,287,282,144,138,0,5,51.06382978723404,154,53.65853658536585,1.081009890183727,1.2499247549355228,0.7387949433590474,0.9782391694948989,109,20,BEAR,DAILY_TREND_COMPOSITE
DISCOVERY,ALIGNED,788,773,385,388,0,15,49.80595084087969,352,44.67005076142132,1.309557008112696,1.2555126985794716,0.8854663184788116,0.8801930621113888,110,136,BULL,DAILY_TREND_COMPOSITE
DISCOVERY,MIXED,650,631,335,296,1,18,53.09033280507131,317,48.76923076923077,1.2702334208488224,1.1909633288185946,0.9202163872519777,0.8042578694388272,112,137,BULL,DAILY_TREND_COMPOSITE
DISCOVERY,OPPOSING,432,424,234,190,2,6,55.18867924528302,205,47.4537037037037,1.2228820674007312,1.2106446232527974,0.900455109341876,0.8523756440347647,102,121,BULL,DAILY_TREND_COMPOSITE
DISCOVERY,UNKNOWN,230,226,127,99,0,4,56.19469026548673,120,52.17391304347826,1.3168505163025688,1.1398327113598028,1.0326253548008784,0.7629496348734218,94,20,BULL,DAILY_TREND_COMPOSITE
VALIDATION,ALIGNED,579,572,288,284,7,0,50.34965034965035,262,45.25043177892919,1.6586073513348427,1.6062558742419948,1.2532364226221993,1.143024373928663,112,145,BEAR,DAILY_TREND_COMPOSITE
VALIDATION,MIXED,727,710,350,360,7,10,49.29577464788732,357,49.10591471801926,1.6194576104633946,1.564670919387712,1.0869565217391304,1.1907218622312186,112,155,BEAR,DAILY_TREND_COMPOSITE
VALIDATION,OPPOSING,726,708,361,347,12,6,50.98870056497175,354,48.760330578512395,1.632575754678756,1.4786161923187982,1.2163640227233679,1.004272677414934,110,155,BEAR,DAILY_TREND_COMPOSITE
VALIDATION,ALIGNED,777,754,356,398,16,7,47.214854111405835,351,45.173745173745175,1.685125055263265,1.5372033537630054,1.1304603865648726,1.095374609558856,111,158,BULL,DAILY_TREND_COMPOSITE
VALIDATION,MIXED,743,729,355,374,12,2,48.69684499314129,342,46.02960969044415,1.7210938304938168,1.5964150125978052,1.2726759551484308,1.145230304555747,112,156,BULL,DAILY_TREND_COMPOSITE
VALIDATION,OPPOSING,633,615,304,311,15,3,49.43089430894309,310,48.973143759873615,1.7108714547394066,1.5369805003882713,1.1651438032746708,1.1419723216877893,110,148,BULL,DAILY_TREND_COMPOSITE
