research_period,cross_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ADVERSE_CROSS,23,23,9,14,0,0,39.130434782608695,8,34.78260869565217,1.2100495573261747,0.990474846805099,0.8687485325193814,0.7839428000302853,22,21,ALL,price_ema9_cross_state
DISCOVERY,FAVORABLE_CROSS,464,455,219,236,1,8,48.13186813186813,204,43.96551724137931,1.1530468141852084,1.2147266502552063,0.851614474560479,0.9473608608109985,109,152,ALL,price_ema9_cross_state
DISCOVERY,FAVORABLE_HOLD,3458,3381,1745,1636,12,65,51.611949127477075,1613,46.64545980335454,1.3297157664710668,1.258598984384743,0.9456973655220544,0.8933309740565903,112,161,ALL,price_ema9_cross_state
DISCOVERY,OPPOSING_HOLD,324,315,160,155,1,8,50.79365079365079,159,49.074074074074076,1.1208471800423723,1.121813613324019,0.7909166644125846,0.77062493556877,104,144,ALL,price_ema9_cross_state
DISCOVERY,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,0.6074371785290202,0.991190570916714,0.19153875349755461,0.6981896498459819,3,1,ALL,price_ema9_cross_state
VALIDATION,ADVERSE_CROSS,19,19,8,11,0,0,42.10526315789474,10,52.63157894736842,1.1927901010909372,1.8385286278088546,1.052690520185898,0.8794819754518185,18,18,ALL,price_ema9_cross_state
VALIDATION,FAVORABLE_CROSS,457,439,220,219,13,5,50.11389521640091,225,49.23413566739606,1.545585351618489,1.5564854856768304,1.1553784860557792,1.1301396281724936,110,152,ALL,price_ema9_cross_state
VALIDATION,FAVORABLE_HOLD,3412,3339,1655,1684,52,21,49.56573824498353,1599,46.86400937866354,1.728425629155321,1.556031172058814,1.2057629660762774,1.1146937854133614,112,161,ALL,price_ema9_cross_state
VALIDATION,OPPOSING_HOLD,297,291,131,160,4,2,45.017182130584196,142,47.81144781144781,1.2378521470865773,1.4782525664541275,0.8904483980745075,1.1703561116458212,98,130,ALL,price_ema9_cross_state
DISCOVERY,ADVERSE_CROSS,13,13,5,8,0,0,38.46153846153846,4,30.76923076923077,1.1649227875331065,1.0508122085411236,0.5937849458978409,0.7839428000302853,13,13,BEAR,price_ema9_cross_state
DISCOVERY,FAVORABLE_CROSS,228,224,109,115,1,3,48.660714285714285,100,43.85964912280702,1.1816373143499757,1.2871178151858427,0.8634355278813892,1.0230141452631702,92,117,BEAR,price_ema9_cross_state
DISCOVERY,FAVORABLE_HOLD,1762,1720,855,865,10,32,49.7093023255814,804,45.62996594778661,1.340051577470893,1.281460910983267,0.9591409417525756,0.9292548137608158,112,161,BEAR,price_ema9_cross_state
DISCOVERY,OPPOSING_HOLD,168,165,84,81,0,3,50.90909090909091,83,49.404761904761905,1.1397686455795164,1.1270954563445388,0.779459024263816,0.7847122048667916,86,108,BEAR,price_ema9_cross_state
DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR,price_ema9_cross_state
DISCOVERY,ADVERSE_CROSS,10,10,4,6,0,0,40.0,4,40.0,1.268714358057163,0.9120362765482672,0.8769073004157666,0.9250901214767122,10,10,BULL,price_ema9_cross_state
DISCOVERY,FAVORABLE_CROSS,236,231,110,121,0,5,47.61904761904762,104,44.067796610169495,1.1254254835175521,1.1447894231188287,0.8237207250612981,0.7731951101582888,98,118,BULL,price_ema9_cross_state
DISCOVERY,FAVORABLE_HOLD,1696,1661,890,771,2,33,53.58217940999398,809,47.700471698113205,1.3189777364111064,1.2348473837558518,0.9343688733503167,0.8618597294712894,112,161,BULL,price_ema9_cross_state
DISCOVERY,OPPOSING_HOLD,156,150,76,74,1,5,50.666666666666664,76,48.717948717948715,1.1004702171562175,1.1161254746865361,0.8390504513162356,0.7602153213462235,79,94,BULL,price_ema9_cross_state
DISCOVERY,UNKNOWN,2,2,1,1,0,0,50.0,1,50.0,0.8980826454626304,0.46138377406133035,0.8980826454626304,0.46138377406133035,2,1,BULL,price_ema9_cross_state
VALIDATION,ADVERSE_CROSS,13,13,7,6,0,0,53.84615384615385,9,69.23076923076923,1.2673034983549742,2.1363035016812515,1.052690520185898,0.9330440173589557,13,12,BEAR,price_ema9_cross_state
VALIDATION,FAVORABLE_CROSS,246,239,118,121,3,4,49.37238493723849,123,50.0,1.483311812860869,1.4328955189362897,1.1934080994107044,0.9995818679299227,99,122,BEAR,price_ema9_cross_state
VALIDATION,FAVORABLE_HOLD,1631,1599,813,786,20,12,50.84427767354597,770,47.21030042918455,1.7011359090424776,1.559680635648669,1.1922334506642411,1.1215519854501503,112,160,BEAR,price_ema9_cross_state
VALIDATION,OPPOSING_HOLD,142,139,61,78,3,0,43.884892086330936,71,50.0,1.1761057608159808,1.5275345442342732,0.8692547092615615,1.1411518506788647,79,93,BEAR,price_ema9_cross_state
VALIDATION,ADVERSE_CROSS,6,6,1,5,0,0,16.666666666666668,1,16.666666666666668,1.0313444070188578,1.193349734418662,0.8708838366415403,0.8017634575437305,6,6,BULL,price_ema9_cross_state
VALIDATION,FAVORABLE_CROSS,211,200,102,98,10,1,51.0,102,48.34123222748815,1.6181886242932495,1.700576157800873,1.093086402562142,1.2844036697247758,94,117,BULL,price_ema9_cross_state
VALIDATION,FAVORABLE_HOLD,1781,1740,842,898,32,9,48.39080459770115,829,46.54688377316115,1.7534169449913948,1.5526890748577737,1.2203922574851098,1.1035122982829073,112,161,BULL,price_ema9_cross_state
VALIDATION,OPPOSING_HOLD,155,152,70,82,1,2,46.05263157894737,71,45.806451612903224,1.2944198041860908,1.4331039158426393,0.91968117719192,1.1765694596184482,83,93,BULL,price_ema9_cross_state
DISCOVERY,ADVERSE_CROSS,18,18,10,8,0,0,55.55555555555556,6,33.333333333333336,0.8992134852527164,0.9590396763869578,0.8448087591041402,0.6890528458695266,15,17,ALL,price_ema20_cross_state
