research_period,ma_stack_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
DISCOVERY,FULL_FAVORABLE,2565,2512,1312,1200,11,42,52.22929936305732,1214,47.32943469785575,1.351071446346879,1.2694183555577758,0.9749547550937101,0.9032976551382836,112,161,ALL
DISCOVERY,FULL_OPPOSING,217,212,107,105,1,4,50.471698113207545,105,48.38709677419355,1.1220671037377075,1.2010165632123022,0.7942916158107041,0.7839428000302853,91,124,ALL
DISCOVERY,MIXED,353,349,170,179,0,4,48.710601719197705,162,45.892351274787536,1.2831101088647852,1.2548359296447351,0.8857242097950767,0.8895038545166943,105,140,ALL
DISCOVERY,MOSTLY_FAVORABLE,758,739,373,366,2,17,50.47361299052774,332,43.79947229551451,1.2508980371169192,1.1989283284483392,0.8721389292076622,0.8447424118293492,112,160,ALL
DISCOVERY,MOSTLY_OPPOSING,368,354,168,186,0,14,47.45762711864407,168,45.65217391304348,1.111105702711626,1.1595718383119058,0.741883847735713,0.9048960233864012,108,141,ALL
DISCOVERY,UNKNOWN,11,11,4,7,0,0,36.36363636363637,4,36.36363636363637,0.6351344885550589,0.9040626161026197,0.21525946997328796,0.6981896498459819,11,1,ALL
VALIDATION,FULL_FAVORABLE,2531,2472,1222,1250,37,22,49.433656957928804,1183,46.74041880679573,1.7436312606027577,1.5239152993294443,1.2236396771674012,1.1007658693302027,112,161,ALL
VALIDATION,FULL_OPPOSING,206,202,89,113,2,2,44.05940594059406,94,45.63106796116505,1.2967396642981623,1.4634158218275608,0.9344059149548529,1.0662286816853508,91,107,ALL
VALIDATION,MIXED,354,346,175,171,7,1,50.578034682080926,170,48.0225988700565,1.6335828964224661,1.6022912080103986,1.134009082215354,1.1521313412606327,103,139,ALL
VALIDATION,MOSTLY_FAVORABLE,711,698,353,345,11,2,50.5730659025788,345,48.52320675105485,1.6483032061969076,1.6488442549257198,1.1678045274883193,1.2070945514865428,112,156,ALL
VALIDATION,MOSTLY_OPPOSING,383,370,175,195,12,1,47.2972972972973,184,48.04177545691906,1.471370327943838,1.5572653979035522,1.0835150918173446,1.0685454807553811,109,143,ALL
DISCOVERY,FULL_FAVORABLE,1292,1264,646,618,9,19,51.107594936708864,597,46.20743034055727,1.3585570209457223,1.315035382942033,0.9910214852147108,0.9484414595995556,112,161,BEAR
DISCOVERY,FULL_OPPOSING,115,113,58,55,0,2,51.32743362831859,59,51.30434782608695,1.1491475357126975,1.2292778647551268,0.7875417130144651,0.8280912590367256,70,81,BEAR
DISCOVERY,MIXED,167,166,82,84,0,1,49.397590361445786,81,48.50299401197605,1.4051822998169012,1.2667558107173882,0.9271188375544288,0.9547968854596189,84,100,BEAR
DISCOVERY,MOSTLY_FAVORABLE,402,389,181,208,2,11,46.52956298200514,164,40.79601990049751,1.249619399284144,1.1972361369394477,0.8651510277308848,0.848526630891629,109,142,BEAR
DISCOVERY,MOSTLY_OPPOSING,191,186,86,100,0,5,46.236559139784944,89,46.596858638743456,1.109683688864498,1.1287735587251522,0.7125330313325741,0.9266690988690126,88,111,BEAR
DISCOVERY,UNKNOWN,5,5,0,5,0,0,0.0,1,20.0,0.17315945837152807,1.5269640385043035,0.13144717075612142,1.636083664827398,5,1,BEAR
