feature,available_n,coverage_pct
spy_daily_ret_1d_pct,8404,99.37330022466595
spy_daily_ret_5d_pct,8314,98.30909305900437
spy_daily_ret_10d_pct,8179,96.712782310512
spy_daily_close_vs_ema20_pct,7940,93.88672105947735
spy_daily_ema9_vs_ema20_pct,7940,93.88672105947735
spy_weekly_ret_1w_pct,8339,98.60470616057704
spy_weekly_ret_4w_pct,7970,94.24145678136455
spy_weekly_ret_8w_pct,7411,87.63154783019984
spy_weekly_close_vs_ema20_pct,6070,71.77486106184226
spy_weekly_ema9_vs_ema20_pct,6070,71.77486106184226
qqq_daily_ret_1d_pct,8404,99.37330022466595
qqq_daily_ret_5d_pct,8314,98.30909305900437
qqq_daily_ret_10d_pct,8179,96.712782310512
qqq_daily_close_vs_ema20_pct,7940,93.88672105947735
qqq_daily_ema9_vs_ema20_pct,7940,93.88672105947735
qqq_weekly_ret_1w_pct,8339,98.60470616057704
qqq_weekly_ret_4w_pct,7970,94.24145678136455
qqq_weekly_ret_8w_pct,7411,87.63154783019984
qqq_weekly_close_vs_ema20_pct,6070,71.77486106184226
qqq_weekly_ema9_vs_ema20_pct,6070,71.77486106184226
market_daily_regime_score,7940,93.88672105947735
market_weekly_regime_score,6070,71.77486106184226
spy_market_week_end,8427,99.6452642781128
qqq_market_week_end,8427,99.6452642781128
