quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
2025Q2,ALIGNED,84,84,45,39,0,0,53.57142857142857,32,38.095238095238095,1.3445148469370334,0.8917011879661819,0.9607560380059955,0.6005233303834403,58,5,market_daily_regime_state
2025Q2,OPPOSING,88,86,42,44,0,2,48.83720930232558,44,50.0,1.0087932247632934,1.2444950298729,0.6557714100857918,1.0414134590895732,61,5,market_daily_regime_state
2025Q2,UNKNOWN,517,508,271,237,0,9,53.346456692913385,274,52.99806576402321,1.1859293176640628,1.2009476369037713,0.8799718409010912,0.9094277480444535,111,20,market_daily_regime_state
2025Q3,ALIGNED,675,662,317,345,0,13,47.88519637462235,285,42.22222222222222,1.1313093599153703,1.235012516315171,0.8444610840717173,0.9106373638434013,111,53,market_daily_regime_state
2025Q3,MIXED,275,270,133,137,3,2,49.25925925925926,111,40.36363636363637,1.2708714212282786,1.2387678891452034,0.90446467618177,0.9058046576294757,102,11,market_daily_regime_state
2025Q3,OPPOSING,675,658,293,365,6,11,44.52887537993921,289,42.81481481481482,1.1269582217559837,1.2567651898439618,0.8166163678324176,0.890057920187051,110,53,market_daily_regime_state
2025Q4,ALIGNED,767,742,372,370,0,25,50.13477088948787,353,46.023468057366365,1.363187755094391,1.2334966033612762,0.947700947700928,0.8473917437611781,112,59,market_daily_regime_state
2025Q4,MIXED,145,144,75,69,1,0,52.083333333333336,70,48.275862068965516,1.6198083082796577,1.6814686417035416,1.20106938572495,1.3743563664102803,78,5,market_daily_regime_state
2025Q4,OPPOSING,790,767,421,346,4,19,54.88917861799218,388,49.11392405063291,1.3715578673732827,1.2661673813668841,0.9690246598886476,0.8446886429864284,112,59,market_daily_regime_state
2026Q1,ALIGNED,689,685,352,333,4,0,51.386861313868614,311,45.13788098693759,1.420707408730603,1.5330392911568962,1.0539303891830667,1.1051646869425316,112,54,market_daily_regime_state
2026Q1,MIXED,179,170,82,88,9,0,48.23529411764706,80,44.6927374301676,1.8958584613634397,1.5474354245577584,1.3995640702076497,1.1930669982900644,94,7,market_daily_regime_state
2026Q1,OPPOSING,701,686,376,310,11,4,54.81049562682216,351,50.07132667617689,1.8249058120804078,1.3419506010555855,1.3600891861761415,0.9875032771126413,112,54,market_daily_regime_state
2026Q2,ALIGNED,745,731,348,383,10,4,47.60601915184679,336,45.100671140939596,1.7759647017986164,1.5788165826047913,1.1563483330437654,1.0830017055144974,112,56,market_daily_regime_state
2026Q2,MIXED,176,174,82,92,0,2,47.12643678160919,87,49.43181818181818,1.4662716119944172,1.6903413505998535,0.8158226266298815,1.3089868038283399,93,6,market_daily_regime_state
2026Q2,OPPOSING,706,688,369,319,12,6,53.633720930232556,355,50.28328611898017,1.8212311206447913,1.5521442590857,1.34720107171563,1.0987470293623667,110,56,market_daily_regime_state
2026Q3,ALIGNED,583,562,246,316,18,3,43.77224199288256,266,45.62607204116638,1.5396046975809088,1.5282710723302926,1.0591756850103666,1.1590123558995846,111,41,market_daily_regime_state
2026Q3,MIXED,139,134,64,70,1,4,47.76119402985075,62,44.60431654676259,1.6737982068653299,1.3714450162659562,1.2056119980648319,0.9650978318350132,86,5,market_daily_regime_state
2026Q3,OPPOSING,523,514,260,254,4,5,50.583657587548636,267,51.05162523900574,1.6686400125407266,1.6373837357623984,1.1531540201125905,1.083932853717022,108,41,market_daily_regime_state
2025Q2,UNKNOWN,689,678,358,320,0,11,52.8023598820059,350,50.79825834542816,1.1826393442005823,1.1688075336679595,0.8757531639140966,0.9144548031159192,111,25,market_weekly_regime_state
2025Q3,UNKNOWN,1625,1590,743,847,9,26,46.729559748427675,685,42.15384615384615,1.1531201590559634,1.2446837668752895,0.8507621410847205,0.9005278956629796,112,64,market_weekly_regime_state
2025Q4,ALIGNED,790,763,393,370,2,25,51.507208387942335,381,48.22784810126582,1.1751525437803996,1.339662850229663,0.8325612490953732,0.8958814095545136,112,57,market_weekly_regime_state
2025Q4,MIXED,98,98,53,45,0,0,54.08163265306123,40,40.816326530612244,1.347618096720844,1.153610507434651,1.102548073337163,0.795769071946884,69,4,market_weekly_regime_state
2025Q4,OPPOSING,741,721,383,338,3,17,53.12066574202497,359,48.44804318488529,1.5966848048437663,1.276245354126394,1.1435367303997805,0.8882750599694721,112,57,market_weekly_regime_state
