research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ABOVE_BASELINE,2023,1990,993,997,12,21,49.89949748743719,45.575877409787445,1.3903746826665893,1.3379857026699118,0.9808612440191322,0.9942004971002419,112,151,ALL,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,2002,1947,995,952,2,53,51.10426296866975,45.354645354645356,1.2113867105640523,1.1594599315569951,0.8647494674029984,0.7940480565190479,112,151,ALL,c1_rvol_20d_state
DISCOVERY,UNKNOWN,247,240,146,94,0,7,60.833333333333336,62.75303643724696,1.166212964951261,1.121889466189356,0.8776053910045483,0.8423586040914595,97,10,ALL,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,2042,1993,996,997,40,9,49.97491219267436,46.914789422135165,1.7866207026827898,1.5970348506855274,1.261530717626536,1.1408325547945366,112,161,ALL,c1_rvol_20d_state
VALIDATION,BELOW_BASELINE,2143,2095,1018,1077,29,19,48.591885441527445,47.50349976668222,1.5612442263624773,1.508782135830323,1.1143210895583968,1.1000793114590384,112,160,ALL,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1020,1001,487,514,10,9,48.65134865134865,43.92156862745098,1.4052905385145935,1.3981090458837355,0.9996424296508581,1.0387209897405723,112,151,BEAR,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,1005,978,484,494,1,26,49.488752556237216,44.875621890547265,1.244843329844348,1.155261234568703,0.8678309616213958,0.8125564275296808,112,149,BEAR,c1_rvol_20d_state
DISCOVERY,UNKNOWN,147,144,82,62,0,3,56.94444444444444,62.585034013605444,1.0392623560340373,1.1520518300236502,0.7208062183658708,0.9682323757701913,83,10,BEAR,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1003,989,506,483,2,12,51.16279069767442,47.25822532402792,1.3752060157025172,1.2768433197406,0.9531866892272897,0.9282764004902324,112,148,BULL,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,997,969,511,458,1,27,52.73477812177502,45.83751253761284,1.1776616329545264,1.1636923191931368,0.8478190409580036,0.7656316461080529,111,146,BULL,c1_rvol_20d_state
DISCOVERY,UNKNOWN,100,96,64,32,0,4,66.66666666666667,63.0,1.3528303600595806,1.0775507913529436,1.1270586073079474,0.5746505841567794,61,10,BULL,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,978,952,491,461,18,8,51.575630252100844,47.852760736196316,1.7206042155186605,1.5999915822358166,1.2451606697866753,1.1380872773591164,112,156,BEAR,c1_rvol_20d_state
VALIDATION,BELOW_BASELINE,1054,1038,508,530,8,8,48.94026974951831,47.91271347248577,1.5561465031776933,1.4954663166772302,1.1157327317508814,1.0981073291005896,112,159,BEAR,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1064,1041,505,536,22,1,48.51104707012488,46.05263157894737,1.847301270771623,1.5943171030763335,1.2636754101388443,1.1408325547945366,112,159,BULL,c1_rvol_20d_state
VALIDATION,BELOW_BASELINE,1089,1057,510,547,21,11,48.24976348155156,47.107438016528924,1.5661781108774107,1.5216699901805155,1.0996766543340843,1.1035122982829073,112,158,BULL,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,2332,2294,1161,1133,14,24,50.6102877070619,44.55403087478559,1.399497324953151,1.3148283853309872,0.9809310566301994,0.957632706409191,112,151,ALL,c2_rvol_20d_state
DISCOVERY,BELOW_BASELINE,1687,1637,826,811,0,50,50.45815516188149,46.76941315945465,1.1679948796147948,1.1558731692601059,0.8542576026045585,0.7838283828382744,112,151,ALL,c2_rvol_20d_state
DISCOVERY,UNKNOWN,253,246,147,99,0,7,59.75609756097561,62.055335968379445,1.1539274949636271,1.142105638314017,0.843756792538578,0.9195634599838285,99,16,ALL,c2_rvol_20d_state
VALIDATION,ABOVE_BASELINE,2388,2330,1154,1176,47,11,49.527896995708154,47.23618090452261,1.773949453876339,1.611092830263527,1.264465911116607,1.1508841214893324,112,161,ALL,c2_rvol_20d_state
VALIDATION,BELOW_BASELINE,1797,1758,860,898,22,17,48.919226393629124,47.18976071229827,1.534688122491012,1.4731082935531037,1.0987222267437127,1.0762025316455708,112,161,ALL,c2_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1144,1121,552,569,11,12,49.24174843889384,42.83216783216783,1.4301354285682382,1.3619288181532956,0.9933433703912,1.0175036595912834,112,150,BEAR,c2_rvol_20d_state
DISCOVERY,BELOW_BASELINE,878,855,418,437,0,23,48.888888888888886,46.46924829157175,1.191676995498878,1.163988279155067,0.8662576519587922,0.8081157365484094,112,146,BEAR,c2_rvol_20d_state
DISCOVERY,UNKNOWN,150,147,83,64,0,3,56.46258503401361,62.0,1.0324541985691964,1.1762140632727631,0.7162548940902984,0.9704383763349429,85,13,BEAR,c2_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1188,1173,609,564,3,12,51.91815856777494,46.21212121212121,1.3699939659164004,1.2694724129835793,0.9684248554235173,0.8959984502202278,112,150,BULL,c2_rvol_20d_state
DISCOVERY,BELOW_BASELINE,809,782,408,374,0,27,52.17391304347826,47.09517923362176,1.1422929046503632,1.1470659177300986,0.820633059788981,0.7533341023434111,112,148,BULL,c2_rvol_20d_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,c2_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1134,1107,557,550,19,8,50.31616982836495,46.82539682539682,1.734971494039991,1.6140496698478166,1.2456005952679265,1.1741937134740645,112,160,BEAR,c2_rvol_20d_state
VALIDATION,BELOW_BASELINE,898,883,442,441,7,8,50.056625141562854,49.220489977728285,1.5094339230347313,1.4595556120233912,1.1066001703303687,1.0543878866392733,111,158,BEAR,c2_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1254,1223,597,626,28,3,48.81439084219133,47.60765550239235,1.809197465402988,1.608418941835629,1.2690757468015867,1.1396659515795267,112,161,BULL,c2_rvol_20d_state
VALIDATION,BELOW_BASELINE,899,875,418,457,15,9,47.77142857142857,45.16129032258065,1.5599142305129698,1.486645899797466,1.086244940159712,1.0925714285714223,112,159,BULL,c2_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,2112,2080,1044,1036,12,20,50.19230769230769,44.74431818181818,1.4046919945715566,1.3304858903780423,0.9997515401194134,0.9927988841456097,112,151,ALL,opening_2m_rvol_20d_state
DISCOVERY,BELOW_BASELINE,1906,1850,942,908,2,54,50.91891891891892,46.27492130115425,1.1893036902518581,1.156855742881257,0.8356464608688338,0.7843730766404862,112,151,ALL,opening_2m_rvol_20d_state
DISCOVERY,UNKNOWN,254,247,148,99,0,7,59.91902834008097,62.20472440944882,1.1514033613052566,1.1422728788071097,0.8411237546242518,0.9203012373912729,100,16,ALL,opening_2m_rvol_20d_state
