research_period,direction,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,BEAR,OTHER,1562,1526,755,771,5,31,49.47575360419397,45.45454545454545,1.2818863004014323,1.2631562434630395,0.9195386578389149,0.9481907830106067,112,161,positive_candidate_state
DISCOVERY,BEAR,POSITIVE_CANDIDATE,610,597,298,299,6,7,49.916247906197654,46.0655737704918,1.3687361653908547,1.284279236503551,0.9426613629274392,0.8847134600793395,107,104,positive_candidate_state
DISCOVERY,BULL,OTHER,1849,1806,949,857,1,42,52.547065337763016,46.51162790697674,1.2648071993756447,1.1644173017302062,0.8874397504961711,0.8156703977137439,112,161,positive_candidate_state
DISCOVERY,BULL,POSITIVE_CANDIDATE,251,248,132,116,2,1,53.225806451612904,53.386454183266935,1.3948797058393574,1.5761855783725973,1.0213549220057139,1.1035422343324173,95,44,positive_candidate_state
VALIDATION,BEAR,OTHER,1651,1620,797,823,17,14,49.19753086419753,46.88067837674137,1.546244362445861,1.506568195153073,1.1067755552009741,1.1060668592653646,112,160,positive_candidate_state
VALIDATION,BEAR,POSITIVE_CANDIDATE,381,370,202,168,9,2,54.5945945945946,52.23097112860892,2.0212070727780107,1.7156671260018528,1.5500393125912564,1.1795343137254841,96,76,positive_candidate_state
VALIDATION,BULL,OTHER,1790,1745,819,926,33,12,46.93409742120344,45.69832402234637,1.6188276917655682,1.550631843141959,1.116387406668989,1.1003091045174496,112,161,positive_candidate_state
VALIDATION,BULL,POSITIVE_CANDIDATE,363,353,196,157,10,0,55.524079320113316,50.964187327823694,2.130564591146392,1.5917934373435088,1.5739035138853263,1.2253018040421302,97,69,positive_candidate_state
DISCOVERY,BEAR,NEGATIVE_CANDIDATE,55,54,23,31,0,1,42.592592592592595,50.90909090909091,1.5163307326582915,1.4748691782112362,0.9650951644360766,1.3743563664102803,41,22,negative_candidate_state
DISCOVERY,BEAR,OTHER,2117,2069,1030,1039,11,37,49.78250362493959,45.488899385923474,1.3008206291068742,1.2637423626616984,0.9241971620612481,0.912358937022204,112,161,negative_candidate_state
DISCOVERY,BULL,NEGATIVE_CANDIDATE,180,174,104,70,0,6,59.770114942528735,41.666666666666664,1.1680468630885097,0.980198086454579,0.945729822200118,0.6156977119995324,88,79,negative_candidate_state
DISCOVERY,BULL,OTHER,1920,1880,977,903,3,37,51.96808510638298,47.864583333333336,1.2908827512788092,1.2355179768275257,0.9028402346771728,0.8633535173012687,112,161,negative_candidate_state
VALIDATION,BEAR,NEGATIVE_CANDIDATE,61,59,18,41,1,1,30.508474576271187,37.704918032786885,1.2456751852611396,1.6307948268168664,1.0211358921161935,1.3503584229390624,47,29,negative_candidate_state
VALIDATION,BEAR,OTHER,1971,1931,981,950,25,15,50.80269290523045,48.19888381532217,1.6473582703326275,1.5431429633529175,1.1728367274150089,1.102760480041998,112,161,negative_candidate_state
VALIDATION,BULL,NEGATIVE_CANDIDATE,164,163,65,98,0,1,39.877300613496935,37.19512195121951,1.141260549972791,1.3602800055250244,0.7569683142525677,1.126690237925506,82,53,negative_candidate_state
VALIDATION,BULL,OTHER,1989,1935,950,985,43,11,49.09560723514212,47.360482654600304,1.751598685093499,1.5738391634357447,1.2186335014567349,1.1300569592522165,112,161,negative_candidate_state
