quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
2025Q2,OTHER,565,556,303,253,0,9,54.49640287769784,51.32743362831859,1.2044916270401673,1.148920689382158,0.8872282783149041,0.849925705794952,109,25,positive_candidate_state
2025Q2,POSITIVE_CANDIDATE,124,122,55,67,0,2,45.08196721311475,48.38709677419355,1.0830704748105375,1.2594209773895544,0.7723390154294162,0.9842724596258141,69,18,positive_candidate_state
2025Q3,OTHER,1245,1218,575,643,3,24,47.208538587848935,41.44578313253012,1.1155824800507117,1.2205299015247817,0.837267907832525,0.9044094604358155,112,64,positive_candidate_state
2025Q3,POSITIVE_CANDIDATE,380,372,168,204,6,2,45.16129032258065,44.473684210526315,1.2761054494810637,1.32381945729998,0.907608722912178,0.8906173581893999,99,63,positive_candidate_state
2025Q4,OTHER,1397,1354,694,660,3,40,51.25553914327917,46.74302075876879,1.3614956881474705,1.232652018666951,0.9625447357201056,0.8589369529366939,112,64,positive_candidate_state
2025Q4,POSITIVE_CANDIDATE,305,299,174,125,2,4,58.19397993311037,51.80327868852459,1.514617874560085,1.534958062384329,1.0773751224289856,0.9344733087547196,98,59,positive_candidate_state
2026Q1,OTHER,1281,1262,644,618,15,4,51.03011093502377,46.37002341920375,1.5696737617755228,1.4573385742551457,1.1434501079196446,1.0875787063537363,112,61,positive_candidate_state
2026Q1,POSITIVE_CANDIDATE,288,279,166,113,9,0,59.49820788530466,51.388888888888886,2.0372672035880623,1.4135821886182773,1.5887990416292244,1.0516004061915054,96,53,positive_candidate_state
2026Q2,OTHER,1342,1318,653,665,14,10,49.54476479514416,47.168405365126674,1.693536169370923,1.5373496196142349,1.1273975557415226,1.0658083195860495,112,62,positive_candidate_state
2026Q2,POSITIVE_CANDIDATE,285,275,146,129,8,2,53.09090909090909,50.87719298245614,2.08498645063309,1.7768739969766474,1.6901917291591912,1.4023897086874806,88,59,positive_candidate_state
2026Q3,OTHER,1022,989,451,538,21,12,45.601617795753285,46.57534246575342,1.5034842095088234,1.5345832118298446,1.0664970522792325,1.1186699602925951,112,46,positive_candidate_state
2026Q3,POSITIVE_CANDIDATE,223,221,119,102,2,0,53.84615384615385,53.36322869955157,2.091414142980865,1.65749122754781,1.461061165615946,1.1164219031500793,85,41,positive_candidate_state
2025Q2,NEGATIVE_CANDIDATE,35,35,17,18,0,0,48.57142857142857,42.857142857142854,0.7179590408187744,1.2021907735237711,0.7592067988668574,0.7720385305249456,29,11,negative_candidate_state
2025Q2,OTHER,654,643,341,302,0,11,53.03265940902022,51.223241590214066,1.2075075561552662,1.1670209688438717,0.8896050218502642,0.9155028300537638,111,25,negative_candidate_state
2025Q3,NEGATIVE_CANDIDATE,67,66,34,32,0,1,51.515151515151516,41.791044776119406,1.2972583813478584,1.1112778910075667,1.1192629654575106,0.8876080691642606,49,39,negative_candidate_state
2025Q3,OTHER,1558,1524,709,815,9,25,46.52230971128609,42.169448010269576,1.1469216604079808,1.2504207332957886,0.8421314117637189,0.9022194573692475,112,64,negative_candidate_state
2025Q4,NEGATIVE_CANDIDATE,114,108,63,45,0,6,58.333333333333336,45.6140350877193,1.3216314220269714,1.0489267489184264,1.0238671628747698,0.6276806464696638,65,43,negative_candidate_state
2025Q4,OTHER,1588,1545,805,740,5,38,52.103559870550164,47.795969773299745,1.393766968496075,1.3039039230026763,0.9803777234904403,0.8940310565086038,112,64,negative_candidate_state
2026Q1,NEGATIVE_CANDIDATE,73,73,32,41,0,0,43.83561643835616,41.0958904109589,1.1051015349847957,1.6368247076259856,0.6824376138442396,1.2896212671532084,51,29,negative_candidate_state
2026Q1,OTHER,1496,1468,778,690,24,4,52.997275204359674,47.593582887700535,1.682361384634971,1.440156537624471,1.231924702805316,1.0762388418639628,112,61,negative_candidate_state
2026Q2,NEGATIVE_CANDIDATE,121,120,48,72,0,1,40.0,33.88429752066116,1.1519074650986854,1.4050737272157126,0.9038936959209024,1.1276319728569957,75,42,negative_candidate_state
2026Q2,OTHER,1506,1473,751,722,22,11,50.98438560760353,48.93758300132802,1.8111327187578143,1.593305682382169,1.249014747602301,1.1069926069191736,112,62,negative_candidate_state
2026Q3,NEGATIVE_CANDIDATE,50,48,16,32,1,1,33.333333333333336,42.0,1.4807093345547147,1.0901159181607454,0.8783957068070636,1.042547537742375,40,19,negative_candidate_state
2026Q3,OTHER,1195,1162,554,608,22,11,47.67641996557659,48.03347280334728,1.6141512546234436,1.5761161425315693,1.1357769747031434,1.119642725482141,112,46,negative_candidate_state
