research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,OTHER,3411,3332,1704,1628,6,73,51.14045618247299,46.027557900908825,1.2726282359638241,1.209632847607276,0.8955696202531594,0.8736559139785065,112,161,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,861,845,430,415,8,8,50.887573964497044,48.199767711962835,1.3763575691685253,1.369376207245863,0.9631240589823935,0.9266690988690126,109,148,positive_candidate_state
VALIDATION,OTHER,3441,3365,1616,1749,50,26,48.02377414561664,46.265620459168844,1.5840020373898527,1.5294899998319764,1.114388725008205,1.1035122982829073,112,161,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,744,723,398,325,19,2,55.04840940525588,51.61290322580645,2.074562958756132,1.6552287537129025,1.562533467804121,1.2016817844776064,107,145,positive_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,235,228,127,101,0,7,55.70175438596491,43.829787234042556,1.2495601091580333,1.0959721717593285,0.9460666713509887,0.7253232418795309,94,101,negative_candidate_state
DISCOVERY,OTHER,4037,3949,2007,1942,14,74,50.82299316282603,46.6187763190488,1.2960941675190902,1.2503188251829738,0.914628017769918,0.8903413317171295,112,161,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,225,222,83,139,1,2,37.387387387387385,37.333333333333336,1.1695685177620767,1.4336195792974793,0.8636456004877096,1.1372053505293946,89,82,negative_candidate_state
VALIDATION,OTHER,3960,3866,1931,1935,68,26,49.9482669425763,47.77777777777778,1.6997153877466107,1.5585608274854283,1.1970778908867168,1.1154251420614592,112,161,negative_candidate_state
DISCOVERY,NEGATIVE_ONLY,235,228,127,101,0,7,55.70175438596491,43.829787234042556,1.2495601091580333,1.0959721717593285,0.9460666713509887,0.7253232418795309,94,101,combined_candidate_state
DISCOVERY,NEITHER,3176,3104,1577,1527,6,66,50.80541237113402,46.19017632241814,1.2743351030291141,1.2180428787232296,0.892442216433625,0.8793375774094468,112,161,combined_candidate_state
DISCOVERY,POSITIVE_ONLY,861,845,430,415,8,8,50.887573964497044,48.199767711962835,1.3763575691685253,1.369376207245863,0.9631240589823935,0.9266690988690126,109,148,combined_candidate_state
VALIDATION,NEGATIVE_ONLY,225,222,83,139,1,2,37.387387387387385,37.333333333333336,1.1695685177620767,1.4336195792974793,0.8636456004877096,1.1372053505293946,89,82,combined_candidate_state
VALIDATION,NEITHER,3216,3143,1533,1610,49,24,48.775055679287306,46.89054726368159,1.6129969198264975,1.5361973520148935,1.1385489713511692,1.099374047481799,112,161,combined_candidate_state
VALIDATION,POSITIVE_ONLY,744,723,398,325,19,2,55.04840940525588,51.61290322580645,2.074562958756132,1.6552287537129025,1.562533467804121,1.2016817844776064,107,145,combined_candidate_state
