research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,ALL_3_CLEARED,926,906,497,409,9,11,54.856512141280355,45.46436285097192,1.4299407891546225,1.3234752104856098,1.0640378632442773,0.957632706409191,112,154,session_level_clear_state
DISCOVERY,INCOMPLETE,123,120,50,70,0,3,41.666666666666664,35.77235772357724,0.855659137347002,1.202444246999477,0.5316578057032196,0.9388455437210584,57,69,session_level_clear_state
DISCOVERY,NONE_CLEARED,1184,1152,569,583,1,31,49.392361111111114,47.888513513513516,1.253288447447344,1.2151578588975318,0.8810644962294604,0.8321800276943004,111,159,session_level_clear_state
DISCOVERY,ONE_OF_3_CLEARED,878,857,449,408,1,20,52.39206534422404,47.9498861047836,1.2965594906305489,1.2282478739691203,0.8909988661038335,0.8296805816267487,110,160,session_level_clear_state
DISCOVERY,TWO_OF_3_CLEARED,1161,1142,569,573,3,16,49.824868651488615,45.82256675279931,1.269883532062503,1.2183491232187174,0.9181799632728073,0.879657007687757,112,160,session_level_clear_state
VALIDATION,ALL_3_CLEARED,1002,983,509,474,17,2,51.78026449643947,46.9061876247505,1.7275752172470689,1.6062496962198263,1.2739849287957705,1.154901301936955,111,160,session_level_clear_state
VALIDATION,INCOMPLETE,21,21,9,12,0,0,42.857142857142854,38.095238095238095,1.2312687362659556,1.3704637714788614,1.093249617441522,1.4666746404329674,8,20,session_level_clear_state
VALIDATION,NONE_CLEARED,1319,1285,625,660,17,17,48.63813229571984,47.68764215314632,1.6459020286970245,1.5426837622784302,1.149800212019887,1.095374609558856,112,161,session_level_clear_state
VALIDATION,ONE_OF_3_CLEARED,718,701,328,373,12,5,46.79029957203994,45.543175487465184,1.606031125118479,1.58385485774231,1.1514763726664934,1.1120041739454511,112,160,session_level_clear_state
VALIDATION,TWO_OF_3_CLEARED,1125,1098,543,555,23,4,49.45355191256831,48.17777777777778,1.7005010819052933,1.4970806018370486,1.1444393170281448,1.131057524315766,112,160,session_level_clear_state
DISCOVERY,MODERATE_CLUSTER,2543,2490,1284,1206,6,47,51.566265060240966,47.10971293747542,1.2302765229431787,1.1921431212359448,0.8970485707645861,0.8627283017713443,112,160,relevant_level_cluster_state
DISCOVERY,TIGHT_CLUSTER,849,814,433,381,1,34,53.19410319410319,45.936395759717314,1.0157450861054504,0.9489488927850978,0.7675775253300583,0.6471190406551557,107,158,relevant_level_cluster_state
DISCOVERY,UNKNOWN,31,31,11,20,0,0,35.483870967741936,32.25806451612903,0.7866794512160007,1.3234698102829332,0.32563536325186376,1.1661461833418938,31,2,relevant_level_cluster_state
DISCOVERY,WIDE_CLUSTER,849,842,406,436,7,0,48.21852731591449,45.58303886925795,1.7793061731342494,1.6805482052188223,1.2670107930549017,1.2345679012345694,108,155,relevant_level_cluster_state
VALIDATION,MODERATE_CLUSTER,2296,2266,1097,1169,15,15,48.41129744042365,46.8205574912892,1.4349398100936055,1.379176927992949,1.051406611990414,1.0077602088054816,112,161,relevant_level_cluster_state
VALIDATION,TIGHT_CLUSTER,577,563,279,284,1,13,49.55595026642984,46.10051993067591,1.1555057682630252,1.1529973594589291,0.872901678657071,0.8521976122195777,107,154,relevant_level_cluster_state
VALIDATION,WIDE_CLUSTER,1312,1259,638,621,53,0,50.67513899920572,48.39939024390244,2.3114917833158244,2.029417362122421,1.7008850907633593,1.5315840675817647,111,161,relevant_level_cluster_state
DISCOVERY,AH,764,745,375,370,2,17,50.33557046979866,48.42931937172775,1.234263322280755,1.269708818268715,0.8821521176400619,0.847241053485741,112,155,nearest_ahead_level
DISCOVERY,NONE_AHEAD,951,931,506,425,9,11,54.35016111707841,44.79495268138801,1.4109364526949286,1.326776114926586,1.0474090407938264,0.9620596205961975,112,156,nearest_ahead_level
DISCOVERY,PD,1106,1083,532,551,1,22,49.12280701754386,46.02169981916818,1.2233500026596207,1.189801698498678,0.8451273513626325,0.8716693184984885,112,160,nearest_ahead_level
DISCOVERY,PM,1451,1418,721,697,2,31,50.84626234132581,46.86423156443832,1.3012928547551965,1.2111290535045398,0.914628017769918,0.8390022675737064,111,161,nearest_ahead_level
VALIDATION,AH,739,726,326,400,9,4,44.90358126721763,46.14343707713126,1.5207951747745818,1.5485027839743117,1.0659373411174882,1.1097020933977408,112,159,nearest_ahead_level
VALIDATION,NONE_AHEAD,1008,989,511,478,17,2,51.66835187057634,46.92460317460318,1.7213350459770207,1.6063696702092338,1.2678303724821631,1.1576157469991242,111,160,nearest_ahead_level
VALIDATION,PD,931,911,444,467,14,6,48.73765093304061,46.61654135338346,1.6625197125317341,1.4940482923824994,1.140817294490639,1.1198847834723853,112,156,nearest_ahead_level
VALIDATION,PM,1507,1462,733,729,29,16,50.13679890560876,48.30789648307896,1.7168192694776034,1.552715419408227,1.1977033052004813,1.1047187469214796,112,161,nearest_ahead_level
DISCOVERY,MULTIPLE_C2_LEVEL_BREAKS,292,286,139,147,1,5,48.6013986013986,40.41095890410959,1.130272089588348,1.271685951174902,0.8873660758141894,0.9514826573961568,96,128,c2_break_count_state
DISCOVERY,NO_C2_LEVEL_BREAK,3044,2971,1516,1455,10,63,51.026590373611576,46.419185282522996,1.2939607717901667,1.24422216243013,0.9064559145514334,0.8804611263948284,112,161,c2_break_count_state
DISCOVERY,ONE_C2_LEVEL_BREAK,936,920,479,441,3,13,52.06521739130435,48.504273504273506,1.343079850894914,1.224728629750769,0.9579863672439004,0.8752184275738895,111,160,c2_break_count_state
VALIDATION,MULTIPLE_C2_LEVEL_BREAKS,316,304,133,171,12,0,43.75,42.40506329113924,1.4352083023754627,1.7326052830692427,0.9891535715554651,1.3181592126674921,101,136,c2_break_count_state
VALIDATION,NO_C2_LEVEL_BREAK,3043,2967,1496,1471,51,25,50.42130097741827,47.650345054222804,1.7103706281640707,1.540259741553529,1.1962315920561775,1.0767257047147243,112,161,c2_break_count_state
VALIDATION,ONE_C2_LEVEL_BREAK,826,817,385,432,6,3,47.12362301101591,47.45762711864407,1.6172423812580292,1.525365156400677,1.1774426676188896,1.191215777242376,112,159,c2_break_count_state
