research_period,dia_incremental_5d_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n
DISCOVERY,OTHER,277,273,150,123,0,4,54.94505494505494,54.51263537906137,1.378451629824737,1.260653642198442,101,12
DISCOVERY,SPY_QQQ_ALIGNED_DIA_ALIGNED,1700,1663,838,825,2,35,50.39085989176188,44.64705882352941,1.316303352519661,1.2015147042084455,112,127
DISCOVERY,SPY_QQQ_ALIGNED_DIA_OPPOSING,297,291,151,140,0,6,51.89003436426117,43.0976430976431,1.2619071488846563,1.2214384948484973,104,22
DISCOVERY,SPY_QQQ_OPPOSING_DIA_ALIGNED,310,304,146,158,3,3,48.026315789473685,42.25806451612903,1.3531225678575762,1.415068689020065,105,22
DISCOVERY,SPY_QQQ_OPPOSING_DIA_OPPOSING,1688,1646,849,797,9,33,51.57958687727825,48.34123222748815,1.2512900236535764,1.2511113596075578,112,127
VALIDATION,OTHER,327,324,163,161,3,0,50.30864197530864,51.98776758409786,1.479455486862522,1.5839654311975786,104,13
VALIDATION,SPY_QQQ_ALIGNED_DIA_ALIGNED,1456,1418,636,782,26,12,44.851904090267986,44.43681318681319,1.5434733380066545,1.6156942024879137,112,108
VALIDATION,SPY_QQQ_ALIGNED_DIA_OPPOSING,477,467,224,243,10,0,47.96573875802998,44.65408805031446,1.6516340172430295,1.5114793646517435,110,35
VALIDATION,SPY_QQQ_ALIGNED_DIA_OTHER,65,64,30,34,1,0,46.875,38.46153846153846,1.5427660243350663,1.3635329703307353,54,5
VALIDATION,SPY_QQQ_OPPOSING_DIA_ALIGNED,425,417,224,193,6,2,53.71702637889688,48.705882352941174,2.088192334637894,1.4928482272871417,107,35
VALIDATION,SPY_QQQ_OPPOSING_DIA_OPPOSING,1350,1315,697,618,22,13,53.00380228136882,49.48148148148148,1.7423124411380755,1.5325024476271594,112,108
VALIDATION,SPY_QQQ_OPPOSING_DIA_OTHER,85,83,40,43,1,1,48.19277108433735,54.11764705882353,1.5909879066717743,1.307220311248694,63,5
