research_period,market_state,stock_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,market_feature,stock_feature
DISCOVERY,ALL_3_ALIGNED,ALIGNED,1148,1121,569,552,1,26,50.75825156110616,43.55400696864111,1.3679860096019214,1.2071222853781673,112,127,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_ALIGNED,FLAT,2,2,1,1,0,0,50.0,0.0,0.6877377816798345,2.0576438269592314,2,2,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_ALIGNED,OPPOSING,550,540,268,272,1,9,49.629629629629626,47.09090909090909,1.2107132449037423,1.1866969561569134,107,123,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_OPPOSING,ALIGNED,565,557,277,280,2,6,49.730700179533216,46.017699115044245,1.2381741709522853,1.2448968589116094,109,123,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_OPPOSING,OPPOSING,1123,1089,572,517,7,27,52.525252525252526,49.51024042742654,1.2578888275504863,1.2542379783904702,112,126,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_ALIGNED,ALIGNED,192,189,85,104,0,3,44.973544973544975,41.666666666666664,1.191544485992,1.401629302538872,90,28,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_ALIGNED,OPPOSING,158,155,88,67,0,3,56.774193548387096,44.936708860759495,1.4249722391801536,1.1370174083570963,86,27,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_OPPOSING,ALIGNED,182,180,86,94,1,1,47.77777777777778,42.857142857142854,1.4049344371697168,1.3348062415040247,90,28,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_OPPOSING,OPPOSING,209,203,97,106,2,4,47.783251231527096,44.97607655502392,1.3899236668164354,1.48581136430272,93,28,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,83,6,market_3idx_prior_5d_state,trend_5d_binary_state
