quarter,market_3idx_prior_5d_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n
2025Q2,ALL_3_ALIGNED,249,247,125,122,0,2,50.607287449392715,46.98795180722892,1.2726328649012293,1.1668714636643671,99,18
2025Q2,ALL_3_OPPOSING,265,258,129,129,0,7,50.0,50.943396226415096,1.0708350579581654,1.220000328089681,102,18
2025Q2,MAJORITY_ALIGNED,18,18,6,12,0,0,33.333333333333336,22.22222222222222,1.2554314330478182,1.3415931894908613,18,1
2025Q2,MAJORITY_OPPOSING,14,14,7,7,0,0,50.0,50.0,1.115186925316325,1.3499952954206467,14,1
2025Q2,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,83,6
2025Q3,ALL_3_ALIGNED,652,638,299,339,2,12,46.86520376175549,40.030674846625764,1.1265830872791438,1.2701323606629018,112,50
2025Q3,ALL_3_OPPOSING,598,587,266,321,4,7,45.31516183986371,43.979933110367895,1.1721548807603213,1.2225727352535707,112,50
2025Q3,MAJORITY_ALIGNED,182,179,91,88,0,3,50.83798882681564,43.40659340659341,1.117973935622359,1.1118627979615798,94,14
2025Q3,MAJORITY_OPPOSING,193,186,87,99,3,4,46.774193548387096,42.487046632124354,1.2169337335854782,1.352473042018087,92,14
2025Q4,ALL_3_ALIGNED,689,668,340,328,0,21,50.89820359281437,46.589259796806964,1.4397233032590848,1.1649454015944611,111,52
2025Q4,ALL_3_OPPOSING,708,684,382,302,5,19,55.84795321637427,49.717514124293785,1.3043382547594056,1.2947573610729417,112,52
2025Q4,MAJORITY_ALIGNED,137,134,67,67,0,3,50.0,45.25547445255474,1.4476505080746411,1.5541111671535548,85,12
2025Q4,MAJORITY_OPPOSING,168,167,79,88,0,1,47.30538922155689,45.23809523809524,1.4892795723895667,1.5352872373017081,89,12
2026Q1,ALL_3_ALIGNED,525,517,262,255,8,0,50.67698259187621,45.523809523809526,1.4018104480214832,1.5133660195112537,111,42
2026Q1,ALL_3_OPPOSING,550,538,290,248,8,4,53.90334572490706,48.72727272727273,1.7810179264569925,1.3698750775831696,112,42
2026Q1,MAJORITY_ALIGNED,255,253,123,130,2,0,48.616600790513836,43.529411764705884,1.4949594362685739,1.6884560031608769,102,19
2026Q1,MAJORITY_OPPOSING,239,233,135,98,6,0,57.93991416309013,51.88284518828452,2.0952303031660926,1.2362244779193752,100,19
2026Q2,ALL_3_ALIGNED,652,642,294,348,5,5,45.794392523364486,44.938650306748464,1.6943545761877314,1.6762480551349597,112,47
2026Q2,ALL_3_OPPOSING,582,565,305,260,11,6,53.982300884955755,51.202749140893474,1.7561668450422163,1.5542265109027573,111,47
2026Q2,MAJORITY_ALIGNED,203,198,99,99,5,0,50.0,44.827586206896555,1.652111690804955,1.4528935158566243,93,15
2026Q2,MAJORITY_OPPOSING,190,188,101,87,1,1,53.723404255319146,50.526315789473685,2.130314300020171,1.4585333349913394,88,15
2026Q3,ALL_3_ALIGNED,389,369,154,215,13,7,41.734417344173444,44.987146529562985,1.5448742887493971,1.5071213071520166,107,26
2026Q3,ALL_3_OPPOSING,335,329,174,155,3,3,52.88753799392097,50.149253731343286,1.6551014885805324,1.646795113531436,108,26
2026Q3,MAJORITY_ALIGNED,189,185,84,101,4,0,45.4054054054054,50.79365079365079,1.5659845392324405,1.7535128655870824,82,15
2026Q3,MAJORITY_OPPOSING,182,180,88,92,1,1,48.888888888888886,46.7032967032967,1.7365180079172828,1.4772567779917685,96,15
2026Q3,UNKNOWN,150,147,70,77,2,1,47.61904761904762,47.333333333333336,1.5700917576592008,1.3316224635175786,87,5
