quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2025Q2,FLAT,1,1,0,1,0,0,0.0,0,0.0,0.0,3.226036431041248,0.0,3.226036431041248,1,1,ALL
2025Q2,MODERATE_ALIGNED,169,168,83,85,0,1,49.404761904761905,75,44.37869822485207,1.0015558222810579,1.119912068652227,0.7961529084382083,0.7671091191173981,83,19,ALL
2025Q2,MODERATE_OPPOSING,155,150,87,63,0,5,58.0,89,57.41935483870968,1.0678750173825409,1.1264200870856789,0.8026954712119734,0.8835154615205827,78,19,ALL
2025Q2,STRONG_ALIGNED,118,118,55,63,0,0,46.610169491525426,52,44.067796610169495,1.5746290548237718,1.3493995504914176,1.1228206166176988,0.9933261546873767,64,19,ALL
2025Q2,STRONG_OPPOSING,103,100,42,58,0,3,42.0,47,45.63106796116505,1.1483249159185591,1.2678083150813813,0.793790792026805,1.0364654259343353,66,18,ALL
2025Q2,UNKNOWN,143,141,91,50,0,2,64.53900709219859,87,60.83916083916084,1.230568193605538,1.037823061218928,0.9549312853678329,0.7626422621142857,83,6,ALL
2025Q3,MODERATE_ALIGNED,466,456,202,254,1,9,44.29824561403509,183,39.27038626609442,1.0464301578445707,1.1741970747126609,0.7683768259224666,0.8960046478094792,108,64,ALL
2025Q3,MODERATE_OPPOSING,508,494,228,266,4,10,46.15384615384615,231,45.47244094488189,1.0489275366731783,1.1399020994846638,0.7943392463077834,0.839107754593581,111,64,ALL
2025Q3,STRONG_ALIGNED,297,292,145,147,1,4,49.657534246575345,124,41.75084175084175,1.3682739832037165,1.3967938820860049,0.9676997515365435,1.031459515214024,94,63,ALL
2025Q3,STRONG_OPPOSING,354,348,168,180,3,3,48.275862068965516,147,41.52542372881356,1.2625741335279437,1.360218177509867,0.9421249420059328,0.9254461477448906,99,63,ALL
2025Q4,FLAT,1,1,1,0,0,0,100.0,0,0.0,1.375475563359669,0.8892512228772145,1.375475563359669,0.8892512228772145,1,1,ALL
2025Q4,MODERATE_ALIGNED,541,520,277,243,2,19,53.26923076923077,248,45.84103512014787,1.218912709531951,1.1560080308510188,0.8985441310281984,0.7688333449696333,111,64,ALL
2025Q4,MODERATE_OPPOSING,477,455,255,200,1,21,56.043956043956044,242,50.733752620545076,1.2284602715707336,1.103830533762773,0.8330658105939092,0.7632605304212117,109,64,ALL
2025Q4,STRONG_ALIGNED,356,353,166,187,0,3,47.02549575070822,156,43.82022471910113,1.6404007508844762,1.3820217669406356,1.133210393970427,0.990974284632883,99,63,ALL
2025Q4,STRONG_OPPOSING,327,324,169,155,2,1,52.160493827160494,165,50.45871559633027,1.6305885621057585,1.6677693258592152,1.1585240482705088,1.1275916420805967,99,64,ALL
2026Q1,MODERATE_ALIGNED,455,452,236,216,2,1,52.21238938053097,204,44.83516483516483,1.4235888169786437,1.3271259378944282,1.02305022489923,0.9703875839589543,106,61,ALL
2026Q1,MODERATE_OPPOSING,380,375,200,175,2,3,53.333333333333336,190,50.0,1.4767278999140672,1.2716335737295135,1.1893864003853665,0.9476798666509887,106,61,ALL
2026Q1,STRONG_ALIGNED,375,365,182,183,10,0,49.863013698630134,183,48.8,1.8238591997805567,1.723932905203504,1.3574093231762703,1.3302304352902494,108,60,ALL
2026Q1,STRONG_OPPOSING,359,349,192,157,10,0,55.01432664756447,165,45.96100278551532,1.9628087182659322,1.505360681705882,1.4272331514850958,1.1215519854501503,102,61,ALL
2026Q2,MODERATE_ALIGNED,381,373,178,195,3,5,47.72117962466488,174,45.669291338582674,1.4189506828764056,1.326533796599414,1.03330662596404,0.9939083039435659,108,62,ALL
2026Q2,MODERATE_OPPOSING,376,372,191,181,1,3,51.344086021505376,204,54.255319148936174,1.4976963547410718,1.3566652703954858,1.0492882691994714,0.9152980682165058,108,62,ALL
2026Q2,STRONG_ALIGNED,400,393,199,194,6,1,50.63613231552163,193,48.25,2.138532363053201,1.8486257750027755,1.4315318653257911,1.2771735958304138,103,62,ALL
2026Q2,STRONG_OPPOSING,470,455,231,224,12,3,50.76923076923077,207,44.04255319148936,1.9314461552050541,1.7331201074179958,1.4686262926097091,1.267839944442282,108,62,ALL
2026Q3,MODERATE_ALIGNED,309,299,140,159,3,7,46.82274247491639,135,43.689320388349515,1.4363568195381493,1.2800680006846208,1.0780885780885776,0.9380234505862792,104,46,ALL
2026Q3,MODERATE_OPPOSING,304,300,138,162,1,3,46.0,152,50.0,1.278329460668605,1.352545009929073,0.9417643417742819,1.0197405273502451,102,46,ALL
2026Q3,STRONG_ALIGNED,299,286,123,163,12,1,43.00699300699301,130,43.47826086956522,1.7801667816590223,1.8319496853572872,1.2798248263364491,1.5011178537208674,94,46,ALL
2026Q3,STRONG_OPPOSING,333,325,169,156,7,1,52.0,178,53.453453453453456,1.9166064114299064,1.7522430482926359,1.3197519929140913,1.1811023622047139,99,46,ALL
2025Q2,FLAT,1,1,0,1,0,0,0.0,0,0.0,0.0,3.226036431041248,0.0,3.226036431041248,1,1,BEAR
2025Q2,MODERATE_ALIGNED,63,63,33,30,0,0,52.38095238095238,32,50.79365079365079,1.0280842182211656,1.1481068642364476,0.8073921234412899,0.8423586040914595,46,18,BEAR
2025Q2,MODERATE_OPPOSING,105,101,56,45,0,4,55.445544554455445,60,57.142857142857146,0.9779439919244751,1.2051737627779853,0.7081723850640024,0.9547968854596189,62,18,BEAR
2025Q2,STRONG_ALIGNED,37,37,10,27,0,0,27.027027027027028,14,37.83783783783784,1.1732466462910607,1.6781132865352288,0.6692972379002065,1.3685239491690986,25,15,BEAR
2025Q2,STRONG_OPPOSING,84,81,36,45,0,3,44.44444444444444,39,46.42857142857143,1.1167168143398516,1.3078705061423879,0.7123843894495862,1.0430583843047003,56,18,BEAR
2025Q2,UNKNOWN,85,85,51,34,0,0,60.0,53,62.35294117647059,1.1100691652303458,1.1081486965637677,0.8330600196785714,0.9782391694948989,64,6,BEAR
2025Q2,MODERATE_ALIGNED,106,105,50,55,0,1,47.61904761904762,43,40.56603773584906,0.9857889454487295,1.103154784484247,0.7421112233433012,0.7344688662964685,62,19,BULL
2025Q2,MODERATE_OPPOSING,50,49,31,18,0,1,63.265306122448976,29,58.0,1.2567301708444787,0.961037368131836,1.2150098383478303,0.6684394315086658,38,18,BULL
2025Q2,STRONG_ALIGNED,81,81,45,36,0,0,55.55555555555556,38,46.91358024691358,1.7579765747708127,1.1992463624220218,1.4070555392962472,0.8209678241803138,53,19,BULL
2025Q2,STRONG_OPPOSING,19,19,6,13,0,0,31.57894736842105,8,42.10526315789474,1.2880659965823178,1.0906912598642995,1.3376089122824983,0.9278545729975421,16,8,BULL
2025Q2,UNKNOWN,58,56,40,16,0,2,71.42857142857143,34,58.62068965517241,1.4071615972588363,0.9347596301101112,1.2087938245852592,0.45958900428979943,37,6,BULL
