sensitivity,research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,DISCOVERY,ALIGNED,2087,2047,1017,1030,4,36,49.682462139716655,918,43.9865836128414,1.3198327525090559,1.246377896952751,0.9188823484410438,0.8909757594863208,112,155
BASE,DISCOVERY,OPPOSING,2040,1987,1025,962,10,43,51.58530447911424,980,48.03921568627451,1.2716377932310554,1.2506744614110248,0.9094316190139848,0.8796056416928865,112,155
BASE,VALIDATION,ALIGNED,2079,2028,969,1059,36,15,47.781065088757394,939,45.16594516594517,1.655518936835284,1.570561868671898,1.149800212019887,1.145230304555747,112,161
BASE,VALIDATION,OPPOSING,2106,2060,1045,1015,33,13,50.728155339805824,1037,49.24026590693257,1.6867055946308116,1.5333652218496459,1.204593168481221,1.0870939937941224,112,161
EXCLUDE_LEVERAGED_ETF,DISCOVERY,ALIGNED,2064,2024,1003,1021,4,36,49.555335968379445,904,43.798449612403104,1.3149894043280153,1.2353504712188104,0.9149277911353437,0.886704368746451,111,155
EXCLUDE_LEVERAGED_ETF,DISCOVERY,OPPOSING,2021,1968,1012,956,10,43,51.422764227642276,971,48.04552201880257,1.2651976571811943,1.2525867945186482,0.9062436294223366,0.8826145460350645,111,155
EXCLUDE_LEVERAGED_ETF,VALIDATION,ALIGNED,2051,2000,956,1044,36,15,47.8,926,45.14870794734276,1.6484738443494018,1.5629219516469945,1.1494252873563149,1.1372053505293946,111,161
EXCLUDE_LEVERAGED_ETF,VALIDATION,OPPOSING,2071,2025,1026,999,33,13,50.666666666666664,1021,49.29985514244326,1.6781401435898058,1.52083933549167,1.2010529779532808,1.0785140473125945,111,161
EXCLUDE_SPY_QQQ,DISCOVERY,ALIGNED,2045,2016,1001,1015,4,25,49.65277777777778,899,43.960880195599024,1.3371269514067392,1.2596413098696921,0.9362064296491222,0.9044094604358155,110,155
EXCLUDE_SPY_QQQ,DISCOVERY,OPPOSING,1990,1952,1004,948,10,28,51.4344262295082,950,47.73869346733668,1.2904249597983737,1.271104535215072,0.9306090216115708,0.9018055383267569,110,155
EXCLUDE_SPY_QQQ,VALIDATION,ALIGNED,2017,1972,950,1022,36,9,48.174442190669374,908,45.01735250371839,1.6897269195177667,1.6003471605408957,1.1709601873536326,1.1713030746705808,110,161
EXCLUDE_SPY_QQQ,VALIDATION,OPPOSING,2040,2004,1016,988,33,3,50.69860279441118,1002,49.11764705882353,1.7196166008352431,1.5630692679577893,1.2279249562654444,1.1232806185854889,110,161
INDIVIDUAL_STOCKS_CORE,DISCOVERY,ALIGNED,2022,1993,987,1006,4,25,49.52333166081284,885,43.768545994065285,1.3323797189284896,1.2485356974969108,0.9338866168071431,0.9040012399033799,109,155
INDIVIDUAL_STOCKS_CORE,DISCOVERY,OPPOSING,1971,1933,991,942,10,28,51.2674599068805,941,47.74226281075596,1.284002555540641,1.2732623214214567,0.9232311161652108,0.9055920307901258,109,155
INDIVIDUAL_STOCKS_CORE,VALIDATION,ALIGNED,1989,1944,937,1007,36,9,48.199588477366255,895,44.99748617395676,1.6829437816729023,1.5928883965158858,1.1695654050321433,1.1659192825112081,109,161
INDIVIDUAL_STOCKS_CORE,VALIDATION,OPPOSING,2005,1969,997,972,33,3,50.63484002031488,986,49.17705735660848,1.7113437011400967,1.550649582654257,1.2228059332509176,1.1101138756567732,109,161
EXCLUDE_FIRST_20_SYMBOL_DAYS,DISCOVERY,ALIGNED,1064,1042,565,477,0,22,54.22264875239923,521,48.96616541353384,1.4814923439171594,1.252126208428009,1.0731150192730778,0.8713489512294508,102,114
EXCLUDE_FIRST_20_SYMBOL_DAYS,DISCOVERY,OPPOSING,986,956,531,425,7,23,55.54393305439331,489,49.59432048681541,1.4304919980521131,1.3049324930213795,1.035194945149739,0.8446886429864284,103,112
EXCLUDE_FIRST_20_SYMBOL_DAYS,VALIDATION,ALIGNED,2065,2015,963,1052,35,15,47.79156327543424,933,45.181598062953995,1.6538609643122333,1.5708919424305918,1.1494252873563149,1.145230304555747,112,161
EXCLUDE_FIRST_20_SYMBOL_DAYS,VALIDATION,OPPOSING,2101,2055,1044,1011,33,13,50.802919708029194,1036,49.30985245121371,1.6882853978575558,1.532693433805902,1.2049305202899283,1.085823126225193,112,161
