symbol,trend_5d_binary_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
AAPL,ALIGNED,37,35,16,19,0,2,45.714285714285715,19,51.351351351351354,0.9356962362760908,0.9672863628472601,0.7546101181056599,0.8274319253343712,1,37
AAPL,OPPOSING,44,43,22,21,0,1,51.16279069767442,20,45.45454545454545,0.9296687985477022,1.0027743582058948,0.7509940983054202,0.8034925077239512,1,44
AAPL,UNKNOWN,2,2,2,0,0,0,100.0,2,100.0,1.4640075960371106,0.4032079039798122,1.4640075960371106,0.4032079039798122,1,2
ABBV,ALIGNED,33,32,18,14,0,1,56.25,19,57.57575757575758,1.0556959983562264,0.9875846411724706,0.8314826796299926,0.912358937022204,1,33
ABBV,OPPOSING,31,29,12,17,1,1,41.37931034482759,12,38.70967741935484,0.7628493036991548,1.1967812077152369,0.6111085962609182,1.024751694781658,1,31
ABBV,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.14389270491134926,0.9909591942008618,0.14389270491134926,0.9909591942008618,1,1
ABNB,ALIGNED,37,36,19,17,0,1,52.77777777777778,20,54.054054054054056,1.1754511348187284,1.2701630354412914,1.0835150918173446,0.9505129752564807,1,37
ABNB,OPPOSING,27,27,13,14,0,0,48.148148148148145,6,22.22222222222222,1.5922146908541317,1.0310503709778227,1.3807991527840067,0.9282764004902324,1,27
ABNB,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,0.7270606531881711,0.5132192846034189,0.7270606531881711,0.5132192846034189,1,1
ADBE,ALIGNED,45,45,23,22,0,0,51.111111111111114,19,42.22222222222222,1.4858751233641234,1.3322416984742607,1.2778391476321178,1.520139924893248,1,45
ADBE,OPPOSING,39,38,17,21,1,0,44.73684210526316,18,46.15384615384615,1.6601798692984868,1.466174057414471,1.318627450980391,1.3053338328098594,1,39
ADBE,UNKNOWN,2,2,0,2,0,0,0.0,0,0.0,0.9840333110180999,1.1877078870258746,0.9840333110180999,1.1877078870258746,1,2
AMAT,ALIGNED,31,29,16,13,2,0,55.172413793103445,14,45.16129032258065,2.342247635647665,1.8965272008643292,1.6891229446203058,1.1832356518854286,1,31
AMAT,OPPOSING,38,37,18,19,1,0,48.648648648648646,20,52.63157894736842,2.364299640969905,1.7539822316582552,1.5335251003019994,1.6115694677601917,1,38
AMAT,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,1.1202228236521024,1.00990506169504,0.33453103704620996,1.3936315202577223,1,3
AMD,ALIGNED,59,59,26,33,0,0,44.067796610169495,28,47.45762711864407,2.2792368707714035,2.1568364064802314,1.6389782065023166,1.7805232558139479,1,59
AMD,OPPOSING,47,47,21,26,0,0,44.680851063829785,22,46.808510638297875,2.0907105249197753,2.1778686204079905,1.4538064717836465,1.5108225108225146,1,47
AMD,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,0.792066455969596,2.172910478902612,0.055684454756382624,3.03016241299304,1,3
AMGN,ALIGNED,25,24,9,15,0,1,37.5,9,36.0,0.8950480468759259,1.4465371372806868,0.4397511508537657,1.399988333430558,1,25
AMGN,OPPOSING,29,29,14,15,0,0,48.275862068965516,15,51.724137931034484,1.2229526933596704,0.9377407404267867,0.8177231340253995,0.8663028649385961,1,29
AMZN,ALIGNED,50,50,25,25,0,0,50.0,22,44.0,1.2090849372520933,1.063108766753387,1.2017501691705976,0.8363118226874899,1,50
AMZN,OPPOSING,45,45,25,20,0,0,55.55555555555556,20,44.44444444444444,1.0057733374170221,1.1057551088729638,0.7529852076278728,0.734149054505008,1,45
AMZN,UNKNOWN,1,1,1,0,0,0,100.0,0,0.0,0.5447018665117292,1.028881303411044,0.5447018665117292,1.028881303411044,1,1
ANET,ALIGNED,40,39,23,16,1,0,58.97435897435897,24,60.0,1.769430670610383,1.7965095571193443,1.1806621628743899,1.7015136521584555,1,40
ANET,OPPOSING,39,38,23,15,1,0,60.526315789473685,23,58.97435897435897,2.5313833985623577,1.5071856576319156,2.121272236179684,1.1534627616651667,1,39
APP,ALIGNED,53,52,29,23,1,0,55.76923076923077,30,56.60377358490566,2.7316731659177855,2.176279005145888,2.215909090909091,1.7105215270954055,1,53
APP,OPPOSING,49,44,26,18,5,0,59.09090909090909,25,51.02040816326531,3.309577854795242,2.163600459210584,3.157187995857137,1.3425006044932224,1,49
APP,UNKNOWN,2,2,1,1,0,0,50.0,1,50.0,2.4641194536965862,1.8925231528342377,2.4641194536965862,1.8925231528342377,1,2
ARM,ALIGNED,50,47,27,20,3,0,57.4468085106383,26,52.0,3.059582197386677,1.7625113658307783,2.049213914379399,1.0517044401514086,1,50
ARM,OPPOSING,43,41,19,22,2,0,46.34146341463415,20,46.51162790697674,2.267744606665357,2.4080770196653334,1.675294794362945,1.7205398135695396,1,43
ARM,UNKNOWN,2,2,0,2,0,0,0.0,0,0.0,0.27993832236632593,3.2308079621862795,0.27993832236632593,3.2308079621862795,1,2
ASML,ALIGNED,33,32,20,12,0,1,62.5,18,54.54545454545455,1.567696148429496,1.1073553392567186,1.05348234441627,0.5850539563799939,1,33
ASML,OPPOSING,49,48,24,24,0,1,50.0,24,48.97959183673469,1.3724139194958527,1.1281314513213925,1.0734528488721666,0.9608973604737735,1,49
ASML,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,2.8682743333109455,0.2162960972660729,2.8682743333109455,0.2162960972660729,1,1
AVGO,ALIGNED,36,34,10,24,2,0,29.41176470588235,12,33.333333333333336,1.220802101546453,2.048276027428008,0.7985349440110723,1.5534713300356904,1,36
AVGO,OPPOSING,47,47,18,29,0,0,38.297872340425535,17,36.170212765957444,1.6967071014123418,1.3405180691318344,1.4155562809745788,1.1764314911435192,1,47
AVGO,UNKNOWN,1,1,1,0,0,0,100.0,1,100.0,2.058665786542341,0.10726515120261534,2.058665786542341,0.10726515120261534,1,1
AXON,ALIGNED,24,23,9,14,1,0,39.130434782608695,7,29.166666666666668,2.08295597770962,2.7672970279681213,1.7186777169149283,1.9514881546738785,1,24
AXON,OPPOSING,21,20,10,10,1,0,50.0,9,42.857142857142854,2.148030613777713,2.54883393787675,1.4040202020202048,1.7200076214325584,1,21
AXON,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.0,1.5360240077124547,0.0,1.5360240077124547,1,1
AXP,ALIGNED,36,36,19,17,0,0,52.77777777777778,16,44.44444444444444,1.1995507520351267,1.3396986551125036,1.0680299423511226,0.8975175372831291,1,36
AXP,OPPOSING,19,19,8,11,0,0,42.10526315789474,7,36.8421052631579,1.188234194995301,0.9159781099033397,0.6753080492878905,0.8218954248365969,1,19
BA,ALIGNED,53,53,26,27,0,0,49.056603773584904,24,45.283018867924525,1.2268147579132485,1.0011135755111682,1.0557157473723422,0.762180094786735,1,53
BA,OPPOSING,43,42,25,17,0,1,59.523809523809526,24,55.81395348837209,1.619259301830848,1.0757608543024475,1.4235682430900336,0.6449735706318862,1,43
BA,UNKNOWN,1,1,0,1,0,0,0.0,1,100.0,0.2684236212786781,1.3665202537823244,0.2684236212786781,1.3665202537823244,1,1
BAC,ALIGNED,41,41,15,26,0,0,36.58536585365854,19,46.34146341463415,0.6914826602567761,1.14456334294452,0.4870738104158823,1.022539857064313,1,41
