research_period,direction,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,BEAR,C2_VOLUME_ACCELERATING,148,145,79,66,2,1,54.48275862068966,49.32432432432432,1.4093564713413946,1.2151193383566963,1.0634296649543198,0.951594442803633,46,98,c2_vs_c1_volume_state
DISCOVERY,BEAR,C2_VOLUME_DECELERATING,2024,1978,974,1004,9,37,49.24165824064712,45.355731225296445,1.298740466579512,1.2730349429247247,0.9175935632990041,0.9207336575872291,112,161,c2_vs_c1_volume_state
DISCOVERY,BULL,C2_VOLUME_ACCELERATING,133,130,63,67,0,3,48.46153846153846,46.61654135338346,1.2599492379768864,1.3716733192584685,0.8718297101449393,0.936511797616147,47,82,c2_vs_c1_volume_state
DISCOVERY,BULL,C2_VOLUME_DECELERATING,1967,1924,1018,906,3,40,52.91060291060291,47.38179969496696,1.2817336396341228,1.2029474426076754,0.9152275645007695,0.8390022675737064,112,161,c2_vs_c1_volume_state
VALIDATION,BEAR,C2_VOLUME_ACCELERATING,173,170,99,71,2,1,58.23529411764706,48.554913294797686,1.8279785321843405,1.6000239414759332,1.4143879305563165,1.1761127446010453,48,108,c2_vs_c1_volume_state
VALIDATION,BEAR,C2_VOLUME_DECELERATING,1859,1820,900,920,24,15,49.45054945054945,47.8214093598709,1.6173690430654368,1.5407257252980597,1.1541798351614372,1.1007658693302027,112,161,c2_vs_c1_volume_state
VALIDATION,BULL,C2_VOLUME_ACCELERATING,170,159,83,76,11,0,52.20125786163522,45.88235294117647,1.7391644597036342,1.5587840762240934,1.225241155685548,1.210952416266452,43,102,c2_vs_c1_volume_state
VALIDATION,BULL,C2_VOLUME_DECELERATING,1983,1939,932,1007,32,12,48.066013408973696,46.64649520927887,1.7021878752883959,1.5574678386392864,1.1700992861245583,1.1274315204446221,112,161,c2_vs_c1_volume_state
DISCOVERY,BEAR,LOW_C2_RVOL_MARKET_OPPOSING,292,282,145,137,0,10,51.41843971631206,45.54794520547945,1.169841722567119,1.1303820465253314,0.8720684521345783,0.6795960532516708,100,87,low_c2_rvol_market_opposition_state
DISCOVERY,BEAR,OTHER,1880,1841,908,933,11,28,49.321021184139056,45.638297872340424,1.3274689782584361,1.2906323558356578,0.9326397698450073,0.9709654209618164,112,161,low_c2_rvol_market_opposition_state
DISCOVERY,BULL,LOW_C2_RVOL_MARKET_OPPOSING,89,89,49,40,0,0,55.056179775280896,51.68539325842696,1.2699363477073162,1.2353256470083585,1.0201603109060007,0.8639787328311931,62,34,low_c2_rvol_market_opposition_state
DISCOVERY,BULL,OTHER,2011,1965,1032,933,3,43,52.51908396946565,47.140726006961714,1.2808150088837866,1.2126733905951912,0.8970485707645861,0.8431952662721793,112,161,low_c2_rvol_market_opposition_state
VALIDATION,BEAR,LOW_C2_RVOL_MARKET_OPPOSING,202,201,121,80,0,1,60.19900497512438,57.92079207920792,1.5326025639926222,1.2890826288450028,1.25996227520909,0.9140861609548654,89,67,low_c2_rvol_market_opposition_state
VALIDATION,BEAR,OTHER,1830,1789,878,911,26,15,49.07769703745109,46.775956284153004,1.6466358574863547,1.5741085104796388,1.1649385999891853,1.1335897273659525,112,161,low_c2_rvol_market_opposition_state
VALIDATION,BULL,LOW_C2_RVOL_MARKET_OPPOSING,166,160,91,69,3,3,56.875,52.40963855421687,1.6213070914621932,1.4536201887136095,1.2023904414485802,1.1548865293834443,82,62,low_c2_rvol_market_opposition_state
VALIDATION,BULL,OTHER,1987,1938,924,1014,40,9,47.6780185758514,46.099647710115754,1.7121084739123213,1.566256198114414,1.168404789494007,1.1285084964970389,112,161,low_c2_rvol_market_opposition_state
DISCOVERY,BEAR,NOT_POSITIVE_CANDIDATE,1562,1526,755,771,5,31,49.47575360419397,45.45454545454545,1.2818863004014323,1.2631562434630392,0.9195386578389149,0.9481907830106067,112,161,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_BOTH_ABOVE,233,226,109,117,6,1,48.230088495575224,45.493562231759654,1.3978038085470426,1.5660095741902298,0.9479166666666631,1.1553736911782329,88,80,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_BOTH_BELOW,197,193,97,96,0,4,50.259067357512954,44.16243654822335,1.269004632499377,1.2503158339400153,0.8473011509344923,0.8000235734386206,81,81,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_MIXED,162,160,82,78,0,2,51.25,47.53086419753087,1.4662585476174121,0.9114619129966391,1.0291920979764246,0.7798152003288521,77,74,positive_candidate_participation_state
DISCOVERY,BEAR,POSITIVE_UNKNOWN,18,18,10,8,0,0,55.55555555555556,61.111111111111114,1.2062764544756954,1.3645030160668865,0.8766202107869856,0.9986365082779869,16,4,positive_candidate_participation_state
DISCOVERY,BULL,NOT_POSITIVE_CANDIDATE,1849,1806,949,857,1,42,52.547065337763016,46.51162790697674,1.2648071993756447,1.1644173017302064,0.8874397504961711,0.8156703977137439,112,161,positive_candidate_participation_state
DISCOVERY,BULL,POSITIVE_BOTH_ABOVE,122,121,61,60,1,0,50.413223140495866,50.0,1.4427324467578677,1.4800392998906833,1.0788468240751687,1.0315623685330526,68,38,positive_candidate_participation_state
DISCOVERY,BULL,POSITIVE_BOTH_BELOW,54,53,28,25,0,1,52.83018867924528,64.81481481481481,1.4683049910487993,1.6321127326551055,1.2457204682169816,0.9219517411112437,42,30,positive_candidate_participation_state
DISCOVERY,BULL,POSITIVE_MIXED,75,74,43,31,1,0,58.108108108108105,50.666666666666664,1.2641730419277823,1.6923159736197717,0.9110593618499054,1.2201995582298713,51,33,positive_candidate_participation_state
VALIDATION,BEAR,NOT_POSITIVE_CANDIDATE,1651,1620,797,823,17,14,49.19753086419753,46.88067837674137,1.546244362445861,1.506568195153073,1.1067755552009741,1.1060668592653646,112,160,positive_candidate_participation_state
VALIDATION,BEAR,POSITIVE_BOTH_ABOVE,141,134,70,64,6,1,52.23880597014925,50.354609929078016,2.2125188794961943,1.95871575485897,1.8500441593455073,1.4018910569515888,63,59,positive_candidate_participation_state
VALIDATION,BEAR,POSITIVE_BOTH_BELOW,131,129,72,57,1,1,55.81395348837209,53.43511450381679,1.7597597501025035,1.6837620131865565,1.3955105284068345,1.1795343137254841,68,57,positive_candidate_participation_state
VALIDATION,BEAR,POSITIVE_MIXED,109,107,60,47,2,0,56.074766355140184,53.211009174311926,2.087946839046152,1.4396094481114878,1.598714908590214,1.0554682236694337,67,54,positive_candidate_participation_state
VALIDATION,BULL,NOT_POSITIVE_CANDIDATE,1790,1745,819,926,33,12,46.93409742120344,45.69832402234637,1.6188276917655682,1.550631843141959,1.116387406668989,1.1003091045174496,112,161,positive_candidate_participation_state
VALIDATION,BULL,POSITIVE_BOTH_ABOVE,122,117,54,63,5,0,46.15384615384615,50.0,2.3511609686456207,1.8344082869745157,1.7794698374345435,1.3674570149724028,63,54,positive_candidate_participation_state
VALIDATION,BULL,POSITIVE_BOTH_BELOW,118,116,69,47,2,0,59.48275862068966,58.47457627118644,1.8775392899335,1.5841228459820615,1.3140756944884173,1.2553702706888594,65,48,positive_candidate_participation_state
VALIDATION,BULL,POSITIVE_MIXED,123,120,73,47,3,0,60.833333333333336,44.71544715447155,2.154501399993671,1.358509844869263,1.6879440200843951,1.0264967637540459,67,52,positive_candidate_participation_state
